rank	username	minecraft:crafted/minecraft:cyan_shulker_box
1	Hyp3rion_	254
2	thewindmillman	74
3	Mahoose	23
4	rarrq	22
5	pintsizedrogue	21
6	mwrty	16
6	CalebDHawk	16
8	fluddd	14
9	Zythose	10
10	jnp_gaming	9
11	Ezekson	8
12	500am	7
12	Fullut	7
12	HellsSponge	7
15	TheSecondLord	6
15	Inbefour	6
15	sp00ky_ghost977	6
15	KingMatthew506	6
19	Xalithia	5
19	Snowflowe	5
19	Sky_light_KING	5
19	oxfordschool	5
23	HolyVenom	4
23	Akoot_	4
23	wezzzi	4
23	claivin	4
23	lordpipe	4
23	Enderslayerxz3	4
29	IronArshXS	3
29	SaucyDark	3
29	TheShyPig	3
29	lizardfightclub	3
29	NameGenerat0r	3
29	Groundler	3
29	little_dUki	3
36	Merv__	2
36	AuroraValkyrie	2
36	beeperbeeper5	2
36	Blackberry1310	2
36	Bumpy419	2
36	Jiminie	2
36	lillips	2
36	SingedBread	2
36	YungMaki	2
45	Bandito_Roamer	1
45	_NieToksikpl_	1
45	abramgray	1
45	Hpdinosaur	1
45	livingdaydreams	1
45	CoffeeNoir	1
45	NinjaKnifeKill	1
45	joethahobo	1
45	H72l9w	1
45	Historical_Sand	1
45	Euclidoris	1
45	titanlax	1
45	Comma__	1
45	jushykins	1
45	m_be9	1
45	12Magner05	1
45	shyshyannne	1
45	emrekn	1
45	xxPipperDipperxx	1
45	gcaisawesome	1
45	r123moore	1
45	noam464	1
45	Ecplosive	1
45	Marbz_	1
45	Jackattack53	1
45	whoaluv	1
45	Rumpletaezer	1
45	pappaberg	1
45	Hoid_the_Roamer	1
45	Voxin2K	1
45	KartivGal	1
45	ClemenPine	1
45	fw3xywashere	1
45	yulgur1	1
45	NomadicRobin_	1
45	audiocracked	1
45	masskedman	1
45	Jiminbub	1
45	Deathkob	1
45	censorsheep	1
45	Th6masss	1
45	Hisiste	1
45	Spacewardharpy7	1
45	OG_Songsee	1
45	Razzgriz	1
45	Eraxa	1
45	pixelviolin	1
45	Kowcio_	1
45	SammiWolfGirl	1
45	Dogcorn69420	1
45	Steelynan	1
45	Legendosh	1
45	PlasticOtari	1
