rank	username	minecraft:crafted/minecraft:red_stained_glass
1	Spacewardharpy7	50016
2	Hyp3rion_	22536
3	noam464	15104
4	Awyrlas	10496
5	lordpipe	5832
6	beeperbeeper5	4720
7	Jackattack53	3872
8	Onennon	2424
9	doublemaki	2232
10	Lez_	2104
11	k_ce	1992
12	joethahobo	1920
13	hanaryheatwave	1744
14	Kowcio_	1320
15	emrekn	1312
16	TheSecondLord	1248
17	MyNameIsJobo	1000
18	thewindmillman	968
19	Xalithia	936
20	walll	768
20	luseis	768
22	Frozil20	720
23	Soplight	600
24	Snowflowe	528
25	MakeHistory157	520
26	T045RTY	512
26	blackeemperor	512
28	_witch_craft_	480
28	El_Jalapeno	480
30	EcksD	456
31	LuvLuvLove	440
32	shadowthemonkey	424
33	Yamdalorian	392
34	Elastiq	384
35	Merv__	328
36	surfinggiraffejp	320
36	Marbz_	320
38	theonlymagikarp	312
38	IamCL4SSY	312
40	jnp_gaming	280
41	Werbe	264
42	Mattesco	256
43	rarrq	224
43	m_be9	224
45	BadenStayFly	216
45	EMC_	216
45	TheShyPig	216
48	Bumpy419	200
48	The_slideV3	200
50	Kamflame	184
51	pintsizedrogue	176
51	Steelynan	176
53	Lord_Jord	160
54	Reamdin	152
55	500am	144
55	xxPipperDipperxx	144
57	MAns_44	136
57	Eraxa	136
59	VentiHilton	128
59	diggydog67	128
61	FormulaNewt3627	120
61	TheWickedBird	120
63	livingdaydreams	112
63	Studio4x32	112
63	DarlaMeow	112
63	Groundler	112
67	cuddlyMonster	108
68	RoskobiOne	104
68	_i_ERROR_i_	104
70	Huwulling	96
70	titanlax	96
70	Manaateee	96
70	Quincannon	96
74	Mahoose	80
75	ssleepless	72
75	TheDankPlatypus	72
75	Blu3beast	72
75	Blaiku	72
75	mihimihimihi	72
75	fffMike	72
75	Jimb0nat0r	72
82	Mr_Byzantine	64
82	McCakeAh	64
82	Notta	64
82	BobDeBouwer1337	64
82	Solar_Power	64
82	tobinwilliams	64
82	oscminus	64
82	Maenara	64
82	EveryonesUncle	64
82	__tomato	64
82	561cool	64
93	ImpavidArcher	56
93	bloodbiter	56
93	MovingFish7	56
96	Bandito_Roamer	48
96	12Magner05	48
96	ConnorDanky_	48
96	TechnoNinja64	48
100	Niklas20114552	32
100	Iagoku	32
100	SaucyDark	32
100	Rani_R	32
100	Boipl	32
100	Dooinfe	32
100	Factoroni	32
100	ZoomieZoomie	32
100	tompup	32
100	Yahrto	32
110	robertsnose	24
110	eitanzaki	24
110	nocturne78	24
110	royal_2	24
110	Tersea_	24
110	Blackberry1310	24
110	jacxhadow	24
110	Smashic	24
110	ROY4LE	24
110	hcb238	24
110	r123moore	24
110	JitteryJared2	24
110	DizzleJay311	24
110	The_SlideV5	24
124	HellsSponge	20
125	Zee_zey	16
125	_Huge_Male_	16
125	shineh10	16
125	HUNTERmaun	16
125	Saucepeh	16
125	corvidpartyfor6	16
125	yheece	16
125	RobotMinion101	16
125	PaperCanvas	16
125	Inbefour	16
125	JESS_THE_RERE	16
125	ElKaySVK	16
125	TheTommyGun63	16
125	Ezekson	16
125	MrMeisterProper	16
125	PlasticOtari	16
141	Jovaphobic	8
141	CLG_Kata	8
141	AuroraValkyrie	8
141	powercas_gamer	8
141	6king6colt6	8
141	xXTheWolfmanXx	8
141	tuckerdoodle	8
141	Wooptey	8
141	nattybears	8
141	CoffeeNoir	8
141	Literally_Rat	8
141	MSK__	8
141	gaziter10	8
141	QuiCreans	8
141	Pofen	8
141	Prodiginus	8
141	CliffEmAll	8
141	Jokerman369	8
141	Fullut	8
141	philandr	8
141	mwrty	8
141	Fullbit_	8
141	Touched_Bread	8
141	gamerlord1324	8
141	drunkeeez	8
141	M_Patata	8
141	craaaash	8
141	Di_infiri	8
141	SuperPooch06	8
141	Chromary	8
141	Rumpletaezer	8
141	U_Mos_	8
141	Krowuss	8
141	ItsAki_	8
141	ScootOfBoot	8
141	TheSeismicDuck	8
141	AspenLightVT	8
141	KlausVonStiglitz	8
141	Tyrannosplart	8
141	Meatlaugh	8
141	Soap_Bender	8
141	Xclax101	8
141	_flud	8
141	THEKINGLyric10	8
141	MasterNueve	8
141	TheDumbHuman	8
141	pixelviolin	8
141	starbits140	8
141	Spenduh	8
141	miramyu	8
141	Nekomin0	8
141	Luigipunch989	8
141	robonya_	8
141	Dogcorn69420	8
141	MilleGrug	8
141	_3Stump_	8
141	Quotary	8
