rank	username	minecraft:crafted/minecraft:acacia_fence_gate
1	Werbe	162
2	ApophisNova	112
2	MyNamaSheff	112
4	beeperbeeper5	94
5	Sral7	87
6	HellsSponge	82
7	AdmiralSmoke	75
8	noam464	64
9	hanaryheatwave	49
10	4774	32
11	Di_infiri	29
12	ImpavidArcher	24
13	Mattesco	22
14	xDraggin	20
15	Spacewardharpy7	17
16	mariominejedi	15
17	500am	14
18	luseis	12
19	Manaateee	11
19	mountaingirl311	11
21	Mowelan	10
21	Alteriity	10
21	dopplexd	10
21	oscminus	10
21	claivin	10
21	Steelynan	10
27	Bandito_Roamer	9
27	xxPipperDipperxx	9
27	stellarjay	9
30	Myrosia	8
30	ItsAki_	8
32	MadmanRaven	6
33	2Stout	5
33	Hoid_the_Roamer	5
33	Meatlaugh	5
33	SwooshBoi	5
33	xolstoi	5
38	_Huge_Male_	4
38	youhjjhhhjj	4
38	peach0s	4
38	legal_tax_evader	4
38	Onennon	4
38	_Karmaa	4
38	Groundler	4
38	mawileite	4
46	Mr_Byzantine	3
46	Mahoose	3
46	Jackattack53	3
46	victorLIE	3
46	FreddyFart	3
46	Tyrannosplart	3
46	ReflexCode	3
46	ProfessorDiaper	3
46	IAmTheWalrus910	3
46	DennyKai	3
56	pintsizedrogue	2
56	Apollo_993	2
56	_Panyu_	2
56	Merv__	2
56	xXTheWolfmanXx	2
56	joethahobo	2
56	firesgal3116	2
56	Snowflowe	2
56	Moofyman	2
56	Lord_Jord	2
56	EveryonesUncle	2
56	pixelviolin	2
56	Drawgirl	2
56	tartanboy	2
56	EcksD	2
56	smogfrog	2
56	Biites	2
73	Ilinca_Io	1
73	ThePoliteG	1
73	Raspberry_Sodas	1
73	set67	1
73	Scathra	1
73	SellyZ	1
73	MustardDrinker	1
73	Kynigito	1
73	TheShyPig	1
73	csendeslol	1
73	_beep_boop	1
73	Ze_BaronKrigler	1
73	Kowcio_	1
73	YungMaki	1
73	underscore_2	1
73	UCP_TheKingK	1
73	starbits140	1
73	__tomato	1
73	xzvu	1
73	Seindi	1
73	TheALV	1
73	ConnorDanky_	1
73	RoboTramp7865	1
73	561cool	1
