rank	username	minecraft:crafted/minecraft:acacia_fence
1	beeperbeeper5	4641
2	joethahobo	1974
3	AdmiralSmoke	1276
4	KarlKaek	627
5	Di_infiri	564
6	Werbe	468
7	El_Jalapeno	423
8	Meatlaugh	395
9	Mowelan	384
10	starbits140	339
11	ImpavidArcher	312
12	Mahoose	306
13	Hoid_the_Roamer	291
14	youhjjhhhjj	282
15	Bandito_Roamer	267
16	Winklepicker279	249
17	ProfessorBee	240
18	Groovy_MoonBird	204
19	Doom_melon	201
20	TheShyPig	186
21	2Stout	177
22	r123moore	174
23	Steelynan	162
24	dopplexd	147
24	mariominejedi	147
26	Spacewardharpy7	144
27	Lutres_	141
28	pintsizedrogue	132
28	Lord_Jord	132
30	Moofyman	129
31	set67	120
32	firesgal3116	111
32	RedcatVII	111
34	Touched_Bread	108
34	Zaridey	108
36	Frozil20	102
36	ConnorDanky_	102
38	EMC_	99
38	YungMaki	99
40	Franco093	93
41	hanaryheatwave	90
42	xxPipperDipperxx	87
42	h2p_emrld	87
44	baxteerr	81
44	KlausVonStiglitz	81
46	csendeslol	78
47	Mattesco	75
47	Blu3beast	75
49	TheSecondLord	72
49	RoboTramp7865	72
51	Ajax6	66
51	EcksD	66
53	Tyrannosplart	63
53	Vellu21	63
55	mawileite	60
56	Kakolbus	57
57	DennyKai	54
58	Mr_Byzantine	51
58	smogfrog	51
60	Manaateee	48
60	underscore_2	48
60	Drawgirl	48
63	Apollo_993	45
63	Megarboh	45
63	4774	45
66	Lez_	42
66	MustardDrinker	42
68	Snowflowe	39
68	ReflexCode	39
68	Soplight	39
71	IAmTheWalrus910	33
71	xzvu	33
71	CoryJJ	33
71	mountaingirl311	33
71	Enderxz3	33
71	Biites	33
77	ThePoliteG	32
78	Myrosia	30
78	FreakGenius	30
80	HellsSponge	29
81	Blackberry1310	27
81	kekhon	27
81	TheSeismicDuck	27
81	SammiWolfGirl	27
81	xX_Stalin69_Xx	27
81	Sral7	27
87	PhantomsGhost_	24
87	legal_tax_evader	24
87	xolstoi	24
90	xXTheWolfmanXx	21
90	_beep_boop	21
90	stellarjay	21
93	CEOofSHINS	18
93	MeowMeowMcmuffin	18
93	Destroyer112221	18
93	FreddyFart	18
93	duqboy	18
93	EveryonesUncle	18
93	Blaiku	18
93	Chayula	18
101	Ozixar	15
101	Rich_Kat	15
101	Inchef	15
101	SellyZ	15
101	SPUDonSTEROIDS	15
101	DirtyBoar	15
101	AnnieBathory	15
101	Kynigito	15
101	SwooshBoi	15
101	TheALV	15
111	Hyugo	12
111	500am	12
111	prizm_	12
111	LeonelSalamanca	12
111	Quaintster	12
111	geekbird	12
111	PortlyPete69	12
118	Alexanderjac	9
118	_Panyu_	9
118	CoffeeNoir	9
118	Vizzoid	9
118	12Magner05	9
118	Elastiq	9
118	Barlycorn	9
118	SvenskaHugo	9
118	FelixPSY375	9
118	TechnoNinja64	9
118	skrongus	9
118	561cool	9
130	sp00ky_ghost977	8
131	spaece	6
131	Poppycop	6
131	KillerNekoRain	6
131	Chuvacevedo	6
131	ApophisNova	6
131	Maenara	6
131	C0oOK13M0N5T3R	6
131	560cool	6
131	Groundler	6
131	Racengan	6
131	Toriankel	6
131	07shiny	6
131	cum_chalice	6
131	MineMaster0012	6
131	MyNamaSheff	6
146	_Huge_Male_	3
146	Merv__	3
146	Ilinca_Io	3
146	Alteriity	3
146	Rox_The_Box	3
146	Raspberry_Sodas	3
146	slkiey	3
146	Scathra	3
146	Irko	3
146	gcaisawesome	3
146	ItsAki_	3
146	MinerDec	3
146	_Bguette_	3
146	_Karmaa	3
146	Warlord324	3
146	Hisiste	3
146	Factoroni	3
146	Kowcio_	3
146	__tomato	3
146	PlasticOtari	3
