rank	username	minecraft:crafted/minecraft:orange_wool
1	Crowman1	897
2	SkateboardR6	512
3	beeperbeeper5	464
4	Huwulling	356
5	QuiCreans	295
6	Werbe	190
7	EveryonesUncle	150
8	PeteO1995	144
9	kekhon	134
10	TheShyPig	128
10	Njensen7	128
12	NameGenerat0r	119
13	Blaiku	106
14	Mr_Byzantine	100
15	Skylord_Luke	95
16	Lez_	94
17	MakeHistory157	84
17	Kowcio_	84
19	teslawolf38	77
20	skitzxo	59
21	tuckerdoodle	56
21	Nicserso	56
23	pintsizedrogue	54
24	TheSecondLord	53
25	Manaateee	44
26	Chromary	32
26	_i_ERROR_i_	32
26	Sral7	32
29	Kakolbus	29
30	wezzzi	28
31	jspwn	26
31	Mattesco	26
33	ConnorDanky_	25
34	rarrq	24
34	_Dean_123	24
34	VentiHilton	24
37	Typadopoulos	23
38	Rumpletaezer	22
38	Quotary	22
40	ReflexCode	21
40	00000000-0000-0000-0009-01ff0c3e5e4f	21
42	Ezekson	20
43	LilLizardWizard	18
43	audiocracked	18
43	MAns_44	18
43	Luigipunch989	18
47	thewindmillman	17
48	Merv__	16
48	Wooptey	16
48	The_SlideV5	16
51	Maenara	13
52	Snowflowe	12
52	Groundler	12
52	miramyu	12
52	JayToe	12
56	Onennon	11
56	DarlaMeow	11
58	Jokerman369	10
58	ZoomieZoomie	10
60	Legendosh	9
61	Sleek_Storm_721	8
61	RebelAndroid	8
61	Kynigito	8
61	Yamdalorian	8
65	mwrty	7
65	theonlymagikarp	7
65	Hoid_the_Roamer	7
68	m_be9	6
68	12Magner05	6
68	excelsionprime	6
68	luseis	6
68	El_Jalapeno	6
73	Tommhh	5
74	SmashingPump	4
74	heckface	4
74	Scathra	4
74	ogoa	4
78	MyNameIsJobo	3
78	Bumpy419	3
78	Jamstroxian	3
78	Pumpkin_P_Patch	3
82	CLG_Kata	2
82	dabloons	2
82	TheMaster972	2
82	Zaridey	2
82	Galactic_Badger	2
82	SvenskaSara	2
82	Meatlaugh	2
82	FreakGenius	2
82	pixelviolin	2
82	Enderxz3	2
92	k_ce	1
92	Alteriity	1
92	Windo_licker	1
92	KillerNekoRain	1
92	Invintic	1
92	Jimb0nat0r	1
