rank	username	minecraft:crafted/minecraft:redstone
1	noam464	375894
2	Di_infiri	91589
3	thewindmillman	74157
4	Hyp3rion_	60060
5	Blaiku	55974
6	Zythose	51413
7	Spacewardharpy7	50944
8	_Nuf	28627
9	eitanzaki	26954
10	Werbe	25410
11	ROY4LE	21666
12	PigDab	19370
13	gcaisawesome	19101
14	Smoke____	18396
15	HellsSponge	15380
16	Awyrlas	15259
17	r123moore	13575
18	lillips	13403
19	joethahobo	13086
20	beeperbeeper5	12582
21	TheShyPig	12153
22	TheThomas69	12105
23	YungMaki	10220
24	pintsizedrogue	9966
25	m_be9	9819
26	teslawolf38	9694
27	Jackattack53	9113
28	Akoot_	8972
29	thescout7	8641
30	Eczbek	8295
31	Inbefour	8093
32	Marbz_	7870
33	EMC_	7840
34	Nicserso	7559
35	Snowflowe	6136
36	ProfessorBee	5896
37	Groundler	5658
38	PlasticOtari	5445
39	Xclax101	5363
40	Miko_Fullbuster	5220
41	PhantomsGhost_	4749
42	Enderslayerxz3	4675
43	Shogunite	4618
44	MangoTheFish	4473
45	fffMike	4442
46	Skylord_Luke	4432
47	Historical_Sand	4081
48	oxfordschool	3862
49	Hoid_the_Roamer	3789
49	vandmanden	3789
51	sp00ky_ghost977	3735
52	mwrty	3701
53	TheSeismicDuck	3690
54	WyngGoy	3683
55	Hisiste	3618
56	07shiny	3382
57	Soplight	3355
58	ssleepless	3348
59	MakeHistory157	3285
60	T045RTY	3228
61	CoffeeNoir	3086
62	Freak_Genius	3066
63	EcksD	2831
64	Dedalus36	2705
65	RebelAndroid	2613
66	Njensen7	2592
67	jnp_gaming	2505
68	lordpipe	2497
69	12Magner05	2484
70	Kakolbus	2430
71	kekhon	2419
72	Lord_Jord	2384
73	Dogcorn69420	2337
74	eviltunix	2259
75	Blackberry1310	2251
76	MyNameIsJobo	2248
77	Zoeyfortnite	2235
78	MilleGrug	2151
79	Ezekson	2046
80	MightyWertu	1899
81	GoofyBread	1806
82	kinas45y5	1755
83	picardred	1708
84	TechnoNinja64	1701
85	ZeroKraken	1686
86	Sral7	1637
87	Bumpy419	1628
88	Jimi7hits	1551
89	ImpavidArcher	1530
90	ApophisNova	1521
90	MyNamaSheff	1521
92	SexcMf	1512
93	Skippeh	1503
94	SteveCraftBlocks	1492
95	Hermanni__	1485
96	FreddyFart	1467
97	Z3braYTIL	1450
98	Merv__	1440
99	_Karmaa	1413
100	Frozil12	1395
101	Iagoku	1386
102	Deathkob	1287
103	Sheldor097	1278
104	Legendosh	1271
105	Cocoamallows	1264
106	Vizzoid	1233
107	yulgur1	1232
108	soundad	1199
109	Rumpletaezer	1180
110	Racengan	1152
110	FallenCorps	1152
112	Fullut	1125
113	gabriels543	1100
114	Blu3beast	1071
115	pixelviolin	1066
116	Vorlice	1044
117	rarrq	1017
117	starbits140	1017
117	OfficerAnvil	1017
120	Arceus1975	990
121	Winston_Ingram	975
122	_Dean_123	965
123	500am	963
124	Flores991	936
125	Mahoose	934
126	Winklepicker279	882
126	NoChumpChange	882
128	_Virify_	877
129	1442	873
130	ori0le	866
131	TheSecondLord	865
132	__tomato	846
133	Kyrum2169	837
134	Rocco_Lane	832
135	The_slideV3	775
136	Fuhrer_Teemo	756
137	Onennon	738
137	TheEnderman548	738
139	Factoroni	721
140	SlayerCrypto	720
140	PortlyPete69	720
142	Dreamdbr14	714
143	xxPipperDipperxx	711
144	fluddd	708
145	bloodbiter	707
146	Bandito_Roamer	693
147	El_Jalapeno	684
148	IdeallyGrey	675
149	Corbsman	666
150	mariominejedi	657
151	Eraxa	639
152	Jij0	630
153	Sky_light_KING	612
153	Warlord324	612
155	Jovaphobic	594
155	Kferno	594
157	lizardfightclub	585
157	_3Stump_	585
159	Kirrow	583
160	_Bguette_	578
161	FirsTimeGamingTV	576
161	surfinggiraffejp	576
161	eiC_	576
161	RedcatVII	576
161	Dusk_95	576
161	geekbird	576
161	AssFullaCum	576
161	Wanjibon	576
169	cedric72	568
170	tartanboy	567
171	DanTheBuilderino	558
172	Smiguli_	527
173	Darkgon	522
174	Ssor69	520
175	Solar_Power	513
176	benediktine1	501
177	TheTrueClipse	498
178	Stynxy	488
179	slkiey	477
179	claivin	477
181	MattieHD	462
182	301851	461
183	q_wq	459
183	Comma__	459
183	Quincannon	459
186	Hiryu27	450
187	Franco093	445
188	masskedman	441
189	TheMilkerOfCats	432
189	Forcolp	432
189	lcvezra	432
192	SuperPooch06	429
193	Rebytre	425
194	ClemenPine	423
195	SkateboardR6	415
196	BlancoFlaco	411
197	AuroraValkyrie	405
197	sxc_	405
199	Nagasaki_Riku	387
200	Mewar	378
200	obzii	378
202	EfficientC52	370
202	anbbang	370
204	Nyxiom_	369
204	Kouridragon	369
204	Leyna3	369
204	BumbleBeever	369
208	prizm_	351
208	CrateOfBoxes	351
210	bigstankyy	342
210	Chromary	342
210	FishyBoy3811	342
210	ProbsNotNova	342
214	SingedBread	333
214	Kubeusz2010	333
216	Maenara	324
217	MinttyFressh	308
218	Malorn_Aetherius	306
218	ToastedGamingYT	306
220	audiocracked	297
220	Quotary	297
220	JayToe	297
223	diamondgolem35	289
223	chipklip	289
223	Steelynan	289
226	set67	288
226	Xalithia	288
226	_k2x	288
229	BlueZabu	279
229	EcksDofficial	279
231	RoskobiOne	270
231	ShedJr_	270
231	Powowowow	270
234	M_Patata	265
235	fred870d	262
236	ayqq	261
237	PlzNoBM	256
238	Smashic	252
239	LetsDoItLive	234
239	mawileite	234
241	theonlymagikarp	225
241	seramalen	225
241	ayamefag	225
244	MixerDixer	216
244	ratglock	216
244	wezzzi	216
244	DarlaMeow	216
244	Lord_Doob	216
244	SSytex_X	216
250	CharlieButt	209
251	elicobnoah	207
251	SaucyDark	207
251	AnnieBathory	207
251	Rainaldus	207
255	Omar_Alone	201
256	Scathra	198
256	DermeinUser	198
256	Moetis	198
259	Tommhh	189
259	LotusProject	189
259	Skomo	189
259	Soul_Atreus	189
263	MrExplorer	188
264	h2p_emrld	181
265	NotMeanttoChange	180
265	DTwenty	180
265	GravitySaint	180
265	layabout100	180
265	SvenskaHugo	180
265	_TCARREIRA_	180
271	heysushii	171
271	Sleek_Storm_721	171
271	Swexti	171
271	bustinmyeyes	171
271	YungWali	171
271	MAns_44	171
271	HesDemonPants	171
271	diggydog67	171
279	AlphaWolfPlaysMC	168
280	Prismyst	162
280	Rich_Kat	162
282	stellarjay	156
283	abramgray	153
283	XboxPanda	153
283	AltnumberF4	153
286	PhantomBionic	144
286	Kijiki	144
288	Incinere	136
289	Ailmast	135
290	Drlzyy	130
291	Ecplosive	127
292	KarlKaek	126
292	whoaluv	126
292	KnightmareD	126
295	Windo_licker	125
296	KG1999	120
297	Prodiginus	117
297	NameGenerat0r	117
297	TheDumbHuman	117
300	awesomeoneme	108
