rank	username	minecraft:crafted/minecraft:cyan_wool
1	Ezekson	813
2	Di_infiri	382
3	joethahobo	256
3	IWorkAtIkea	256
5	Spacewardharpy7	234
6	Werbe	202
7	Historical_Sand	191
8	Fullut	165
9	pintsizedrogue	76
10	Inbefour	75
11	EveryonesUncle	64
12	Quotary	42
13	Steelynan	41
14	TheShyPig	26
14	PlasticOtari	26
16	TheSecondLord	23
17	Skippeh	20
18	teslawolf38	18
18	Snowflowe	18
20	RebelAndroid	16
21	Megarboh	14
22	Chickenchaser2	12
22	_Dean_123	12
22	Hiryu27	12
25	thewindmillman	10
25	Kowcio_	10
27	fluddd	7
28	Comma__	6
28	Jiminie	6
30	kekhon	4
30	Scathra	4
30	pappaberg	4
30	YungMaki	4
34	Merv__	3
34	ApophisNova	3
34	MyNamaSheff	3
37	titanlax	2
37	bloodbiter	2
37	lillips	2
37	Freak_Genius	2
41	T045RTY	1
41	500am	1
41	Hyp3rion_	1
41	Akoot_	1
41	lordpipe	1
41	Soplight	1
41	stellarjay	1
