rank	username	minecraft:crafted/minecraft:jungle_sign
1	Hyp3rion_	96
2	HellsSponge	94
3	Airem_Core	81
4	fluddd	72
4	oxfordschool	72
6	_Virify_	69
7	kekhon	66
8	Freak_Genius	45
9	Blackberry1310	39
9	Xalithia	39
9	r123moore	39
9	Frozil12	39
13	rarrq	36
14	Lord_Jord	33
14	kinas45y5	33
16	gabriels543	30
17	ROY4LE	27
17	noam464	27
17	Quaintster	27
20	soundad	24
20	eitanzaki	24
20	MOSS000	24
23	SaucyDark	21
23	Incinere	21
23	TAKrules	21
23	thescout7	21
23	Deathkob	21
23	lillips	21
29	pintsizedrogue	18
29	Historical_Sand	18
29	beeperbeeper5	18
29	titanlax	18
29	Awyrlas	18
29	yulgur1	18
29	DemTechAlpha	18
29	Hermanni__	18
37	joethahobo	15
37	_Dean_123	15
37	Afinnity	15
37	cedric72	15
37	chipklip	15
37	Blu3beast	15
43	T045RTY	12
43	H72l9w	12
43	Comma__	12
43	Kamflame10	12
43	ese_wn_po	12
43	JESS_THE_RERE	12
43	SvenskaHugo	12
43	yatsuta	12
43	Smoke____	12
52	teslawolf38	9
52	Mahoose	9
52	Fullut	9
52	Bumpy419	9
52	sebastiensaborio	9
57	Groovy_MoonBird	6
57	bigstankyy	6
57	CoffeeNoir	6
57	ShedJr_	6
57	Swexti	6
57	Ssor69	6
57	TheSecondLord	6
57	500am	6
57	benediktine1	6
57	epiksk8erduck	6
57	Nycteus_	6
57	Groundler	6
57	Kowcio_	6
57	Kferno	6
57	Njensen7	6
72	Harotio	3
72	pZygh0st	3
72	Drlzyy	3
72	Merv__	3
72	I_Am_Mushkin	3
72	NatrixxddxYT	3
72	MSK__	3
72	Prodiginus	3
72	Cryptacity	3
72	bloodbiter	3
72	Rich_Kat	3
72	mwrty	3
72	UnderKat	3
72	himak1	3
72	Inchef	3
72	Septemb3r	3
72	xxPipperDipperxx	3
72	Covalents	3
72	M_Patata	3
72	Winklepicker279	3
72	Windo_licker	3
72	Sagaram	3
72	MyNameIsJobo	3
72	Di_infiri	3
72	Jackattack53	3
72	LAVA129	3
72	BronkerBrum	3
72	Maenara	3
72	_Crimson_Legate	3
72	Inbefour	3
72	XxCookiequeenxX	3
72	fkGrim	3
72	Fuhrer_Teemo	3
72	DarlaMeow	3
72	Blaiku	3
72	Racengan	3
72	Aezekial	3
72	Spacewardharpy7	3
72	lordpipe	3
72	MasterNueve	3
72	ElectricDragon81	3
72	Eraxa	3
72	Chayula	3
72	_3Stump_	3
72	RadarHz	3
72	Legendosh	3
72	HesDemonPants	3
72	jnp_gaming	3
72	The_SlideV5	3
72	KASAN420	3
