rank	username	minecraft:crafted/minecraft:spruce_sign
1	Skippeh	2372
2	Lez_	1642
3	pintsizedrogue	1269
4	HellsSponge	1225
5	beeperbeeper5	1201
6	12Magner05	1152
7	non089	890
8	luseis	855
9	Mahoose	798
10	obzii	752
11	Frozil20	658
12	Di_infiri	627
13	pappaberg	588
14	500am	447
15	Segotep999	432
16	ApophisNova	369
16	MyNamaSheff	369
18	PigDab	336
19	Mattesco	320
20	TheSecondLord	318
21	eitanzaki	309
22	Kowcio_	279
23	PazinGaming	276
24	_Huge_Male_	275
25	ROY4LE	251
26	H0UNDFRMH3LL	238
27	Jackattack53	234
27	Chromary	234
29	Skylord_Luke	231
30	Soplight	225
31	j5ylim	204
32	Blu3beast	198
32	TechnoNinja64	198
34	ECstardust	195
35	Eraxa	192
36	Huwulling	174
36	skitzxo	174
38	Werbe	168
38	Manaateee	168
38	PlasticOtari	168
41	taengoos	155
42	set67	153
43	TheWickedBird	147
44	Blackberry1310	144
44	Tyrannosplart	144
44	Enderxz3	144
47	q_wq	138
48	Yamdalorian	133
49	m_be9	132
49	Ezekson	132
51	joethahobo	129
52	crashomon	124
53	Legendosh	123
54	RebytreGT	120
54	selectrix	120
56	Merv__	114
56	Fullut	114
58	Minimize501	108
58	EveryonesUncle	108
60	Alteriity	105
60	rarrq	105
60	kekhon	105
60	StinkyDiplomat	105
64	Saucepeh	102
64	SDMNAEK	102
64	Jimb0nat0r	102
67	Ryan_GEMS	99
67	MoistMicrowave	99
67	Arceus1975	99
67	Lord_Jord	99
67	wwwwinnebagoooo	99
72	Onennon	93
73	yheece	90
74	drumine	86
75	Felenov	84
76	legal_tax_evader	81
76	Nicserso	81
78	Hyp3rion_	80
79	ImpavidArcher	78
79	Kakolbus	78
79	lordpipe	78
79	ConnorDanky_	78
83	fragrantmonke444	77
84	Cryptacity	75
84	_Dean_123	75
84	corpsecity	75
84	Druid95	75
84	Zoeyfortnite	75
89	Inchef	72
89	MyNameIsJobo	72
89	OG_Songsee	72
92	diamondgolem35	69
92	Racengan	69
92	ayamefag	69
92	SvenskaHugo	69
92	Steelynan	69
97	Dakar_	66
97	miramyu	66
99	oscminus	63
99	Deathkob	63
99	fffMike	63
102	lorywithay	60
102	Xalithia	60
102	fr_ser	60
102	Fuad_R	60
106	Swexti	57
106	Guillemet	57
106	pixelviolin	57
106	MrShojo	57
110	Tommhh	55
111	mihimihimihi	53
112	Groovy_MoonBird	51
112	Xclax101	51
114	Sleepy_Time_	48
114	Fakiuss	48
114	AspenLightVT	48
114	SingedBread	48
114	Slapface522	48
119	6king6colt6	45
119	BlancoFlaco	45
119	Tolhart	45
119	SlayerCrypto	45
119	TheKingK_	45
124	LagVibes	42
124	Malorn_Aetherius	42
124	_Karmaa	42
124	Spacewardharpy7	42
124	KingMatthew506	42
129	k_ce	39
129	MuffinManzz	39
129	soundad	39
129	EMC_	39
129	Gregward_Smith	39
129	Sleepy_Evelyn	39
129	ARandomHedge	39
136	nattybears	36
136	MSK__	36
136	NieToksikpl	36
136	thewindmillman	36
136	Zythose	36
136	GooseWithin	36
136	The_slideV3	36
136	Ze_BaronKrigler	36
136	TheEnderMan548	36
145	Crowvens	33
145	chimpmunker	33
145	bigstankyy	33
145	Lukeee33	33
145	Patwannabegamer	33
145	Rumpletaezer	33
145	WET_WET_WET	33
145	NomadicRobin_	33
145	Meatlaugh	33
145	JESS_THE_RERE	33
145	Shogunite	33
145	ewpunk	33
145	MAns_44	33
145	hermmm_	33
159	Mr_Byzantine	30
159	Froste131	30
159	Jackster03	30
159	Ssor69	30
159	Comma__	30
159	xxPipperDipperxx	30
159	Covalents	30
159	HeraclesOGU	30
159	EdGalbraith	30
159	The_Quack_Dealer	30
159	claivin	30
159	Groundler	30
159	cytotoxaint	30
159	TheRealAndrin	30
159	Majonezzon	30
159	tsitrawhy	30
159	SpacesickPrism	30
159	Sheldor097	30
159	Iamthejo	30
159	Teebone15	30
179	__tomato	28
180	tuckerdoodle	27
180	IWorkAtIkea	27
180	M_Patata	27
180	Snowflowe	27
180	U_Mos_	27
180	Boipl	27
180	Vetral1	27
180	TheShyPig	27
180	FlashMigma	27
180	fluddd	27
180	Warlord324	27
180	_Meow_Mix	27
180	MasterNueve	27
180	CheifJumbo	27
180	FadedSpade82	27
195	TooPure2	24
195	_stets	24
195	KarlKaek	24
195	TooManyDuck	24
195	Natty	24
195	skroobiez	24
195	cyrusisntgay	24
195	Smashic	24
195	noam464	24
195	SuperPooch06	24
195	seramalen	24
195	Mr_Sun15	24
195	BartekB19	24
195	LetsDoItLive	24
195	Pumpkin_P_Patch	24
195	brofrickcheaters	24
195	xzvu	24
195	Dreamdbr14	24
213	Quotary	23
214	Sleek_Storm_721	21
214	buss081	21
214	Winklepicker279	21
214	RobotMinion101	21
214	Dragonlfw	21
214	PaperCanvas	21
214	Quincannon	21
214	Spenduh	21
214	PortlyPete69	21
214	CalebDHawk	21
214	annebolyn	21
214	WYFYoyo	21
226	NatalieTW	18
226	Paint	18
226	CoffeeNoir	18
226	DirtyDalle	18
226	SnowyAvi	18
226	corvidpartyfor6	18
226	surfinggiraffejp	18
226	Gzrdy	18
226	Rocco_Lane	18
226	HyperCave	18
226	IamCL4SSY	18
226	parodypatient	18
226	FreddyFart	18
226	XxCookiequeenxX	18
226	NameGenerat0r	18
226	Toriankel	18
226	hdtpm	18
226	SammiWolfGirl	18
226	VentiHilton	18
226	BreadBacon	18
226	2blox_	18
226	Biites	18
248	Jimi7hits	17
249	RoskobiOne	15
249	jspwn	15
249	Yatitay	15
249	hm947	15
249	MintyTuna	15
249	Historical_Sand	15
249	gcaisawesome	15
249	prizm_	15
249	fallingemma	15
249	CollinMH06	15
249	SvenskaSara	15
249	Bumpy419	15
249	Btabtab	15
249	AlexxO_o	15
249	ougstur	15
249	thgrocks	15
249	groofles	15
249	Akoot_	15
249	TheSeismicDuck	15
249	jambvds	15
249	Bloo2406	15
249	TheRoboSock	15
249	Burge_r	15
249	StarCookiees_	15
249	IdeallyGrey	15
249	ediballbearings	15
249	Winston_Ingram	15
249	SirBreadward	15
249	scarletwarrior1	15
249	little_dUki	15
249	Powowowow	15
280	Jovaphobic	12
280	CLG_Kata	12
280	Apollo_993	12
280	powercas_gamer	12
280	TachibanaAkira	12
280	Myszoaz	12
280	fr0stss	12
280	Da_Boss_Rani	12
280	bloodbiter	12
280	MinttyFressh	12
280	Enigma0251	12
280	Marbz_	12
280	__Fanda__	12
280	andy_rex	12
280	Kondzik2008	12
280	kars0n	12
280	FishyBoy3811	12
280	ogoa	12
280	KevinLikesPie	12
280	FreakGenius	12
280	Fildyr	12
