rank	username	minecraft:crafted/minecraft:dark_oak_door
1	joethahobo	147
2	voiding_	129
3	noam464	126
4	Lord_Jord	93
5	Ezekson	90
6	kekhon	87
7	EveryonesUncle	84
8	Skylord_Luke	78
9	burbankbuilder28	72
10	beeperbeeper5	66
10	Werbe	66
12	teslawolf38	48
12	Blackberry1310	48
12	Sank34	48
15	Russiancat1	42
15	lcvezra	42
17	EMC_	39
17	TheDankPlatypus	39
19	Fullut	36
20	Shogunite	35
21	pintsizedrogue	33
21	RatatJuice	33
21	fffMike	33
24	Groovy_MoonBird	30
24	301851	30
24	ROY4LE	30
24	KingMatthew506	30
24	HesDemonPants	30
29	Ssor69	27
29	TheSecondLord	27
29	seramalen	27
29	ConnorDanky_	27
33	HellsSponge	25
34	ShedJr_	24
34	xxPipperDipperxx	24
34	TheShyPig	24
34	Optiprimus	24
38	SaucyDark	21
38	Smashic	21
38	AnnieBathory	21
38	Mattesco	21
38	_Karmaa	21
38	Barlycorn	21
38	Dusk_95	21
38	Enderxz3	21
46	Mr_Byzantine	18
46	Nicky_H225	18
46	AngalexikCZ	18
46	Yirtle	18
46	RobotMinion101	18
46	FreakGenius	18
46	MightyWertu	18
46	the__Reaper4999	18
46	Legendosh	18
55	Merv__	15
55	ImpavidArcher	15
55	Prismyst	15
55	titanlax	15
55	Cortexia	15
55	Inbefour	15
55	Majonezzon	15
55	YungMaki	15
55	djancak	15
55	JayToe	15
65	NieToksikpl	12
65	MinttyFressh	12
65	Megarboh	12
65	500am	12
65	thescout7	12
65	himak1	12
65	2Stout	12
65	Touched_Bread	12
65	CharlieButt	12
65	Chromary	12
65	thewindmillman	12
65	PigDab	12
65	Maenara	12
65	AlphaWolfPlaysMC	12
65	Blu3beast	12
65	censorsheep	12
65	GeromeMerris	12
65	Warlord324	12
65	Airem_Core	12
65	SammiWolfGirl	12
65	PortlyPete69	12
65	h2p_emrld	12
87	RosaDoesMC	9
87	Jovaphobic	9
87	Tobinator_007	9
87	LittleBug562	9
87	DinoDoctor_	9
87	HollieDaNugget	9
87	Natty	9
87	Lez_	9
87	rarrq	9
87	m_be9	9
87	GingerNeutron	9
87	Awyrlas	9
87	PegLegPete93	9
87	benediktine1	9
87	purpolepickle	9
87	lOlmantschi	9
87	Moofyman	9
87	KeruNatsema	9
87	NormanFetus	9
87	IamCL4SSY	9
87	wezzzi	9
87	XxCookiequeenxX	9
87	avalan64	9
87	Groundler	9
87	Ze_BaronKrigler	9
87	UCP_TheKingK	9
87	starbits140	9
87	Soplight	9
87	xzvu	9
87	Njensen7	9
87	cichy096	9
87	CattSoup	9
87	jnp_gaming	9
87	PlasticOtari	9
87	xolstoi	9
87	diggydog67	9
123	MunkaKris	6
123	_stets	6
123	AuroraValkyrie	6
123	6king6colt6	6
123	Esme_1	6
123	tuckerdoodle	6
123	RebelAndroid	6
123	Mahoose	6
123	ITDV	6
123	H72l9w	6
123	Euclidoris	6
123	ZigzagLily43042	6
123	Notta	6
123	jacxhadow	6
123	Ardennes	6
123	TowenPL	6
123	Eraza	6
123	Inchef	6
123	LeauVox4921	6
123	Boogaloo242	6
123	M_Patata	6
123	prizm_	6
123	fallingemma	6
123	Karetoko	6
123	Di_infiri	6
123	SuperPooch06	6
