rank	username	minecraft:crafted/minecraft:cherry_trapdoor
1	Lez_	500
2	k_ce	172
3	EveryonesUncle	156
4	Merv__	138
5	Spaghettatron	124
6	robonya_	94
7	Enderxz3	76
8	Reneedium	72
8	Hoid_the_Roamer	72
10	RatatJuice	68
11	Myntsys	64
12	cutelilreno	62
13	IlkeCookes_	60
14	Alteriity	58
14	Mattesco	58
16	Mr_Byzantine	50
17	TheSecondLord	48
17	Hahaa_0	48
19	Alex_Hansen	44
20	Moofyman	42
21	Kowcio_	40
22	XxCookiequeenxX	38
23	milltesco	32
23	Buuck_	32
25	11Brewer	30
26	Krowuss	28
27	KamFurnace	26
28	OreTheBear	24
29	MyMawgDonaldsGon	22
30	Mr_Sun15	20
31	Napoleonpancake	18
32	PazinGaming	16
33	Archsam	12
33	luseis	12
33	icim	12
36	Werbe	10
37	pintsizedrogue	8
37	steppe_nomad	8
37	HUNTERmaun	8
37	LovableFemboy	8
41	Huwulling	4
41	royal_2	4
41	MattieHD	4
41	MAns_44	4
41	Legendosh	4
46	powercas_gamer	2
46	lorywithay	2
46	_witch_craft_	2
46	noam464	2
46	bl1ss0	2
46	Manaateee	2
46	Gus2005	2
46	pixelviolin	2
46	Jimb0nat0r	2
