rank	username	minecraft:crafted/minecraft:iron_chestplate
1	Smoke____	120
2	beeperbeeper5	51
3	rarrq	42
4	pintsizedrogue	39
4	lordpipe	39
6	teslawolf38	37
7	Lord_Jord	35
8	Frozil12	30
8	Spacewardharpy7	30
8	PlasticOtari	30
11	Jiminie	29
12	Awyrlas	27
13	joethahobo	24
14	TheSecondLord	22
14	Di_infiri	22
14	Quotary	22
17	Blaiku	21
18	noam464	20
18	TheShyPig	20
20	Drlzyy	19
20	Njensen7	19
20	oxfordschool	19
23	Mahoose	18
24	stahouo	17
25	500am	16
26	eitanzaki	15
27	EveryonesUncle	14
28	Hyp3rion_	13
28	Akoot_	13
28	__tomato	13
31	Werbe	12
32	Skylord_Luke	11
32	yulgur1	11
32	monky_irl	11
32	IvarEXE	11
32	djancak	11
37	Ardennes	10
37	Kubelz	10
37	Fuhrer_Teemo	10
37	chipklip	10
37	fluddd	10
37	Hermanni__	10
37	Ezekson	10
44	himak1	9
44	Rumpletaezer	9
44	Soplight	9
47	set67	8
47	Inchef	8
47	AssaultZone	8
47	whoaluv	8
47	Rebytre	8
47	fred870d	8
47	HellsSponge	8
47	Legendosh	8
55	Bandito_Roamer	7
55	KarlKaek	7
55	Incinere	7
55	awesomeoneme	7
55	Blackberry1310	7
55	emrekn	7
55	thewindmillman	7
55	Hiryu27	7
55	ooga47	7
55	DanTheBuilderino	7
55	stavgod	7
66	thescout7	6
66	egglapras	6
66	cedric72	6
66	Maenara	6
66	MyNameIsDakar	6
66	MovingFish7	6
66	bloomkieren	6
66	Vellu21	6
66	Enderslayerxz3	6
66	jnp_gaming	6
76	diamondgolem35	5
76	ImpavidArcher	5
76	RebelAndroid	5
76	livingdaydreams	5
76	bloodbiter	5
76	MattieHD	5
76	_Dean_123	5
76	mwrty	5
76	LeauVox4921	5
76	PeteO1995	5
76	Arceus1975	5
76	_Cloverbelle_	5
76	TTNG	5
76	sufjanlover	5
76	claivin	5
76	Groundler	5
76	ComplexSquirrel	5
76	NotMeowMix	5
94	heysushii	4
94	ExtraDumb	4
94	Euclidoris	4
94	dopplexd	4
94	cowgirlkasia	4
94	Paintz	4
94	Kakolbus	4
94	AlexStrange	4
94	The11thDoctor	4
94	RodSerlingCringe	4
94	420BreadLizard	4
94	Katsuragi0243218	4
94	SpouHn	4
94	NYJ	4
94	wobn	4
94	Captain_Nasty	4
94	Meatlaugh	4
94	Deerfoot	4
94	censorsheep	4
94	Bonzaidalek	4
94	Decaying_Lotus	4
94	SvenskaHugo	4
94	Kowcio_	4
94	stellarjay	4
94	Moetis	4
94	Skippeh	4
94	anbbang	4
94	MelodyGaysharks	4
94	h2p_emrld	4
123	Jalvajar	3
123	Merv__	3
123	6king6colt6	3
123	Slinkyy7071	3
123	BlancoFlaco	3
123	Paleshield	3
123	Caystelly	3
123	youhjjhhhjj	3
123	Batman922	3
123	Natty	3
123	MOSS000	3
123	tsohomie	3
123	H72l9w	3
123	Sleepy_Time_	3
123	FirsTimeGamingTV	3
123	Valoth	3
123	Malorn_Aetherius	3
123	ratglock	3
123	jacxhadow	3
123	kekhon	3
123	Fullut	3
123	intropass	3
123	XboxPanda	3
123	ImDisconnected_	3
123	mariominejedi	3
123	AJplaysMC_	3
123	Chromary	3
123	RyuNeko932000	3
123	pappaberg	3
123	MustardDrinker	3
123	ItsAki_	3
123	Kouridragon	3
123	Kynigito	3
123	PigDab	3
123	XeroByMyth	3
123	Sky_light_KING	3
123	wezzzi	3
123	proxivitoid	3
123	DemTechAlpha	3
123	JESS_THE_RERE	3
123	ewpunk	3
123	Freak_Genius	3
123	QueenShuvi	3
123	C0oOK13M0N5T3R	3
123	FlashMigma	3
123	RedcatVII	3
123	Racengan	3
123	DeGodz4life	3
123	Hisiste	3
123	Razzgriz	3
123	LordSpeed37	3
123	Soul_Atreus	3
123	Eraxa	3
123	Jij0	3
123	MineMaster0012	3
123	NeoJordache	3
123	Chuglyfe	3
123	Nekomin0	3
123	_TCARREIRA_	3
123	PortlyPete69	3
123	Catharsist	3
123	Dreamdbr14	3
123	Kubeusz2010	3
123	laron58	3
123	TheOnlyRake	3
123	cichy096	3
123	RadarHz	3
123	Lowjinx	3
123	Sral7	3
123	EcksDofficial	3
123	WYFYoyo	3
123	JayToe	3
123	561cool	3
196	Gary_	2
196	Alexanderjac	2
196	Mr_Worthless	2
196	weezygator	2
196	YinToYin	2
196	Groovy_MoonBird	2
196	seanitoo	2
196	dudcreeper	2
196	Mowelan	2
196	xyct	2
196	Cowison	2
196	Paint	2
196	squigglybones	2
196	dabloons	2
196	hollowww	2
196	BigBootyHudge	2
196	Ilinca_Io	2
196	DepressedCubic	2
196	I_Am_Mushkin	2
196	jessemgaming	2
196	rachcl	2
196	Hyugo	2
196	error10101	2
196	Dedalus36	2
196	ColeSnyder	2
196	elementorix	2
196	SaucyDark	2
196	Tolhart	2
196	Flores991	2
196	tuckerdoodle	2
196	Horizons86	2
196	Wooptey	2
196	HollieDaNugget	2
196	openatheclose	2
196	ewsophie	2
196	Reamdin	2
196	Jackster03	2
196	Prismyst	2
196	elleparo	2
196	sejekasper1	2
196	IWorkAtIkea	2
196	TheMaster972	2
196	Unitas_isa	2
196	urbeans	2
196	Ozixar	2
196	Notta	2
196	Auseawesome	2
196	DarkFisto	2
196	Cryptacity	2
196	jiggywraps	2
196	m_be9	2
196	MinttyFressh	2
196	Cortexia	2
196	zorin123	2
196	corvidpartyfor6	2
196	eclipseboi	2
196	Jokerman369	2
196	boog4loo	2
196	AngalexikCZ	2
196	_Minnty_	2
196	crying_wolf_13	2
196	Kamflame10	2
196	MindyDooWho	2
196	Hanselhoof	2
196	Nach0Bear	2
196	IforgotCS_Source	2
196	Mookle96	2
196	surfinggiraffejp	2
196	xxPipperDipperxx	2
196	gcaisawesome	2
196	r123moore	2
196	ItzYaBoiPicard	2
196	eiC_	2
196	DermeinUser	2
196	drunkeeez	2
196	TheDankPlatypus	2
196	M_Patata	2
196	Zaridey	2
196	_Gabae	2
196	RustyKedel	2
196	juuustpeachy	2
196	FetteMutter	2
196	Orcus113	2
196	Windo_licker	2
196	nitram49b	2
196	gabriels543	2
196	Jackattack53	2
196	WET_WET_WET	2
196	SamZombie	2
196	RefluxRatio	2
196	DaviusMaximoose	2
196	Nyxiom_	2
196	MangoTheFish	2
196	Rocco_Lane	2
196	tobinwilliams	2
196	Will_Bee	2
196	lOlmantschi	2
196	ApophisNova	2
196	RobotMinion101	2
196	epiksk8erduck	2
196	skelctal	2
196	Vetral1	2
196	Kokeech	2
196	MonitorLizards	2
196	FishyBoy3811	2
