rank	username	minecraft:crafted/minecraft:leather_leggings
1	Mattesco	559
2	beeperbeeper5	171
3	Lez_	123
4	MattieHD	116
5	TheSecondLord	102
6	Yamdalorian	101
7	Manaateee	83
8	Kowcio_	71
9	LuvLuvLove	69
10	PlasticOtari	59
11	teslawolf38	57
12	500am	42
13	Legendosh	41
14	Mahoose	40
15	Werbe	36
15	luseis	36
15	ConnorDanky_	36
18	rarrq	35
19	pintsizedrogue	33
20	Merv__	31
21	milltesco	27
21	Soplight	27
23	kekhon	23
24	Blackberry1310	21
24	masskedman	21
24	Xclax101	21
27	ECstardust	20
27	Smashic	20
29	I_Am_Mushkin	19
30	hanaryheatwave	18
31	U_Mos_	15
31	Enderxz3	15
33	Hyp3rion_	14
33	oscminus	14
33	mihimihimihi	14
33	__tomato	14
37	TooManyDuck	12
37	RebelAndroid	12
37	SnowyAvi	12
37	EveryonesUncle	12
37	claivin	12
37	robonya_	12
37	KingMatthew506	12
37	EcksD	12
45	m_be9	10
45	excelsionprime	10
45	TechnoNinja64	10
48	Mr_Byzantine	9
48	skroobiez	9
48	Awyrlas	9
48	himak1	9
48	TheShyPig	9
48	_i_ERROR_i_	9
54	titanlax	8
54	BobDeBouwer1337	8
54	Fullut	8
54	Maenara	8
54	pixelviolin	8
59	mymayowasgone	7
59	mwrty	7
59	censorsheep	7
59	TheKingK_	7
59	jnp_gaming	7
64	_Virify_	6
64	ImpavidArcher	6
64	SaucyDark	6
64	Archsam	6
64	bloodbiter	6
64	Hoid_the_Roamer	6
64	Bumpy419	6
64	HellsSponge	6
64	_flud	6
64	geekbird	6
64	SvenskaHugo	6
64	djancak	6
64	Ezekson	6
77	Huwulling	5
77	SteveCraftBlocks	5
77	LeauVox4921	5
77	craaaash	5
77	AnnieBathory	5
77	Onennon	5
77	Akoot_	5
77	Lord_Jord	5
77	El_Jalapeno	5
77	Jimb0nat0r	5
87	joethahobo	4
87	Swexti	4
87	Rebytre	4
87	F_Uhre	4
87	dankxing	4
87	MakeHistory157	4
87	Kyrum2169	4
94	Whalezz	3
94	Sleek_Storm_721	3
94	Gregward_Smith	3
94	MrExplorer	3
94	_Dean_123	3
94	ApophisNova	3
94	wezzzi	3
94	Vol_Rod33	3
94	miramyu	3
94	MyNamaSheff	3
104	Cowison	2
104	PazinGaming	2
104	Frozil20	2
104	Literally_Rat	2
104	fr0stss	2
104	jacxhadow	2
104	Jakobo1337	2
104	platinumzero	2
104	Kakolbus	2
104	Winklepicker279	2
104	thatbeanyboi	2
104	SuperPooch06	2
104	AJplaysMC_	2
104	Boipl	2
104	ooga47	2
104	Mr_Sun15	2
104	SolarKar	2
104	Samificator	2
104	ougstur	2
104	parodypatient	2
104	stuy9	2
104	EdGalbraith	2
104	kkatsuragi	2
104	AspenLightVT	2
104	MAns_44	2
104	ReflexCode	2
104	MustaLoordi	2
104	Blu3beast	2
104	GravitySaint	2
104	lunkuku	2
104	Druid95	2
104	WyngGoy	2
104	Pumpkin_P_Patch	2
104	xzvu	2
104	obzii	2
104	Kferno	2
104	Kubeusz2010	2
104	Quotary	2
104	JayToe	2
104	00000000-0000-0000-0009-01ff0c3e5e4f	2
144	JimmyTISC	1
144	Groovy_MoonBird	1
144	Lorcout	1
144	SyK7	1
144	CLG_Kata	1
144	Ninzyyy	1
144	Nucket	1
144	Hennessy_XO	1
144	Hpdinosaur	1
144	T045RTY	1
144	Jackster03	1
144	AceOfCaydes	1
144	Kronos42	1
144	Historical_Sand	1
144	QuiCreans	1
144	royal_2	1
144	dopplexd	1
144	Saucepeh	1
144	hydrothebot	1
144	Megarboh	1
144	tortfeezy	1
144	Scattman_	1
144	Cambo5000	1
144	falcon244	1
144	Torza	1
144	ROY4LE	1
144	__TheNorseMan__	1
144	Stiar	1
144	Touched_Bread	1
144	XboxPanda	1
144	Zaridey	1
144	Rumpletaezer	1
144	Snowflowe	1
144	Krowuss	1
144	tobinwilliams	1
144	Skylord_Luke	1
144	SpaggeDR	1
144	Sqwishy	1
144	Digger__Joe	1
144	Kim_Jong_eel	1
144	St4nLe7	1
144	Deathkob	1
144	_Karmaa	1
144	MangoSalad316	1
144	SingedBread	1
144	Buuck_	1
144	Fildyr	1
144	LetsDoItLive	1
144	ItsDeltaMC	1
144	Kura2218	1
144	Colmer94	1
144	PortlyPete69	1
144	Steelynan	1
144	PlsUpdateGeyser	1
144	Aryamanee	1
144	MelodyGaysharks	1
144	TheWickedBird	1
