rank	username	minecraft:crafted/minecraft:bamboo_block
1	Hyp3rion_	63109
2	Werbe	6592
3	EveryonesUncle	6455
4	Mr_Byzantine	1881
5	k_ce	1391
6	Apollo_993	825
7	Samificator	733
8	kalzor	647
9	pintsizedrogue	409
10	Merv__	255
11	Enderxz3	208
12	Soplight	198
13	Manaateee	192
14	TheSecondLord	184
15	lordpipe	141
16	Mattesco	128
17	Jimb0nat0r	68
18	pixelviolin	65
19	Jackattack53	64
20	MadmanRaven	57
21	lorywithay	40
22	beeperbeeper5	35
23	Ezekson	28
24	cyuar	25
25	Hahaa_0	9
26	StarCookiees_	4
27	Reneedium	3
28	lillips	1
