rank	username	minecraft:crafted/minecraft:birch_stairs
258	HellsSponge	8
258	MAns_44	8
258	FlashMigma	8
258	Spacewardharpy7	8
258	SUN_DREAM	8
258	Eraxa	8
258	lcvezra	8
258	_Yonk_	8
258	SpacesickPrism	8
258	zOnlyKroks	8
258	Eczbek	8
258	The_SlideV5	8
298	Sleek_Storm_721	4
298	I_Am_Mushkin	4
298	Iagoku	4
