rank	username	minecraft:crafted/minecraft:polished_granite_stairs
1	Yamdalorian	700
2	joethahobo	656
3	stellarjay	252
4	beeperbeeper5	210
5	Mr_Byzantine	192
6	Deerfoot	180
7	Lez_	168
8	Crizma_	148
8	r123moore	148
10	Doom_melon	140
11	Meatlaugh	112
11	Steelynan	112
13	Frozil20	92
14	bloodbiter	76
15	Winklepicker279	72
16	Inbefour	68
17	kekhon	64
18	07shiny	60
19	weabis	56
20	Blasterboy54	53
21	BobDeBouwer1337	48
22	nocturne78	44
22	fragrantmonke444	44
24	m_be9	40
24	Mattesco	40
24	PigDab	40
24	Racengan	40
28	Kowcio_	33
29	mwrty	28
29	vandmanden	28
31	Allanon1235	24
31	NoraTheYandere	24
33	aec9	20
33	djancak	20
33	starbits140	20
36	TheThomas69	16
36	cedric72	16
36	Enderxz3	16
39	U_Mos_	13
40	MoistMicrowave	12
40	Gzrdy	12
40	Fuhrer_Teemo	12
40	_Karmaa	12
44	Olib3ar	11
44	Manaateee	11
46	Jimb0nat0r	10
47	ThePoliteG	8
47	Touched_Bread	8
47	91stCataclysm	8
47	Werbe	8
47	NNikitas	8
52	Mahoose	6
52	luseis	6
52	pixelviolin	6
52	skitzxo	6
56	lorywithay	5
57	Merv__	4
57	rarrq	4
57	thescout7	4
57	Hoid_the_Roamer	4
57	groofles	4
57	fkGrim	4
57	fkndweeb	4
57	Tyrannosplart	4
57	Conrad139	4
57	Skippeh	4
67	SingedBread	3
68	LeauVox4921	1
68	bpmm	1
