rank	username	minecraft:crafted/minecraft:stripped_spruce_wood
1	rarrq	3949
2	xxPipperDipperxx	318
3	_Huge_Male_	156
4	Mattesco	120
5	beeperbeeper5	102
6	EveryonesUncle	72
7	EcksD	69
8	Mahoose	66
9	Creativebuilder2	54
9	Manaateee	54
11	Moofyman	48
12	pintsizedrogue	45
12	kekhon	45
14	__lizi	39
15	Touched_Bread	36
15	Groundler	36
17	500am	33
18	PazinGaming	30
19	Steelynan	27
20	Soplight	24
21	noam464	21
22	EMC_	15
22	Inchef	15
24	Merv__	12
24	SvenskaSara	12
26	diamondgolem35	9
26	Kakolbus	9
26	bl1ss0	9
26	MyNameIsJobo	9
26	SvenskaHugo	9
26	Kowcio_	9
26	Pumpkin_P_Patch	9
33	BlancoFlaco	6
33	Spacewardharpy7	6
33	Jimb0nat0r	6
36	Lez_	3
36	Fullut	3
36	Kkanot	3
36	Werbe	3
36	HellsSponge	3
36	Cavetorch	3
36	wwwwinnebagoooo	3
36	lordpipe	3
36	Ezekson	3
36	Legendosh	3
