rank	username	minecraft:crafted/minecraft:acacia_trapdoor
1	beeperbeeper5	1190
2	sebastiensaborio	1038
3	Mahoose	744
4	PlasticOtari	712
5	Smoke____	618
6	Spacewardharpy7	582
7	ROY4LE	544
8	PigDab	422
9	Enderslayerxz3	240
10	Di_infiri	234
11	mariominejedi	224
12	smogfrog	212
13	Winklepicker279	188
14	EveryonesUncle	164
15	El_Jalapeno	150
16	Franco093	128
16	stellarjay	128
18	Powowowow	106
19	m_be9	102
20	CoffeeNoir	86
20	YoshikageBites	86
22	Hoid_the_Roamer	80
23	noam464	74
23	TheShyPig	74
25	peach0s	72
26	Soplight	70
27	ProfessorDiaper	62
28	eitanzaki	60
29	Jiminie	54
30	JESS_THE_RERE	52
31	_Ruzeeq_	48
32	pintsizedrogue	46
33	Werbe	44
33	AssEatrAndLicker	44
33	EcksDofficial	44
36	ImpavidArcher	42
36	SpaceGrenadier	42
38	r123moore	40
38	ooga47	40
40	youhjjhhhjj	38
41	kekhon	34
42	HellsSponge	33
43	TheSeismicDuck	30
44	ProfessorBee	26
44	gcaisawesome	26
44	oxfordschool	26
47	Ezekson	24
48	Rich_Kat	22
49	joethahobo	20
49	500am	20
49	lordpipe	20
52	Groovy_MoonBird	18
52	T045RTY	18
52	MousePlays	18
55	Mowelan	16
55	SaucyDark	16
55	IAmTheWalrus910	16
58	Tommhh	14
58	Fullut	14
58	YungMaki	14
58	Slapface522	14
62	EMC_	12
63	Bandito_Roamer	10
63	Blackberry1310	10
63	Barlycorn	10
63	Dusk_95	10
67	Wooptey	8
67	TheSecondLord	8
67	claivin	8
67	Toriankel	8
71	mads388a	6
71	ChillenChiggen	6
71	TJawesome09	6
71	MyNameIsDakar	6
71	OutcryOfEnkidu	6
76	Merv__	4
76	nocturne78	4
76	himak1	4
76	Doom_melon	4
76	SuperPooch06	4
76	Kynigito	4
76	Meatlaugh	4
76	Groundler	4
76	starbits140	4
76	PortlyPete69	4
76	xX_Stalin69_Xx	4
76	Kubeusz2010	4
76	jnp_gaming	4
89	sp00ky_ghost977	3
90	KarlKaek	2
90	planc_	2
90	Cryptacity	2
90	Ardennes	2
90	Scathra	2
90	egglapras	2
90	2Stout	2
90	Resner	2
90	Kakolbus	2
90	Avermu	2
90	loveseeker	2
90	MyNameIsJobo	2
90	thewindmillman	2
90	MustardDrinker	2
90	ApophisNova	2
90	duqboy	2
90	Deodorante	2
90	Freak_Genius	2
90	Blu3beast	2
90	Blaiku	2
90	DeGodz4life	2
90	SkateboardR6	2
90	ElectricDragon81	2
90	Spenduh	2
90	Dreamdbr14	2
90	tartanboy	2
90	MyNamaSheff	2
90	JayToe	2
