rank	username	minecraft:crafted/minecraft:birch_door
147	Matorz	3
147	Paigefly	3
147	monky_irl	3
147	radioactv_jelly	3
147	bndo	3
147	LetsDoItLive	3
147	ItsDeltaMC	3
147	toos1esl1de	3
147	Pickel_Lord	3
147	Shin69	3
147	sleepdrifter_	3
147	FadedSpade82	3
