rank	username	minecraft:crafted/minecraft:chainmail_helmet
1	TheShyPig	35
2	SmashingPump	21
3	joethahobo	20
4	Bonzaidalek	10
5	NoHaHeHa	9
6	Ryker	8
6	WeebleSock	8
8	luseis	7
9	Merv__	6
9	Werbe	6
11	pintsizedrogue	5
12	himak1	2
12	xxPipperDipperxx	2
14	Bandito_Roamer	1
14	Cowison	1
14	Sleek_Storm_721	1
14	RebelAndroid	1
14	Jahara	1
14	ThiccExotic	1
14	Mahoose	1
14	Historical_Sand	1
14	beeperbeeper5	1
14	G1ldor	1
14	John6970	1
14	RobotMinion101	1
14	Katsuragi0243218	1
14	Jiminbub	1
14	NameGenerat0r	1
14	censorsheep	1
14	ItsJunoIGuess	1
14	diggydog67	1
