rank	username	minecraft:crafted/minecraft:spruce_slab
1	Ezekson	16026
2	PigDab	14448
3	Onennon	10608
4	Legendosh	9008
5	EMC_	8930
6	Barlycorn	8515
7	rarrq	8467
8	_Dean_123	8277
9	EveryonesUncle	8250
10	YungMaki	7070
11	Frozil12	6408
12	pintsizedrogue	6054
13	Smoke____	5924
14	Mahoose	5802
15	500am	5669
16	Inchef	5645
17	Steelynan	5545
18	beeperbeeper5	5230
19	Merv__	5214
20	TheShyPig	5004
21	RodSerlingCringe	4388
22	RobotMinion101	4230
23	ApophisNova	4212
23	MyNamaSheff	4212
25	Zythose	4104
26	ogoa	3942
27	Kakolbus	3714
28	SvenskaHugo	3702
29	Eraxa	3630
30	Di_infiri	3474
31	Shogunite	3423
32	El_Jalapeno	3380
33	xxPipperDipperxx	3363
34	r123moore	3162
35	burbankbuilder28	3108
36	Deodorante	2936
37	TheSecondLord	2934
38	Groundler	2773
39	Rumpletaezer	2728
40	kekhon	2556
41	HellsSponge	2553
42	EcksDofficial	2532
43	CoffeeNoir	2462
44	_Karmaa	2355
45	Historical_Sand	2292
46	TooManyDuck	2232
46	Spacewardharpy7	2232
48	Lord_Jord	2220
49	Blaiku	2215
50	noam464	2194
51	Natty	2058
51	SlayerCrypto	2058
53	Skylord_Luke	2052
54	m_be9	1974
55	oxfordschool	1870
56	Snowflowe	1866
57	Jiminie	1836
58	eitanzaki	1830
59	diamondgolem35	1828
60	Skippeh	1824
61	ImpavidArcher	1770
62	Deathkob	1746
63	Hoid_the_Roamer	1722
64	titanlax	1708
65	Arceus1975	1690
65	Soplight	1690
67	diggydog67	1684
68	MinttyFressh	1614
69	fkGrim	1570
70	obzii	1566
71	Cowison	1508
72	Blackberry1310	1414
73	AuroraSkies	1410
74	Werbe	1408
75	redikul	1398
76	Unitas_isa	1350
77	set67	1326
78	Racengan	1314
79	_stets	1296
80	dabloons	1278
81	Fullut	1254
82	Chromary	1212
83	andy_rex	1194
84	EfficientC52	1158
85	Enderslayerxz3	1128
86	KarlKaek	1122
87	Groovy_MoonBird	1112
88	BlueZabu	1100
89	Tommhh	1090
90	ProbablyNick	1080
91	PortlyPete69	1032
92	lcvezra	1020
93	ExtraDumb	1014
93	Bumpy419	1014
95	anbbang	997
96	CalebDHawk	984
97	Akoot_	978
98	MilleGrug	974
99	OfficerAnvil	972
100	Cryptacity	942
101	RebelAndroid	882
102	stellarjay	876
103	wwwwinnebagoooo	864
104	__tomato	858
105	krutas2000	840
106	SDMNAEK	834
106	pappaberg	834
108	pixelviolin	810
109	Mr_Byzantine	792
110	rotten_mango	738
111	Cortexia	732
112	Sleek_Storm_721	708
112	mwrty	708
114	bigstankyy	690
114	ehunt54	690
114	FetteMutter	690
117	Kowcio_	684
118	ElectricDragon81	678
119	The_slideV3	666
120	SaucyDark	654
120	MyNameIsJobo	654
120	Matyyy15	654
120	MyNameIsDakar	654
124	KlausVonStiglitz	648
125	layabout100	642
126	TheBiggestFeller	636
127	dedgt	630
127	Rebytre	630
129	Jackattack53	618
130	Nicserso	612
131	Ssor69	598
132	Louiis123	594
132	Stiar	594
134	Hpdinosaur	588
134	NomadicRobin_	588
136	claivin	582
137	dopplexd	576
138	CrookedKaptain	558
139	q_wq	557
140	rats_life	552
140	BreadBacon	552
140	The_SlideV5	552
143	fffMike	546
144	fr0stss	540
145	Jovaphobic	534
145	Soap_Bender	534
147	Blu3beast	520
148	TheMilkerOfCats	504
148	Rich_Kat	504
150	XxCookiequeenxX	502
151	HyperCave	492
152	Quotary	490
153	IWorkAtIkea	486
154	soundad	484
155	Luigipunch989	480
155	MeetTheWollo	480
157	Yatitay	476
158	SexcMf	474
159	seanitoo	468
159	Incinere	468
159	PabloGonza02	468
159	Hermanni__	468
163	NoxxxxiS	462
164	__Fanda__	456
164	KingMatthew506	456
166	CrateOfBoxes	450
166	IdeallyGrey	450
168	Jonte0599	448
169	Tolhart	445
170	6king6colt6	444
171	Fildyr	438
172	Vetral1	432
172	natajimi	432
172	Inbefour	432
175	Ardennes	426
175	Dreamdbr14	426
177	Dusk_95	424
178	xyct	420
178	intropass	420
180	drumine	414
181	Matek_	408
181	NoChumpChange	408
183	MixerDixer	402
183	BlancoFlaco	402
183	Xclax101	402
183	NebulousBadger	402
187	Megarboh	396
187	2Stout	396
187	ClemenPine	396
190	hm947	390
190	lordpipe	390
192	ZeroKraken	384
193	_Razar	382
194	SquadMonster	378
195	gaziter10	372
195	Winklepicker279	372
197	Ze_BaronKrigler	363
198	joethahobo	354
198	GLLogan2	354
198	Septemb3r	354
198	Dragonlfw	354
198	SammiWolfGirl	354
198	Serval2000	354
204	SkateboardR6	352
205	heysushii	348
205	fluddd	348
207	G1ldor	342
208	Ailmast	336
208	Jokerman369	336
208	Laykon	336
211	RoskobiOne	330
211	John6970	330
213	_Boipl_	324
213	DarkS0L	324
215	gilesmcriles	320
216	FlashMigma	318
216	Chuglyfe	318
218	Drlzyy	312
218	VentiHilton	312
220	Flores991	300
220	halfbakedlasagna	300
222	yaboo88	298
223	SteveCraftBlocks	288
223	alderban107	288
225	ColeSnyder	282
226	M_Patata	276
226	MasterNueve	276
228	teslawolf38	270
228	rachcl	270
228	awesomeoneme	270
228	DizzleJay311	270
228	Agent108	270
233	Lukeee33	264
233	nut_e	264
233	epiksk8erduck	264
233	LordSpeed37	264
237	Jimi7hits	261
238	Healthing	258
238	Enigma0251	258
238	whoaluv	258
241	NatrixxddxYT	252
241	Comma__	252
241	_Bguette_	252
241	07shiny	252
245	Roikdean	247
246	MakeHistory157	246
247	chimpmunker	240
247	FishyBoy3811	240
247	ProfessorDiaper	240
250	purpolepickle	228
250	Crasswolf	228
250	Queen_Jalapeno	228
250	FGamerJ	228
254	Swexti	222
254	jacxhadow	222
254	ATurtle4936	222
254	ItsDeltaMC	222
258	UncleDanDan	216
258	Meatlaugh	216
258	Steven1282598	216
258	lolpoottoot	216
258	MovingFish7	216
263	ssleepless	210
263	Ryker	210
263	Sloths_Ender	210
263	shyshyannne	210
263	Covalents	210
263	Negriuke	210
263	BlankityMcBlank	210
263	Zoeyfortnite	210
271	livingdaydreams	204
271	ratglock	204
271	ProfessorBee	204
271	SuperPooch06	204
275	SpaceGrenadier	198
275	Sky_light_KING	198
277	Gary_	192
277	Hanselhoof	192
277	sleepdrifter_	192
280	Kkanot	186
280	Omar_Alone	186
280	YoshikageBites	186
283	Matorz	184
284	Alphanzt99	180
284	toj__	180
284	PartyPhoenix	180
284	TheGameArchitect	180
288	Froste131	174
288	DemTechAlpha	174
