rank	username	minecraft:crafted/minecraft:stone_brick_slab
1	PigDab	36775
2	12Magner05	12610
3	_Virify_	11594
4	HellsSponge	10125
5	Werbe	9859
6	Skylord_Luke	9030
7	Smoke____	8830
8	El_Jalapeno	8338
9	_Dean_123	7977
10	_Nuf	7486
11	obzii	7218
12	YungMaki	7114
13	joethahobo	6732
14	Frozil20	6374
15	lcvezra	6260
16	ApophisNova	6216
16	MyNamaSheff	6216
18	Di_infiri	5938
19	mwrty	5418
20	alderban107	5244
21	Xalithia	5238
22	mihimihimihi	5205
23	gcaisawesome	4426
24	Bumpy419	4381
25	Blu3beast	4232
26	purpolepickle	3878
27	Mewar	3811
28	TheShyPig	3666
29	CrateOfBoxes	3618
30	weabis	3428
31	madderfall	3210
32	Shogunite	2984
33	burbankbuilder28	2928
34	noam464	2892
35	censorsheep	2816
36	Warlord324	2640
37	Soplight	2625
38	Ezekson	2442
39	EveryonesUncle	2214
40	GlitchyPlate810	2186
41	NieToksikpl	2150
42	Akoot_	2108
43	Barlycorn	2034
44	EcksD	1972
45	DanTheBuilderino	1932
46	Eraxa	1884
47	Kakolbus	1806
48	ProfessorBee	1728
48	Winklepicker279	1728
50	DTwenty	1680
51	WET_WET_WET	1632
52	Arceus1975	1628
53	Chromary	1572
54	thescout7	1555
55	Incinere	1540
56	Kubelz	1508
57	Xclax101	1474
58	TheSeismicDuck	1458
59	SkateboardR6	1452
60	Steelynan	1372
61	XxCookiequeenxX	1326
62	jcool7	1302
63	07shiny	1260
64	Cortexia	1248
64	Slapface522	1248
66	The_slideV3	1182
67	Typadopoulos	1164
68	Sral7	1152
69	beeperbeeper5	1130
70	CollinMH06	1086
71	pintsizedrogue	1024
72	WyngGoy	1014
73	Inbefour	990
74	diamondgolem35	969
75	Zythose	966
76	xolstoi	962
77	Inchef	914
78	Kferno	896
79	gusstationwerker	894
80	Fildyr	876
81	FreakGenius	852
82	Esme_1	850
83	OfficerAnvil	834
83	trexgb	834
85	Jimb0nat0r	830
86	Jackattack53	800
87	Yatitay	792
87	avalan64	792
89	pumpfonzo	788
90	_Boipl_	786
90	FishisTTV	786
92	Mahoose	780
92	Hiryu27	780
94	ROY4LE	774
95	Da_Boss_Rani	750
95	legal_tax_evader	750
97	wobn	720
98	TheSecondLord	708
98	UrbanPlanningEx	708
100	Snowflowe	702
101	Tyrannosplart	674
102	kekhon	666
102	Lord_Jord	666
102	Spacewardharpy7	666
105	PhantomsGhost_	654
106	Jovaphobic	642
106	CattSoup	642
108	jjettii	636
109	Myszoaz	612
109	Donutt	612
111	StinkyDiplomat	606
111	Racengan	606
113	m_be9	600
114	sxc_	594
115	JESS_THE_RERE	526
116	FlashMigma	510
116	SammiWolfGirl	510
116	K_a__a_n	510
116	Kateesaur	510
120	set67	506
121	q_wq	492
122	r123moore	490
123	Smiguli_	480
124	tompup	462
125	SSytex_X	456
126	LordSpeed37	444
127	Nicserso	442
128	SoftSix	438
129	Fuhrer_Teemo	432
130	RoofTyler	430
131	Crowvens	426
131	VentiHilton	426
133	benediktine1	421
134	Reamdin	420
134	ThiccExotic	420
134	titanlax	420
137	livingdaydreams	414
137	Jokerman369	414
139	NatalieTW	408
139	MrExplorer	408
141	Hyp3rion_	402
142	Factoroni	396
142	athereall	396
144	Blackberry1310	392
144	xxPipperDipperxx	392
146	Healthing	390
146	Kowcio_	390
148	Alexanderjac	384
148	Jordan_R	384
150	Ssor69	378
150	fffMike	378
152	Matek_	366
153	yaboo88	360
154	MyNameIsDakar	358
155	MyNameIsJobo	354
155	LAVA129	354
155	selectrix	354
155	Dusk_95	354
159	bigstankyy	350
160	Elastiq	348
161	Mr_Byzantine	342
162	Bandito_Roamer	324
163	GLLogan2	318
163	AuroraSkies	318
163	NoChumpChange	318
163	drumine	318
167	Historical_Sand	312
167	TheWildMateo	312
169	DinoDoctor_	309
170	KeruNatsema	304
171	RobotMinion101	300
172	M_Patata	288
172	MasterNueve	288
174	eitanzaki	282
174	Fizznut909	282
176	TheDankPlatypus	276
176	Rebytre	276
178	TheThomas69	270
178	Rumpletaezer	270
178	_Karmaa	270
178	NameGenerat0r	270
178	djancak	270
183	Louiis123	264
183	SmashingPump	264
183	Jakobo1337	264
186	zorin123	258
186	cichy096	258
188	T045RTY	253
189	H72l9w	252
189	ElKaySVK	252
191	Lez_	250
192	Groundler	246
192	Soffbord	246
194	Fullut	240
194	Matorz	240
196	Chaotic1s	234
197	JayToe	231
198	Cowison	228
198	ThePoliteG	228
198	Azmodan_246	228
201	olliebollie48	222
202	rarrq	216
202	Masssonnn	216
202	tsitrawhy	216
202	xX_Stalin69_Xx	216
206	0nly_sn1per	214
207	Yirtle	210
208	MirielThePastor	204
209	Doom_melon	198
209	CaptainDeadBread	198
211	NotMeanttoChange	192
211	krutas2000	192
213	Tobinator_007	186
213	TooManyDuck	186
213	drunkeeez	186
213	pixelviolin	186
213	The_SlideV5	186
218	Notta	174
218	slkiey	174
218	SvenskaHugo	174
221	Ryker	172
222	CarsonDoesMine	168
222	ImpavidArcher	168
224	Huwulling	162
224	KartivGal	162
224	Fuad_R	162
224	wwwwinnebagoooo	162
228	LittleBug562	156
228	Merv__	156
228	DermeinUser	156
228	Toiton	156
232	_Huge_Male_	154
232	UCP_TheKingK	154
234	UncreativeArtist	152
234	ReyTheLegend	152
236	ergoalias	150
236	XboxPanda	150
236	MightyWertu	150
239	picardred	144
239	RyuNeko932000	144
239	Legendosh	144
