rank	username	minecraft:crafted/minecraft:cooked_rabbit
1	wezzzi	189
2	12Magner05	168
3	Smoke____	128
4	ProfessorBee	100
5	Di_infiri	95
6	El_Jalapeno	38
7	xxPipperDipperxx	35
8	Bandito_Roamer	11
8	500am	11
8	TheShyPig	11
11	TooManyDuck	9
11	yulgur1	9
13	m_be9	8
13	Kubelz	8
13	SuperPooch06	8
13	The11thDoctor	8
13	Akoot_	8
13	Xclax101	8
19	KingMatthew506	7
20	BlancoFlaco	6
20	Euclidoris	6
20	Jiminbub	6
23	Razzgriz	5
23	lcvezra	5
25	Lilinaya17	4
25	ROY4LE	4
25	Blazaey	4
25	wwwwinnebagoooo	4
29	pintsizedrogue	3
29	xXTheWolfmanXx	3
29	RebelAndroid	3
29	awesomeoneme	3
29	Blackberry1310	3
29	kekhon	3
29	2Stout	3
29	M_Patata	3
29	claivin	3
29	Dusk_95	3
29	MasterNueve	3
29	FallenCorps	3
41	Mowelan	2
41	SirUnderpants	2
41	TheMaster972	2
41	FirsTimeGamingTV	2
41	MrExplorer	2
41	Ardennes	2
41	UncreativeArtist	2
41	noam464	2
41	thewindmillman	2
41	Bumpy419	2
41	Jiminie	2
41	Blu3beast	2
41	Eraxa	2
41	Lowjinx	2
55	KarlKaek	1
55	Begformurrcy	1
55	beeperbeeper5	1
55	JuuustYeet	1
55	Guillemet	1
55	Fullut	1
55	Covalents	1
55	Paintz	1
55	ItzYaBoiPicard	1
55	_Gabae	1
55	MethylRadical	1
55	valiSW	1
55	DanielMmm	1
55	jewbacaman	1
55	AlphaWolfPlaysMC	1
55	MinuteMira	1
55	Meatlaugh	1
55	BigCronkin	1
55	Freak_Genius	1
55	Toriankel	1
55	LeadenKey	1
55	YungMaki	1
55	Segotep999	1
55	starbits140	1
55	Steelynan	1
55	MellowCookie	1
55	mobunni	1
55	Enderslayerxz3	1
55	MeetTheWollo	1
