rank	username	minecraft:crafted/minecraft:polished_deepslate
1	mihimihimihi	54524
2	thewindmillman	26352
3	Hyp3rion_	24840
4	beeperbeeper5	24236
5	weabis	20236
6	Fuad_R	19340
7	non089	19144
8	Jackattack53	11432
9	PazinGaming	10772
10	Segotep999	9140
11	hanaryheatwave	8964
12	Mattesco	7536
13	Manaateee	6872
14	Winklepicker279	5748
15	joethahobo	5692
16	EMC_	5684
17	Huwulling	5632
18	thebaddruid	5316
19	catandmoose	5280
20	00000000-0000-0000-0009-01ff0c3e5e4f	5084
21	12Magner05	4788
22	k_ce	4768
23	ZoomieZoomie	4328
24	StinkyDiplomat	3752
25	CattSoup	3576
26	Da_Boss_Rani	3520
27	YungMaki	3392
28	MAns_44	3148
29	Samificator	2612
30	diamondgolem35	2600
31	PaperCanvas	2460
32	iSammael	2304
33	Nicserso	2300
34	Spacewardharpy7	2284
35	Touched_Bread	2256
36	PigDab	1992
37	NLKBuilder	1856
38	TheWildMateo	1800
39	lorywithay	1793
40	pixelviolin	1782
41	Skylord_Luke	1736
42	Mr_Byzantine	1526
43	teslawolf38	1525
44	titanlax	1456
45	nattybears	1408
46	rarrq	1296
47	breadbowlgamer	1224
48	Steelynan	1216
49	fw3xy74	1212
50	xolstoi	1092
51	Sharkbyte0	1068
52	00000000-0000-0000-0009-01faf4342590	1028
53	Sleepy_Time_	1012
54	SpacesickPrism	968
55	Apollo_993	936
56	RebelAndroid	850
57	Buuck_	840
58	SvenskaHugo	796
59	FishisTTV	776
60	KGTV	712
61	olliebollie48	696
62	Crowman1	640
62	LeEricc	640
64	ZeroAbyssTTV	638
65	fffMike	612
66	Hermanni__	604
67	Smashic	586
68	Jimi7hits	576
69	NameGenerat0r	516
70	2extreeme	512
71	_Huge_Male_	504
72	MC_Gamer_Geek	484
73	Ev0luti0nz	456
74	N00bula	432
75	prizm_	416
75	Jimb0nat0r	416
77	_Boipl_	408
78	Solar_Power	384
79	TheSecondLord	368
80	sp00ky_ghost977	340
81	Dblikstad	336
82	Kowcio_	320
83	Btabtab	312
84	Mr_Sun15	304
85	Marbz_	300
85	Werbe	300
87	jessewegottacook	284
88	Elastiq	272
89	lillips	268
90	CoffeeNoir	260
91	Rebytre	256
91	ATurtle4936	256
91	TheALV	256
94	Inchef	244
94	lizardfightclub	244
94	groofles	244
97	TooPure2	208
98	Blackberry1310	204
98	noam464	204
100	Luminad3	200
100	Tiktola01	200
102	TJawesome09	192
102	EcksD	192
104	ItsHydroMC	176
105	shineh10	168
106	mobunni	140
106	2blox_	140
108	AstreaTSS	128
108	IdeallyGrey	128
108	NATE_the_HALO	128
111	Megarboh	124
112	_stets	116
113	floodjon	108
114	Roenfire	100
114	RadarHz	100
116	FormulaNewt3627	76
117	Legendosh	72
118	Moofyman	70
119	ITDV	68
119	arvous	68
119	Crynrus	68
119	SkinnyBois	68
119	BiggieDawg	68
124	Cellcorgi649	64
124	Kubelz	64
124	shrimp_flips	64
124	fluddd	64
124	AdmiralSmoke	64
129	Myszoaz	60
129	luseis	60
131	RoskobiOne	57
132	Gryglu583	56
133	pintsizedrogue	50
134	CLG_Kata	48
134	benediktine1	48
136	Ryker	45
137	drunkeeez	40
138	Soplight	34
139	Ezekson	32
140	Merv__	31
141	RatatJuice	28
142	H0UNDFRMH3LL	24
143	Mahoose	16
144	Krowuss	15
145	bearlystraight	12
146	hm947	10
147	Deathkob	9
148	CalebDHawk	8
148	Njensen7	8
148	AltnumberF4	8
148	PlasticOtari	8
152	Groovy_MoonBird	4
152	MuffinManzz	4
152	Killercatty78	4
152	Lez_	4
152	JETrotter	4
152	The_Fulgurator	4
152	UCP_TheKingK	4
152	Enderxz3	4
152	MadmanRaven	4
161	mr_crabs761	2
162	500am	1
162	ApophisNova	1
162	MyNamaSheff	1
