rank	username	minecraft:crafted/minecraft:stripped_warped_hyphae
1	StarCookiees_	273
2	Mattesco	242
3	fragrantmonke444	87
4	pintsizedrogue	51
5	Lez_	45
5	noam464	45
7	Xalithia	33
7	EveryonesUncle	33
9	bl1ss0	30
10	hermmm_	27
11	Merv__	3
11	RebytreGT	3
11	HolyVenom	3
11	HellsSponge	3
11	SpacesickPrism	3
