rank	username	minecraft:crafted/minecraft:blackstone_stairs
1	Fullut	2052
2	Dusk_95	491
3	Werbe	268
4	jacxhadow	265
5	Enderslayerxz3	223
6	ogoa	221
7	xxPipperDipperxx	210
8	theonlymagikarp	188
9	BobDeBouwer1337	152
10	ooga47	136
11	Blackberry1310	124
12	Smoke____	116
13	KartivGal	108
14	YungMaki	105
15	Xalithia	84
16	fffMike	80
16	YoshikageBites	80
18	benediktine1	60
19	EtherealEspresso	56
20	thewindmillman	53
21	soundad	44
22	pintsizedrogue	33
23	egglapras	32
24	ApophisNova	29
24	MyNamaSheff	29
26	joethahobo	28
26	noam464	28
26	lordpipe	28
29	titanlax	24
29	sebastiensaborio	24
31	beeperbeeper5	21
32	Zythose	20
32	HellsSponge	20
34	_Dean_123	16
34	cichy096	16
36	ImpavidArcher	13
37	ItsDeltaMC	12
38	Mahoose	11
39	SirBreadward	8
40	_Razar	7
41	RebelAndroid	4
41	Khelvoryk	4
41	Arceus1975	4
41	PigDab	4
41	NomadicRobin_	4
41	EveryonesUncle	4
41	Ze_BaronKrigler	4
41	KG1999	4
41	djancak	4
50	Paint	3
50	Freak_Genius	3
50	Soplight	3
53	Kubeusz2010	1
