rank	username	minecraft:crafted/minecraft:spruce_fence
1	beeperbeeper5	6078
2	Skylord_Luke	4467
3	rarrq	4269
4	_Dean_123	4007
5	Mahoose	2763
6	TheShyPig	2382
7	chipklip	2160
8	MyNameIsJobo	2007
9	Inchef	1947
10	500am	1785
11	El_Jalapeno	1620
12	Onennon	1572
13	sebastiensaborio	1530
14	Merv__	1407
15	m_be9	1356
16	TheSecondLord	1326
17	Dusk_95	1272
18	Legendosh	1146
19	burbankbuilder28	1122
20	LordSpeed37	1086
21	Werbe	1022
22	PlasticOtari	987
23	_stets	957
24	jacxhadow	900
25	pintsizedrogue	885
26	SvenskaHugo	864
27	dopplexd	846
28	Tommhh	810
29	lcvezra	807
30	Eraxa	792
31	Frozil12	786
32	EveryonesUncle	747
33	ApophisNova	720
33	fffMike	720
33	MyNamaSheff	720
36	Blackberry1310	678
37	MinttyFressh	660
38	diamondgolem35	656
39	ewpunk	654
40	Louiis123	639
41	Smiguli_	630
42	Di_infiri	612
43	Meatlaugh	600
44	KarlKaek	597
45	Kakolbus	567
46	Mistruth	558
47	Comma__	543
48	2Stout	525
49	oxfordschool	516
50	KingMatthew506	510
51	Soplight	474
52	HellsSponge	468
53	Unitas_isa	465
54	Bumpy419	462
54	EcksDofficial	462
56	kekhon	456
57	natajimi	453
58	awesomeoneme	447
59	Froste131	435
59	Barlycorn	435
61	T045RTY	420
62	ROY4LE	402
63	Soap_Bender	390
64	Racengan	384
65	joethahobo	378
66	Deodorante	375
67	q_wq	372
68	Historical_Sand	369
69	Groovy_MoonBird	366
69	kyouma777	366
71	xxPipperDipperxx	363
72	RodSerlingCringe	360
72	Kowcio_	360
74	BlueZabu	357
75	Arceus1975	354
76	eitanzaki	345
76	Laykon	345
76	Enderslayerxz3	345
79	Blu3beast	339
80	Cortexia	333
81	Smoke____	327
82	ZeroKraken	315
83	Spenduh	312
84	Malorn_Aetherius	306
85	Freak_Genius	303
86	Cowison	294
87	Steven1282598	291
88	Studyhallsaver	285
89	MAns_44	282
90	XxCookiequeenxX	279
90	krutas2000	279
92	fkGrim	258
93	r123moore	249
94	anbbang	247
95	Chromary	243
96	MixerDixer	240
96	Stiar	240
96	Zythose	240
99	Bloo2406	237
100	Soffbord	234
101	Rumpletaezer	231
101	Deathkob	231
101	SkateboardR6	231
104	EMC_	228
104	Snowflowe	228
104	_Karmaa	228
104	lordpipe	228
108	Dedalus36	216
108	fluddd	216
108	TechnoNinja64	216
111	YungMaki	213
112	Typadopoulos	210
113	SUN_DREAM	207
114	zorin123	198
114	whoaluv	198
114	HesDemonPants	198
117	ogoa	195
117	MyNameIsDakar	195
119	ibarker21	192
119	MangoTheFish	192
119	wobn	192
119	PortlyPete69	192
123	Fullut	189
123	cytotoxaint	189
125	set67	186
125	Spacewardharpy7	186
127	livingdaydreams	183
127	NebulousBadger	183
129	JustAWill_	180
129	layabout100	180
131	Kkanot	177
132	seramalen	171
133	Sleek_Storm_721	168
133	rotten_mango	168
135	John6970	165
135	selectrix	165
137	__Fanda__	159
138	FlashMigma	156
138	MightyWertu	156
138	Quotary	156
141	rats_life	147
141	Tolhart	147
141	SDMNAEK	147
141	Cryptacity	147
141	Akoot_	147
141	Lord_Jord	147
147	RoskobiOne	144
147	Flores991	144
147	Jackattack53	144
150	Lowjinx	141
151	Ardennes	138
151	willowcherrytree	138
151	Vetral1	138
154	FishyBoy3811	135
154	SammiWolfGirl	135
154	Ezekson	135
157	Natty	132
157	Hyp3rion_	132
157	Shogunite	132
157	claivin	132
157	lolpoottoot	132
157	Fizznut909	132
163	The_Fulgurator	129
164	TooManyDuck	126
165	Ssor69	123
165	Skippeh	123
167	Mr_Byzantine	120
167	SaucyDark	120
169	bigstankyy	117
169	EfficientC52	117
171	redikul	114
171	PigDab	114
171	xo_Marren_xo	114
171	OfficerAnvil	114
175	RebelAndroid	113
176	Zlatovlas	111
176	pappaberg	111
176	NoChumpChange	111
176	__tomato	111
180	M_Patata	108
180	SlayerCrypto	108
180	MasterNueve	108
180	Slapface522	108
180	_3Stump_	108
185	surfinggiraffejp	105
185	pixelviolin	105
187	Quincannon	104
187	Deerfoot	104
189	KermitTheKripple	103
190	Shavrin	102
190	sleepdrifter_	102
192	titanlax	99
192	_Boipl_	99
192	CarryLine	99
192	Xclax101	99
192	AvaRosey	99
192	Powowowow	99
198	DermeinUser	96
198	Factoroni	96
198	Njensen7	96
198	Zoeyfortnite	96
202	toj__	93
202	Bazongoman	93
202	_Bguette_	93
202	marumochis	93
202	Fildyr	93
202	TheOuterCore	93
202	Yogscast_Manden	93
209	intropass	90
209	killmeiamtraitor	90
211	Roikdean	88
212	Foof13	87
212	HollieDaNugget	87
212	IWorkAtIkea	87
212	SquadMonster	87
212	NoxxxxiS	87
217	ProbablyNick	84
217	Megarboh	84
217	Inbefour	84
217	bloomkieren	84
221	PhantomsGhost_	81
221	Drlzyy	81
221	SidorAlex	81
221	Alphanzt99	81
221	Winklepicker279	81
221	RobotMinion101	81
221	War_Time_Leader	81
221	Groundler	81
221	erkada	81
230	CoffeeNoir	78
230	Matyyy15	78
230	bitsplease	78
233	FroggoTheDoggo	75
233	TakeThis2UrGrave	75
233	thgrocks	75
233	IAmTheWalrus910	75
233	monolu	75
238	ColeSnyder	72
238	TheFlfthHorseman	72
238	Zaridey	72
238	MustaLoordi	72
238	MineMaster0012	72
238	Wolverine4302	72
238	2blox	72
245	Harotio	69
245	TableTim	69
245	Jiminie	69
245	CalebDHawk	69
249	Paint	66
249	squigglybones	66
249	Valoth	66
249	loveseeker	66
249	Dragonlfw	66
249	al626win52	66
249	MeetTheWollo	66
256	Xalithia	63
256	wrinkledpiglet	63
256	MentheMan09	63
256	Razzgriz	63
256	yatsuta	63
261	6king6colt6	60
261	hm947	60
261	Enigma0251	60
261	NotMeanttoChange	60
265	Menthas	57
265	G1ldor	57
265	MonitorLizards	57
265	JESS_THE_RERE	57
269	SaltineDream	56
270	Sparky_KT	54
270	CrookedKaptain	54
270	StylesK	54
270	breadbowlgamer	54
270	ADEXTV	54
270	PartyPhoenix	54
270	Yoaty	54
277	FirsTimeGamingTV	51
277	Otto_chan	51
277	Negriuke	51
277	RedcatVII	51
277	OG_Songsee	51
277	robotemo	51
277	trexgb	51
284	Jovaphobic	48
284	heysushii	48
284	AuroraValkyrie	48
284	teslawolf38	48
284	Healthing	48
284	baboonlord400	48
284	Kubelz	48
284	_Gabae	48
284	sammidk	48
284	silverpopcorn	48
284	ceAndy200	48
284	stahouo	48
284	laron58	48
284	daybreakus	48
284	FGamerJ	48
299	ewsophie	45
299	GoofyBread	45
