rank	username	minecraft:crafted/minecraft:orange_dye
1	thewindmillman	100400
2	noam464	13824
3	oxfordschool	6948
4	beeperbeeper5	4960
5	Huwulling	2334
6	Spacewardharpy7	2178
7	PlasticOtari	2136
8	Marbz_	1897
9	Inbefour	1731
10	joethahobo	1506
11	Smoke____	1237
12	Jiminie	1124
13	lillips	1024
14	TheSecondLord	888
15	YungMaki	877
16	HellsSponge	716
17	_Dean_123	659
18	SkateboardR6	640
19	TheShyPig	591
20	Rasmanden	548
21	MakeHistory157	515
22	Steelynan	368
23	Hyp3rion_	314
24	TechnoNinja64	302
25	Blackberry1310	267
26	EveryonesUncle	262
27	Werbe	260
28	500am	237
29	Jackattack53	222
30	CoffeeNoir	198
31	kekhon	194
32	Njensen7	164
33	PeteO1995	155
34	Onennon	151
35	Winklepicker279	150
35	Kowcio_	150
37	Snowflowe	136
38	r123moore	133
38	jnp_gaming	133
40	ProbablyNick	128
40	Incinere	128
40	Bumpy419	128
40	remmisrat	128
44	teslawolf38	124
44	FishisTTV	124
46	Lez_	104
46	Typadopoulos	104
48	lordpipe	96
49	KartivGal	91
50	SuperPooch06	90
51	12Magner05	82
52	GlitchyPlate810	80
53	Karbl	72
54	Blaiku	69
55	sp00ky_ghost977	68
56	hm947	66
56	Chromary	66
58	Ezekson	65
59	audiocracked	64
59	_Bguette_	64
59	VentiHilton	64
62	Groundler	61
63	00000000-0000-0000-0009-01ff0c3e5e4f	60
64	_Virify_	58
65	Rumpletaezer	57
66	tuckerdoodle	56
67	MightyWertu	50
68	pintsizedrogue	47
69	mwrty	46
70	King_Pancake1	44
70	AltnumberF4	44
72	m_be9	42
72	Kakolbus	42
74	Sheldor097	41
75	Fullut	40
75	xxPipperDipperxx	40
77	Bandito_Roamer	38
78	Tommhh	36
78	slkiey	36
78	surfinggiraffejp	36
78	lcvezra	36
78	ZoomieZoomie	36
83	Hiryu27	34
83	Legendosh	34
85	_k2x	33
85	pixelviolin	33
87	Notta	32
87	DarlaMeow	32
87	EngagedGrub41	32
90	MattieHD	30
90	tobinwilliams	30
90	Mattesco	30
90	wezzzi	30
94	jspwn	26
94	Luigipunch989	26
96	Quotary	24
97	theonlymagikarp	22
97	Parcc	22
97	Maenara	22
97	wobn	22
97	stellarjay	22
97	Lowjinx	22
103	RoskobiOne	20
103	Wooptey	20
103	rarrq	20
103	claivin	20
103	ItsDeltaMC	20
108	Mahoose	19
109	LilLizardWizard	18
109	JayToe	18
111	Lord_Jord	17
112	BobDeBouwer1337	16
112	El_Jalapeno	16
114	Akoot_	15
115	Groovy_MoonBird	14
115	Merv__	14
115	jessewegottacook	14
115	heckface	14
115	jacxhadow	14
115	set67	14
115	Luminad3	14
122	Sleek_Storm_721	13
122	RebelAndroid	13
122	pappaberg	13
125	Jokerman369	12
125	thescout7	12
125	Awyrlas	12
125	Dusk_95	12
125	PortlyPete69	12
125	LeeMcGee30	12
125	EcksD	12
125	OnlyOfficial	12
133	Comma__	11
133	Windo_licker	11
133	Truckoss	11
136	I_Am_Mushkin	10
136	ExtraDumb	10
136	himak1	10
136	MyNameIsJobo	10
136	Sky_light_KING	10
136	420BreadLizard	10
136	Enderslayerxz3	10
143	Zippyzam	9
143	Natty	9
143	Scathra	9
146	Menthas	8
146	titanlax	8
146	StanceTB	8
146	corvidpartyfor6	8
146	Xalithia	8
146	Kynigito	8
146	thgrocks	8
146	The_slideV3	8
146	Jamstroxian	8
146	LordSpeed37	8
146	yatsuta	8
146	fffMike	8
146	KingMatthew506	8
159	Frozil20	7
159	Xclax101	7
159	fluddd	7
159	babyjimmyneutron	7
163	Cowison	6
163	TooManyDuck	6
163	Ssor69	6
163	Arceus1975	6
163	Skylord_Luke	6
163	The11thDoctor	6
163	CruncyIsTaken	6
163	masskedman	6
163	Deathkob	6
163	Quincannon	6
163	StinkyDiplomat	6
163	Blu3beast	6
175	Myszoaz	5
175	Inchef	5
175	chipklip	5
175	Freak_Genius	5
175	Racengan	5
175	Soplight	5
181	Jovaphobic	4
181	MixerDixer	4
181	soundad	4
181	AuroraValkyrie	4
181	Alteriity	4
181	GingerNeutron	4
181	wiqor	4
