rank	username	minecraft:crafted/minecraft:jungle_button
1	PigDab	316
2	Hyp3rion_	166
3	Steelynan	84
4	Jackattack53	65
5	noam464	64
6	YungMaki	60
7	Kferno	56
8	beeperbeeper5	43
9	Bandito_Roamer	40
9	joethahobo	40
11	noodlepack	32
11	EcksD	32
13	eitanzaki	31
14	ConnorDanky_	22
15	bladeefan2009	21
16	jnp_gaming	20
17	ShedJr_	14
18	thewindmillman	12
19	himak1	11
20	Maenara	9
21	THEKINGLyric10	7
22	HellsSponge	6
23	Hpdinosaur	5
24	Mr_Byzantine	4
24	FazeObama69	4
24	Fullut	4
24	cedric72	4
24	Quotary	4
29	Merv__	3
29	ese_wn_po	3
29	Groundler	3
29	Ezekson	3
29	PlasticOtari	3
29	Smoke____	3
35	EMC_	2
35	Mahoose	2
35	Awyrlas	2
35	Dabatha	2
39	Blackberry1310	1
39	mwrty	1
39	pvpGODfrfr	1
39	SuperPooch06	1
39	EveryonesUncle	1
39	Fuad_R	1
39	The_slideV3	1
39	Spacewardharpy7	1
39	MovingFish7	1
39	SvenskaHugo	1
39	anbbang	1
