rank	username	minecraft:crafted/minecraft:prismarine_brick_stairs
1	joethahobo	488
2	beeperbeeper5	374
3	Yamdalorian	345
4	HellsSponge	310
5	Jackattack53	280
6	Legendosh	241
7	Barlycorn	204
8	Hyp3rion_	188
9	Vorlice	180
10	ImpavidArcher	112
11	CliffEmAll	104
12	Bumpy419	100
13	hm947	98
14	Kakolbus	96
15	Vellu21	92
16	weabis	84
17	Enderxz3	68
18	Ezekson	56
19	Hiryu27	52
19	MightyWertu	52
21	Maenara	44
22	diamondgolem35	40
22	Sleepy_Evelyn	40
22	Comma__	40
25	Steelynan	36
26	The_slideV3	32
26	Groundler	32
26	PortlyPete69	32
26	diggydog67	32
30	Apollo_993	30
31	lordpipe	28
31	ZoharGoldMine	28
33	_witch_craft_	24
33	xDraggin	24
35	elicobnoah	20
35	mymayowasgone	20
35	corvidpartyfor6	20
35	Paintz	20
39	Arceus1975	18
40	Merv__	17
41	eitanzaki	16
41	lizardfightclub	16
41	queenalina123	16
41	Skippeh	16
45	EngagedGrub41	15
46	Mr_Byzantine	12
46	Incinere	12
46	noam464	12
46	Blu3beast	12
50	SuperPooch06	11
51	Notta	8
51	Hisiste	8
51	Powowowow	8
54	luseis	5
55	LittleBug562	4
55	Huwulling	4
55	MinttyFressh	4
55	poopybh	4
55	Fullut	4
55	himak1	4
55	U_Mos_	4
55	GooseWithin	4
55	StarCookiees_	4
55	MilleGrug	4
55	ConnorDanky_	4
66	pixelviolin	2
67	Kowcio_	1
