rank	username	minecraft:crafted/minecraft:podzol
1	Smoke____	21
2	LordAurum	18
2	oxfordschool	18
4	PhantomsGhost_	12
4	Enderslayerxz3	12
6	AnnieBathory	6
6	claivin	6
8	AJplaysMC_	3
8	Kubeusz2010	3
8	Quotary	3
