rank	username	minecraft:crafted/minecraft:fletching_table
1	noam464	167
2	pintsizedrogue	94
3	HellsSponge	90
4	sp00ky_ghost977	82
5	Hyp3rion_	64
5	lillips	64
5	PlasticOtari	64
8	luseis	61
9	eitanzaki	53
10	audiocracked	40
11	2blox_	37
12	SmashingPump	34
12	ayamefag	34
14	thescout7	32
15	Soplight	19
16	500am	16
16	mwrty	16
18	TheShyPig	15
19	YungMaki	14
20	Chromary	12
21	_Virify_	11
22	T045RTY	9
22	SpacesickPrism	9
24	beeperbeeper5	8
25	rarrq	7
25	Blaiku	7
27	gcaisawesome	6
27	Di_infiri	6
27	07shiny	6
27	ConnorDanky_	6
31	Vizzoid	5
31	12Magner05	5
31	ItsMrRamen	5
31	El_Jalapeno	5
31	Racengan	5
31	Kowcio_	5
37	RebelAndroid	4
37	Snowflowe	4
37	PigDab	4
37	ClemenPine	4
37	pixelviolin	4
37	starbits140	4
37	Fizznut909	4
37	obzii	4
37	KingMatthew506	4
37	jnp_gaming	4
37	Sral7	4
48	H0UNDFRMH3LL	3
48	RoskobiOne	3
48	ActualPatbaf	3
48	eiC_	3
48	Fast_Turtle	3
48	Rebytre	3
48	Kim_Jong_eel	3
55	Apollo_993	2
55	Ryker	2
55	CoffeeNoir	2
55	Lez_	2
55	Historical_Sand	2
55	TheSecondLord	2
55	m_be9	2
55	kekhon	2
55	ARandomHedge	2
55	Kubelz	2
55	Werbe	2
55	WeebleSock	2
55	Manaateee	2
55	AstreaTSS	2
55	Hisiste	2
55	Spacewardharpy7	2
55	LeeMcGee30	2
55	Njensen7	2
73	MunkaKris	1
73	Louiis123	1
73	Bandito_Roamer	1
73	Mr_Byzantine	1
73	PhantomsGhost_	1
73	Mowelan	1
73	squigglybones	1
73	TooManyDuck	1
73	youhjjhhhjj	1
73	Alteriity	1
73	MoistMicrowave	1
73	_themselves	1
73	joethahobo	1
73	Alphanzt99	1
73	Ssor69	1
73	Euclidoris	1
73	Ozixar	1
73	arvous	1
73	Saucepeh	1
73	jacxhadow	1
73	corvidpartyfor6	1
73	Smashic	1
73	SUSUGAM	1
73	DrBalloon	1
73	XboxPanda	1
73	CharlieButt	1
73	SHAOBADMAN	1
73	M_Patata	1
73	shadowthemonkey	1
73	Bucscw24	1
73	MyNameIsJobo	1
73	Arceus1975	1
73	Zythose	1
73	Studyhallsaver	1
73	Onennon	1
73	Kynigito	1
73	victorLIE	1
73	AuroraSkies	1
73	masskedman	1
73	Thomez_	1
73	privatemeekly	1
73	Fuhrer_Teemo	1
73	MinuteMira	1
73	Tyrannosplart	1
73	ReflexCode	1
73	MightyWertu	1
73	Luigipunch989	1
73	Western_1	1
73	UltraZombie	1
73	Dogcorn69420	1
73	MilleGrug	1
73	_3Stump_	1
73	Kubeusz2010	1
73	VentiHilton	1
73	EngagedGrub41	1
73	Skippeh	1
73	Nicserso	1
73	HesDemonPants	1
73	momis24	1
73	diggydog67	1
73	00000000-0000-0000-0009-01ff0c3e5e4f	1
