rank	username	minecraft:crafted/minecraft:dark_oak_sign
1	beeperbeeper5	909
2	500am	556
3	Werbe	522
4	Merv__	465
5	Snowflowe	445
6	Quincannon	384
7	pintsizedrogue	288
8	Mahoose	265
9	Hiryu27	221
10	Spacewardharpy7	216
10	CattSoup	216
12	Fullut	213
13	Soplight	210
14	rarrq	195
15	thewindmillman	186
16	IamCL4SSY	180
17	eitanzaki	177
17	HellsSponge	177
19	luseis	171
20	Blackberry1310	165
20	TheSecondLord	165
22	Ssor69	162
23	NameGenerat0r	159
23	lordpipe	159
25	Smashic	147
26	ImpavidArcher	141
27	iSammael	135
28	Lez_	132
28	Hyp3rion_	132
30	TheShyPig	129
31	pappaberg	127
32	FishyBoy3811	120
33	Maenara	117
34	r123moore	114
35	Enderxz3	108
36	thescout7	102
37	SingedBread	99
38	Groovy_MoonBird	93
38	gcaisawesome	93
40	Azmodan_246	92
41	Lord_Jord	84
42	RealGroot	83
43	noam464	81
43	jnp_gaming	81
45	xxPipperDipperxx	75
45	Di_infiri	75
47	BlankityMcBlank	72
48	EveryonesUncle	69
49	__tomato	68
50	Paintz	66
50	Ezekson	66
52	prizm_	63
53	RebelAndroid	60
53	dezxalo	60
55	teslawolf38	57
55	6king6colt6	57
55	titanlax	57
55	Nicky_H225	57
55	ProfessorBee	57
55	fluddd	57
61	The_slideV3	56
62	burbankbuilder28	54
63	sp00ky_ghost977	53
64	CliffEmAll	51
64	Racengan	51
64	Kyrum2169	51
67	kekhon	48
67	eviltunix	48
67	FreakGenius	48
67	IdeallyGrey	48
67	gusstationwerker	48
67	xzvu	48
67	Steelynan	48
67	TheOuterCore	48
75	Awyrlas	45
75	Zythose	45
75	Rebytre	45
75	Leyna3	45
75	YungMaki	45
75	Biites	45
81	ITDV	42
81	12Magner05	42
81	UCP_TheKingK	42
84	Smoke____	40
85	Noah_Bez	39
85	lillips	39
85	Barlycorn	39
85	Toriankel	39
89	Jackattack53	37
90	Euclidoris	36
90	Eraza	36
90	TheDankPlatypus	36
90	Winklepicker279	36
90	fr_ser	36
90	Eraxa	36
90	CalebDHawk	36
90	xolstoi	36
98	dartwaffle	33
98	_TCARREIRA_	33
98	Skippeh	33
101	Jovaphobic	30
101	NatrixxddxYT	30
101	NieToksikpl	30
101	m_be9	30
101	Felenov	30
101	Onennon	30
101	DarlaMeow	30
101	anbbang	30
101	ConnorDanky_	30
101	00000000-0000-0000-0009-01f80c5e9346	30
111	Prismyst	27
111	set67	27
111	Tjhodskins19	27
