rank	username	minecraft:crafted/minecraft:magenta_stained_glass
1	lordpipe	7496
2	beeperbeeper5	3960
3	Swexti	2792
4	Smoke____	1536
5	Lez_	1472
6	Di_infiri	1240
7	ImpavidArcher	864
8	YungMaki	832
9	chipklip	808
10	TheEnderMan548	672
11	MakeHistory157	512
12	madderfall	488
13	NotMeanttoChange	384
14	Hyp3rion_	320
15	TheSecondLord	208
16	EMC_	200
16	Mahoose	200
18	Inchef	192
19	ConnorDanky_	160
20	Marbz_	128
20	CattSoup	128
20	Sral7	128
23	underscore_2	120
24	joethahobo	104
25	SoftSix	80
25	thewindmillman	80
27	Blaiku	72
28	DC_XII	64
28	XxCookiequeenxX	64
28	Spacewardharpy7	64
31	GlitchyPlate810	56
32	El_Jalapeno	40
32	Groundler	40
34	Steelynan	32
34	tompup	32
36	HellsSponge	20
37	Winklepicker279	16
37	Maenara	16
37	Inbefour	16
37	fluddd	16
37	PlasticOtari	16
42	Wooptey	8
42	CoffeeNoir	8
42	ThiccExotic	8
42	ShedJr_	8
42	roxycherry	8
42	Fullut	8
42	mwrty	8
42	xxPipperDipperxx	8
42	Covalents	8
42	Werbe	8
42	Onennon	8
42	SaintJosie	8
42	Racengan	8
42	Kowcio_	8
42	lcvezra	8
42	PortlyPete69	8
42	Ezekson	8
42	Quotary	8
