rank	username	minecraft:crafted/minecraft:painting
1	Werbe	916
1	AssEatrAndLicker	916
3	Sral7	248
4	beeperbeeper5	232
5	EveryonesUncle	208
6	Mahoose	192
7	TheShyPig	134
8	Merv__	116
9	thewindmillman	108
10	OtariCharlie	106
11	pintsizedrogue	97
12	titanlax	86
13	500am	70
14	noam464	64
14	jnp_gaming	64
16	r123moore	58
17	Soplight	53
18	_Dean_123	50
18	lcvezra	50
20	Fullut	47
21	Xclax101	46
22	Inchef	43
22	sebastiensaborio	43
24	KarlKaek	40
24	Rumpletaezer	40
26	PhantomsGhost_	36
26	pixelviolin	36
26	Ezekson	36
29	SaucyDark	35
30	Wooptey	31
30	ApophisNova	31
30	MyNamaSheff	31
33	Njensen7	28
34	Lord_Jord	27
35	Blackberry1310	26
35	theofiel	26
37	kekhon	25
38	Hyp3rion_	22
39	Factoroni	21
40	Bumpy419	20
40	__tomato	20
40	EcksDofficial	20
43	PegLegPete93	17
44	Cowison	16
44	burbankbuilder28	16
44	anbbang	16
47	Dedalus36	15
47	xxPipperDipperxx	15
47	SuperPooch06	15
50	Historical_Sand	14
50	Akoot_	14
50	Legendosh	14
50	TechnoNinja64	14
54	ROY4LE	13
54	AJplaysMC_	13
54	RodSerlingCringe	13
54	wezzzi	13
54	djancak	13
54	cichy096	13
60	M_Patata	12
60	CSG_Haru	12
60	Winston_Ingram	12
60	oxfordschool	12
64	Cortexia	11
64	zorin123	11
64	Ze_BaronKrigler	11
67	m_be9	10
67	HellsSponge	10
67	MasterNueve	10
67	Smoke____	10
71	Bandito_Roamer	9
71	ImpavidArcher	9
71	_Razar	9
71	Ozixar	9
71	Bazongoman	9
71	Freak_Genius	9
71	fluddd	9
71	stellarjay	9
79	fr0stss	8
79	_naturell	8
79	Negriuke	8
79	420BreadLizard	8
79	XxCookiequeenxX	8
79	fkGrim	8
85	Mr_Byzantine	7
85	TheSecondLord	7
85	Stiar	7
85	Winklepicker279	7
85	KeruNatsema	7
85	NotMeowMix	7
85	Quotary	7
92	epiksk8erduck	6
92	Jiminbub	6
92	KingMatthew506	6
92	JayToe	6
96	roxycherry	5
96	12Magner05	5
96	DSYisDizzy	5
96	fallingemma	5
96	AlphaWolfPlaysMC	5
96	Meatlaugh	5
96	YungMaki	5
96	SammiWolfGirl	5
96	Hermanni__	5
96	Nicserso	5
106	Groovy_MoonBird	4
106	Tommhh	4
106	6king6colt6	4
106	HavickMC	4
106	CoffeeNoir	4
106	heckface	4
106	jacxhadow	4
106	mwrty	4
106	himak1	4
106	CharlieButt	4
106	Ecplosive	4
106	whoaluv	4
106	Studyhallsaver	4
106	RobotMinion101	4
106	natajimi	4
106	Jiminie	4
106	NameGenerat0r	4
106	El_Jalapeno	4
106	censorsheep	4
106	SexcMf	4
106	MineMaster0012	4
106	SSytex_X	4
106	Wolverine4302	4
129	squigglybones	3
129	teslawolf38	3
129	thescout7	3
129	Diavri	3
129	Avrelion	3
129	CaptainSteve345	3
129	nitram49b	3
129	Jackattack53	3
129	Snowflowe	3
129	KillerNekoRain	3
129	regulator75	3
129	DarlaMeow	3
129	Quaintster	3
129	sp00ky_ghost977	3
129	SvenskaHugo	3
129	Kowcio_	3
129	starbits140	3
129	_3Stump_	3
147	hm947	2
147	RebelAndroid	2
147	ShedJr_	2
147	nocturne78	2
147	Ssor69	2
147	dopplexd	2
147	shdesolt	2
147	Cryptacity	2
147	Guillemet	2
147	redikul	2
147	2Stout	2
147	Kubelz	2
147	Chromary	2
147	Arceus1975	2
147	AnnieBathory	2
147	Chuvacevedo	2
147	seramalen	2
147	Onennon	2
147	wrinkledpiglet	2
147	Vetral1	2
147	Cattoh	2
147	ADEXTV	2
147	Toasty_Tom	2
147	chipklip	2
147	KermitTheKripple	2
147	majlin16	2
147	claivin	2
147	Blu3beast	2
147	cytotoxaint	2
147	stavgod	2
147	Eraxa	2
147	BlankityMcBlank	2
147	CalebDHawk	2
147	Kubeusz2010	2
147	HuangMeiHua	2
147	xorompole	2
147	smogfrog	2
147	YoshikageBites	2
185	TheBiggestFeller	1
185	RosaDoesMC	1
185	AuroraValkyrie	1
185	DepressedCubic	1
185	EkkoTraveler	1
185	Lukeee33	1
185	TooManyDuck	1
185	RatatJuice	1
185	Incinere	1
185	Spaghettatron	1
185	T045RTY	1
185	tsohomie	1
185	Swexti	1
185	Upstro10	1
185	CliffEmAll	1
185	gilesmcriles	1
185	Nicky_H225	1
185	Awyrlas	1
185	LotusProject	1
185	theonlymagikarp	1
185	NotKaden_	1
185	ItzYaBoiPicard	1
185	breadbowlgamer	1
185	MyNameIsJobo	1
185	pappaberg	1
185	Donutt	1
185	CruncyIsTaken	1
185	fred870d	1
185	Shiirazuku	1
185	YahooScreen9000	1
185	Drewen24	1
185	Maenara	1
185	wirelesstree	1
185	RoyalDorrr	1
185	Russiancat1	1
185	KlausVonStiglitz	1
185	Toiton	1
185	proxivitoid	1
185	drumine	1
185	MyNameIsDakar	1
185	_Karmaa	1
185	MAns_44	1
185	GeromeMerris	1
185	GravitySaint	1
185	RedcatVII	1
185	SingedBread	1
185	Toriankel	1
185	HeyGoat	1
185	MakeHistory157	1
185	layabout100	1
185	yatsuta	1
185	Poppy235	1
185	Deguns123	1
185	mountaingirl311	1
185	trexgb	1
185	MelodyGaysharks	1
185	Deliriohm	1
