rank	username	minecraft:crafted/minecraft:dropper
1	noam464	4775
2	Di_infiri	2369
3	Spacewardharpy7	1713
4	Blaiku	1471
5	thewindmillman	1024
6	Awyrlas	705
7	m_be9	651
8	Frozil12	644
9	eitanzaki	631
10	HellsSponge	596
11	TheShyPig	595
12	Werbe	488
12	AssEatrAndLicker	488
14	Hyp3rion_	450
15	Sral7	403
16	EcksD	386
17	Historical_Sand	342
18	WyngGoy	321
19	thescout7	226
20	Jackattack53	208
21	Smoke____	184
22	PigDab	173
23	PlasticOtari	160
24	Lord_Jord	147
25	Hoid_the_Roamer	145
26	ProfessorBee	137
27	Groundler	136
28	mwrty	134
29	pintsizedrogue	133
30	pixelviolin	129
31	GoofyBread	128
32	sebastiensaborio	102
33	Merv__	100
34	beeperbeeper5	92
35	Deathkob	90
36	MangoTheFish	88
37	MightyWertu	87
38	oxfordschool	80
39	kinas45y5	67
40	EveryonesUncle	65
41	sp00ky_ghost977	64
41	Kyrum2169	64
41	PlzNoBM	64
41	Dogcorn69420	64
45	Zoeyfortnite	63
46	Soplight	61
47	Skylord_Luke	58
48	El_Jalapeno	57
49	_Nuf	56
50	Factoroni	55
51	Dedalus36	53
52	YungMaki	51
53	eiC_	49
54	jnp_gaming	48
55	Nyxiom_	42
56	diamondgolem35	36
57	mariominejedi	35
58	Freak_Genius	34
59	Snowflowe	33
60	LotusProject	32
60	benediktine1	32
62	12Magner05	31
63	Onennon	29
64	Mahoose	28
64	Arceus1975	28
66	MyNameIsJobo	25
66	Legendosh	25
68	gabriels543	24
69	andy_rex	23
69	fluddd	23
69	Nicserso	23
72	KnightmareD	22
72	Inbefour	22
74	cedric72	21
75	Racengan	20
75	vandmanden	20
77	SellyZ	19
77	Rumpletaezer	19
79	PhantomsGhost_	18
79	Mewar	18
81	AuroraValkyrie	15
81	Nesquiczek	15
81	Kakolbus	15
81	anbbang	15
85	TechnoNinja64	14
86	Ezekson	13
87	ImpavidArcher	12
87	AngalexikCZ	12
87	DTwenty	12
87	yatsuta	12
91	censorsheep	11
91	Fildyr	11
93	TheTrueClipse	10
93	_Bguette_	10
93	The_slideV3	10
93	lordpipe	10
93	Quotary	10
98	TheSecondLord	9
98	Rich_Kat	9
98	Paintz	9
98	Zaridey	9
98	Chromary	9
98	Cocoamallows	9
98	fffMike	9
105	gcaisawesome	8
105	FishyBoy3811	8
105	__tomato	8
105	Winston_Ingram	8
109	Fullut	7
109	xxPipperDipperxx	7
109	Winklepicker279	7
109	Zythose	7
109	KliBeast21	7
109	PortlyPete69	7
115	TheDankPlatypus	6
115	HolyVenom	6
115	RodSerlingCringe	6
115	Akoot_	6
115	Kowcio_	6
115	CalebDHawk	6
121	Swexti	5
121	boog4loo	5
121	eviltunix	5
121	selectrix	5
121	MousePlays	5
121	Maenara	5
121	Barlycorn	5
121	Warlord324	5
121	Hisiste	5
121	SexcMf	5
121	SammiWolfGirl	5
121	Jordan_R	5
133	RebelAndroid	4
133	Blackberry1310	4
133	_Dean_123	4
133	slkiey	4
133	r123moore	4
133	CarltheCuck	4
133	CruncyIsTaken	4
133	Sky_light_KING	4
133	JESS_THE_RERE	4
133	Quincannon	4
133	Hermanni__	4
133	UrbanPlanner1978	4
145	_Virify_	3
145	q_wq	3
145	ssleepless	3
145	MinttyFressh	3
145	TheThomas69	3
145	Guillemet	3
145	SteveCraftBlocks	3
145	500am	3
145	Scathra	3
145	ayqq	3
145	SlayerCrypto	3
145	Darkgon	3
145	Typadopoulos	3
145	MilleGrug	3
145	tartanboy	3
145	HesDemonPants	3
161	Tobinator_007	2
161	heysushii	2
161	EMC_	2
161	Hpdinosaur	2
161	ivorico	2
161	Jackster03	2
161	Tmb1	2
161	_8man	2
161	Rasmanden	2
161	Xclax101	2
161	Dusk_95	2
161	Xovalt_	2
161	ayamefag	2
161	djancak	2
161	obzii	2
161	Logain42	2
161	2blox	2
161	FishisTTV	2
179	Jovaphobic	1
179	_NieToksikpl_	1
179	Drlzyy	1
179	Ailmast	1
179	Houstonion	1
179	Hyugo	1
179	Franco093	1
179	livingdaydreams	1
179	T045RTY	1
179	lotarp	1
179	Hormones	1
179	ShedJr_	1
179	H72l9w	1
179	oreee	1
179	Whiterooster001	1
179	carloselpapii	1
179	Prodiginus	1
179	CliffEmAll	1
179	jushykins	1
179	bloodbiter	1
179	kekhon	1
179	LILI_G_F_2007	1
179	egglapras	1
179	Mariopreeet	1
179	Tjhodskins19	1
179	Covalents	1
179	Kubelz	1
179	M_Patata	1
179	Purplehere	1
179	Bumpy419	1
179	Hiryu27	1
179	seramalen	1
179	Drewen24	1
179	Leyna3	1
179	FreddyFart	1
179	Fuhrer_Teemo	1
179	Blu3beast	1
179	GravitySaint	1
179	SkateboardR6	1
179	MovingFish7	1
179	MasterNueve	1
179	voiding_	1
179	LilcoinXX	1
179	starbits140	1
179	ediballbearings	1
179	Spenduh	1
179	_TCARREIRA_	1
179	xX_Stalin69_Xx	1
179	KingMatthew506	1
179	Enderslayerxz3	1
179	MelodyGaysharks	1
