rank	username	minecraft:crafted/minecraft:bread
1	pintsizedrogue	7438
2	eitanzaki	6328
3	Legendosh	5049
4	Lord_Jord	4695
5	TheShyPig	3076
6	Mahoose	2691
7	Di_infiri	2675
8	Blackberry1310	2640
9	Groovy_MoonBird	2426
10	Werbe	2108
11	Menthas	2032
12	joethahobo	1854
13	PlasticOtari	1768
14	ROY4LE	1551
15	chipklip	1441
16	PigDab	1326
17	Ezekson	1282
18	noam464	1251
19	MyNameIsDakar	1244
20	Njensen7	1212
21	Jordan_R	1209
22	Snowflowe	1153
23	Spacewardharpy7	1152
24	HellsSponge	1009
25	himak1	982
26	Akoot_	972
27	Smoke____	970
28	oxfordschool	879
29	NotMeanttoChange	864
30	anbbang	835
31	FGamerJ	817
32	Jimi7hits	813
33	6king6colt6	773
34	gcaisawesome	768
35	livingdaydreams	750
36	fred870d	720
37	Quaintster	704
38	TechnoNinja64	689
39	pixelviolin	636
40	Airem_Core	592
41	PhantomsGhost_	581
42	Rumpletaezer	567
43	RyuNeko932000	564
44	07shiny	554
45	starbits140	535
46	RadarHz	532
47	bloodbiter	529
48	Dreamdbr14	523
49	H72l9w	521
50	picardred	510
51	Drlzyy	498
52	bigstankyy	470
53	Dedalus36	466
54	Vizzoid	464
55	Enderslayerxz3	461
56	burbankbuilder28	455
57	Chromary	450
58	Luigipunch989	448
59	jcool7	439
60	Cowison	428
61	diamondgolem35	426
62	SuperPooch06	424
63	Sral7	422
64	rarrq	412
65	GlitchyPlate810	411
66	hcb238	394
67	FishyBoy3811	393
68	claivin	391
69	Fullut	386
69	Kamflame10	386
71	wordboy107	384
72	Kkanot	382
73	teslawolf38	381
74	Joestra	379
75	Soplight	376
76	Froste131	373
77	regulator75	372
78	Wolverine4302	368
79	500am	362
80	ImDisconnected_	361
81	Razzgriz	360
82	thescout7	357
83	Omar_Alone	352
84	obzii	336
85	EcksD	325
86	fluddd	321
86	TheOuterCore	321
88	Segotep999	318
89	OG_Songsee	317
90	soundad	306
91	_Virify_	300
92	Arceus1975	292
93	Negriuke	289
94	jnp_gaming	288
94	FishisTTV	288
96	AngalexikCZ	285
96	bruh072	285
98	StylesK	283
99	IAmTheWalrus910	277
100	SvenskaHugo	273
101	LeeMcGee30	272
102	2blox	266
103	ooga47	265
104	Kubelz	260
105	Bandito_Roamer	258
106	Freak_Genius	257
107	AustinAuranymph	256
107	UrbanPlanner1978	256
109	Deerfoot	254
110	IdeallyGrey	253
111	YungMaki	250
112	dendydoom	246
113	Kim_Jong_eel	245
114	PortlyPete69	244
115	Louiis123	242
115	duelcard	242
117	KingMatthew506	237
118	ExtraDumb	233
119	ToastedGamingYT	232
120	Malorn_Aetherius	230
120	Comma__	230
120	Skippeh	230
123	Fast_Turtle	226
124	featherflyy	222
125	purpolepickle	221
125	Fizznut909	221
127	UncreativeArtist	220
128	ProfessorBee	219
129	Steelynan	218
130	kinas45y5	216
131	mwrty	215
131	Kowcio_	215
131	xorompole	215
134	WinterYoke	214
135	adiccting01	210
136	Hyp3rion_	207
137	Darkgon	206
138	Mr_Byzantine	203
139	gilesmcriles	202
140	kekhon	198
140	emrekn	198
142	HesDemonPants	197
143	DemTechAlpha	196
143	FallenCorps	196
145	Groundler	194
146	gaming4Naming	193
147	TheMiddayMoon	192
148	Zoeyfortnite	191
149	AdvertisingMerc	190
150	Myhym	185
151	diggydog67	184
152	Zenlou	183
153	Jovaphobic	180
153	RebelAndroid	180
155	ShedJr_	177
156	MonitorLizards	173
157	xxPipperDipperxx	172
158	DScatgirls	171
159	TheThomas69	170
160	Warlord324	169
161	The_slideV3	168
162	fffMike	167
163	tortillatitan	166
164	BlankityMcBlank	165
165	123louis456	164
165	KarlKaek	164
167	Onennon	162
167	lordpipe	162
169	Eraxa	158
169	_TCARREIRA_	158
171	Dusk_95	155
171	LordSpeed37	155
171	Juh1s	155
174	whoaluv	154
174	JayToe	154
176	youhjjhhhjj	151
177	Kouridragon	150
178	yulgur1	149
179	KingFaenor	148
180	rotten_mango	146
181	Kryktal	144
182	dopplexd	143
183	killmeiamtraitor	142
184	jacxhadow	141
185	lcvezra	139
185	smogfrog	139
187	beeperbeeper5	137
187	stickwhiskers	137
189	The11thDoctor	136
190	SHAOBADMAN	135
191	JustAWill_	134
191	jewbacaman	134
193	m_be9	133
193	Xalithia	133
193	MilleGrug	133
196	Dyosy	132
196	Matek_	132
196	XxCookiequeenxX	132
199	DeeDeeThonk	131
200	Powowowow	130
201	BoopDoop_123	128
201	Ailmast	128
201	xo_Marren_xo	128
201	El_Jalapeno	128
201	alderban107	128
206	Invisie	127
206	wezzzi	127
208	Cortexia	126
208	Skylord_Luke	126
210	Deguns123	125
210	Vellu21	125
212	Moetis	124
213	Jackster03	123
214	Bumpy419	121
214	OfficerAnvil	121
216	Racengan	120
217	shdesolt	119
218	abramgray	118
219	seramalen	117
219	Bloo2406	117
221	Russiancat1	116
222	Ryker	115
223	XboxPanda	114
223	Marbz_	114
223	Solar_Power	114
226	RoskobiOne	113
227	420BreadLizard	110
228	TheSecondLord	109
228	CharlieButt	109
228	kiluaemc	109
231	Azorathum	108
231	_Boipl_	108
233	Septemb3r	106
233	SpaceTurtleOX	106
235	Mowelan	105
236	Zythose	104
237	Professor_x8	103
238	awesomeweasel	102
238	Kynigito	102
238	EveryonesUncle	102
238	Nycteus_	102
242	heckface	100
242	Sky_light_KING	100
244	Prayingninja	99
245	Frozil12	98
245	NotMeowMix	98
245	EcksDofficial	98
248	Prodiginus	97
248	wrinkledpiglet	97
250	dudcreeper	96
250	Frxnkz	96
250	TheEnderman548	96
250	remmisrat	96
254	sufjanlover	95
255	NYJ	94
255	SkateboardR6	94
255	JungeSchnauzer	94
258	_Nuf	93
258	crying_wolf_13	93
258	TylerDupree	93
258	ABitOddish	93
258	funnyblitz123	93
263	Reamdin	92
264	Miko_Fullbuster	90
264	Calbo_	90
266	dimondking777	87
266	RealDelver	87
268	SammiWolfGirl	84
268	Western_1	84
268	monolu	84
271	jimintyy	83
271	monky_irl	83
273	Donutt	82
274	andy_rex	81
274	KartivGal	81
274	TheALV	81
277	toj__	79
277	Deathkob	79
279	Mattesco	78
279	Lord_Doob	78
281	Inbefour	76
281	JESS_THE_RERE	76
283	avalan64	75
283	Shin69	75
283	Lowjinx	75
286	AlphaWolfPlaysMC	74
286	proxivitoid	74
286	DarlaMeow	74
289	carloselpapii	73
289	KlausVonStiglitz	73
291	noyan121	72
291	SlayerCrypto	72
291	Jackattack53	72
294	TAKrules	71
294	TTNG	71
294	Cattoh	71
294	DanTheBuilderino	71
294	markaus77	71
299	squigglybones	70
299	Historical_Sand	70
