rank	username	minecraft:crafted/minecraft:red_sandstone
1	Frozil12	10655
2	Sral7	8781
3	Smoke____	5479
4	SDMNAEK	1770
5	TheShyPig	1468
6	Xclax101	1292
7	ROY4LE	1238
8	Freak_Genius	1165
9	Groovy_MoonBird	1088
10	ImpavidArcher	778
11	loveseeker	744
12	pintsizedrogue	576
13	noam464	545
14	Fullut	517
15	Parcc	409
16	Mahoose	355
17	Wowful	288
17	lordpipe	288
19	sebastiensaborio	268
20	ApophisNova	262
21	thewindmillman	233
22	PlasticOtari	206
23	HellsSponge	157
24	set67	128
25	bloodbiter	117
26	Onennon	80
27	Lord_Jord	64
28	SuperPooch06	56
29	ooga47	54
30	PhantomsGhost_	52
31	ProfessorBee	48
31	El_Jalapeno	48
33	oxfordschool	42
34	mariominejedi	39
35	kekhon	33
36	Merv__	32
37	oreee	31
38	eitanzaki	24
39	M_Patata	23
39	MasterNueve	23
41	audiocracked	17
42	Spacewardharpy7	16
43	beeperbeeper5	10
44	JESS_THE_RERE	9
45	EMC_	6
46	AnnieBathory	1
46	chipklip	1
46	MustaLoordi	1
