rank	username	minecraft:crafted/minecraft:armor_stand
1	HellsSponge	10664
2	r123moore	455
3	pintsizedrogue	432
4	PlasticOtari	163
5	noam464	160
6	Mahoose	104
7	Kferno	96
7	Smoke____	96
9	500am	74
10	beeperbeeper5	62
11	diamondgolem35	60
12	EveryonesUncle	58
13	thewindmillman	56
14	EcksD	55
15	TheShyPig	49
16	himak1	47
17	masskedman	40
18	Inchef	38
18	Dusk_95	38
20	KarlKaek	35
21	Legendosh	33
22	Fullut	32
23	ImpavidArcher	26
24	rarrq	24
24	heckface	24
26	Merv__	23
26	Frozil12	23
28	mariominejedi	22
28	oxfordschool	22
30	SoftSix	21
30	yulgur1	21
32	m_be9	20
32	Spacewardharpy7	20
34	TheSecondLord	19
34	stahouo	19
36	Minimize501	18
37	jacxhadow	17
37	Karetoko	17
37	_Boipl_	17
40	ShedJr_	16
40	kekhon	16
42	Di_infiri	14
42	SuperPooch06	14
42	Hyp3rion_	14
42	NameGenerat0r	14
42	El_Jalapeno	14
42	__tomato	14
48	RobotMinion101	13
48	Meatlaugh	13
48	Xclax101	13
48	fluddd	13
48	IvarEXE	13
48	Soplight	13
48	Ezekson	13
55	Bandito_Roamer	12
55	mwrty	12
55	sammidk	12
55	Racengan	12
59	titanlax	11
59	set67	11
61	PhantomsGhost_	10
61	ROY4LE	10
61	Zaridey	10
61	MakeHistory157	10
61	Kowcio_	10
61	ediballbearings	10
61	Wolverine4302	10
68	Froste131	9
68	SaucyDark	9
68	xxPipperDipperxx	9
68	wezzzi	9
68	Fuhrer_Teemo	9
68	Blaiku	9
68	sebastiensaborio	9
75	__Fanda__	8
75	Chromary	8
75	fred870d	8
78	TooManyDuck	7
78	Rumpletaezer	7
78	ApophisNova	7
78	Quotary	7
78	MyNamaSheff	7
78	Sral7	7
84	Mr_Byzantine	6
84	Jackster03	6
84	H72l9w	6
84	Digcove	6
84	BobDeBouwer1337	6
84	MinttyFressh	6
84	platinumzero	6
84	Rebytre	6
84	Onennon	6
84	RodSerlingCringe	6
84	Jiminie	6
84	_Karmaa	6
84	Freak_Genius	6
84	Blu3beast	6
84	Fildyr	6
84	lordpipe	6
84	CheifJumbo	6
84	pixelviolin	6
102	Groovy_MoonBird	5
102	Dedalus36	5
102	T045RTY	5
102	Blackberry1310	5
102	Kakolbus	5
102	Akoot_	5
102	Fizznut909	5
102	Kubeusz2010	5
102	Powowowow	5
102	EcksDofficial	5
112	Tommhh	4
112	Sleek_Storm_721	4
112	Swexti	4
112	MattieHD	4
112	Winklepicker279	4
112	Sky_light_KING	4
112	Syropatathe	4
112	YungMaki	4
112	stellarjay	4
112	cichy096	4
122	Jovaphobic	3
122	6king6colt6	3
122	eitanzaki	3
122	Historical_Sand	3
122	Ssor69	3
122	12Magner05	3
122	Megarboh	3
122	thescout7	3
122	egglapras	3
122	PegLegPete93	3
122	Stiar	3
122	Sagaram	3
122	AlexStrange	3
122	Nyxiom_	3
122	Hoid_the_Roamer	3
122	Lord_Jord	3
122	XxCookiequeenxX	3
122	Kyrum2169	3
122	Njensen7	3
122	laron58	3
122	jnp_gaming	3
122	YoshikageBites	3
122	diggydog67	3
145	Tobinator_007	2
145	q_wq	2
145	hm947	2
145	Incinere	2
145	RebelAndroid	2
145	Myszoaz	2
145	Ozixar	2
145	dopplexd	2
145	Cryptacity	2
145	zorin123	2
145	shyshyannne	2
145	_Dean_123	2
145	LotusProject	2
145	emrekn	2
145	orxngejuice	2
145	DSYisDizzy	2
145	Ecplosive	2
145	Bazongoman	2
145	burbankbuilder28	2
145	MustardDrinker	2
145	Zielo2017PL	2
145	TTNG	2
145	_naturell	2
145	Leyna3	2
145	Maenara	2
145	ADEXTV	2
145	natajimi	2
145	Jiminbub	2
145	fkGrim	2
145	_Bguette_	2
145	KlausVonStiglitz	2
145	SolicitedPuma101	2
145	IAmTheWalrus910	2
145	LetsDoItLive	2
145	ItsDeltaMC	2
145	Nagasaki_Riku	2
145	LordSpeed37	2
145	djancak	2
145	GlitchyPlate810	2
145	UltraZombie	2
145	VentiHilton	2
145	Skippeh	2
145	Nicserso	2
145	Enderslayerxz3	2
145	h2p_emrld	2
190	RosaDoesMC	1
190	weezygator	1
190	strongman951753	1
190	I_Am_Mushkin	1
190	ColeSnyder	1
190	Tolhart	1
190	Hpdinosaur	1
190	Jahara	1
190	Natty	1
190	nocturne78	1
190	Sparky_KT	1
190	Ardennes	1
190	slkiey	1
190	crying_wolf_13	1
190	Scathra	1
190	2Stout	1
190	eiC_	1
190	Kubelz	1
190	Purplehere	1
190	fallingemma	1
190	Marbz_	1
190	loveseeker	1
190	AJplaysMC_	1
190	whoaluv	1
190	AnnieBathory	1
190	regulator75	1
190	Bumpy419	1
190	The11thDoctor	1
190	Kouridragon	1
190	Kynigito	1
190	wrinkledpiglet	1
190	KeruNatsema	1
190	AlphaWolfPlaysMC	1
190	420BreadLizard	1
190	audiocracked	1
190	NYJ	1
190	Mr_Gulle	1
190	balin55	1
190	proxivitoid	1
190	YungWali	1
190	claivin	1
190	MustaLoordi	1
190	ProfessorDiaper	1
190	cytotoxaint	1
190	NotMeowMix	1
190	OG_Songsee	1
190	sp00ky_ghost977	1
190	ayamefag	1
190	SvenskaHugo	1
190	yatsuta	1
190	SSytex_X	1
190	lcvezra	1
190	obzii	1
190	Catharsist	1
190	mawileite	1
190	mobunni	1
190	xorompole	1
190	RadarHz	1
190	kinas45y5	1
190	MelodyGaysharks	1
190	remmisrat	1
