rank	username	minecraft:crafted/minecraft:light_gray_bed
1	SvenskaAlvar	172
2	Iamthejo	65
3	k_ce	63
4	Frozil20	50
5	PhantomsGhost_	45
6	starbits140	35
7	DarlaMeow	21
8	eitanzaki	19
9	RoskobiOne	18
10	Blackberry1310	14
10	TheShyPig	14
12	legal_tax_evader	13
13	m_be9	12
14	ConnorDanky_	10
15	Mahoose	9
15	Xalithia	9
15	eiC_	9
15	Zoeyfortnite	9
15	JayToe	9
20	pintsizedrogue	8
20	BreadBacon	8
22	F_Uhre	7
22	luseis	7
22	IdeallyGrey	7
25	RebelAndroid	6
25	nocturne78	6
25	bloodbiter	6
25	500am	6
25	FreakGenius	6
30	thescout7	5
31	Historical_Sand	2
31	titanlax	2
31	MrExplorer	2
31	platinumzero	2
31	BigMoneyH	2
31	MonitorLizards	2
31	fkGrim	2
31	NameGenerat0r	2
31	sp00ky_ghost977	2
31	Soplight	2
31	lcvezra	2
31	nonarso	2
31	Steelynan	2
44	Travasaur	1
44	CueMix	1
44	Cowison	1
44	Paleshield	1
44	BodaciousCake	1
44	Reamdin	1
44	ShedJr_	1
44	joethahobo	1
44	rarrq	1
44	Valoth	1
44	ZigzagLily43042	1
44	TheSecondLord	1
44	jushykins	1
44	12Magner05	1
44	MattieHD	1
44	GingerNeutron	1
44	eclipseboi	1
44	BilboBaggins23	1
44	Scathra	1
44	orxngejuice	1
44	Inchef	1
44	xxPipperDipperxx	1
44	olliebollie48	1
44	drunkeeez	1
44	Minc_	1
44	ZeroAbyssTTV	1
44	Ecplosive	1
44	xFaiithyX	1
44	gabriels543	1
44	hanaryheatwave	1
44	Sheellky	1
44	Chrisdeadeye	1
44	cedric72	1
44	lizardfightclub	1
44	Leyna3	1
44	sufjanlover	1
44	MyNameIsDakar	1
44	Jamstroxian	1
44	CaptainMocha	1
44	Blaiku	1
44	SingedBread	1
44	SkateboardR6	1
44	mihimihimihi	1
44	Factoroni	1
44	IAmTheWalrus910	1
44	csendeslol	1
44	legoclone09	1
44	LordSpeed37	1
44	pixelviolin	1
44	underscore_2	1
44	djancak	1
44	Sheldor097	1
44	Hermanni__	1
44	potatocan	1
44	RadarHz	1
44	Jimb0nat0r	1
44	Smoke____	1
44	Sangre88	1
44	00000000-0000-0000-0009-01ff0c3e5e4f	1
