rank	username	minecraft:crafted/minecraft:wooden_sword
1	Deathkob	68
2	Prodiginus	50
3	teslawolf38	28
4	fluddd	23
5	TheSecondLord	22
6	PlzNoBM	20
7	Megarboh	18
8	Windo_licker	16
9	E775	13
10	Jokerman369	12
11	500am	11
12	Freak_Genius	10
12	Steven1282598	10
14	AngalexikCZ	9
14	Eraxa	9
16	xxPipperDipperxx	8
16	ediballbearings	8
18	beeperbeeper5	6
18	rarrq	6
18	hcb238	6
18	alddd	6
22	Afinnity	5
22	claivin	5
22	Chuglyfe	5
25	ImpavidArcher	4
25	Mahoose	4
25	_Karmaa	4
25	MustaLoordi	4
25	Paigefly	4
25	Poppy235	4
25	PortlyPete69	4
25	h2p_emrld	4
33	Azorathum	3
33	T045RTY	3
33	Alphanzt99	3
33	FirsTimeGamingTV	3
33	Stynxy	3
33	Fullut	3
33	Nach0Bear	3
33	mwrty	3
33	Yuvl	3
33	FetteMutter	3
33	Hyp3rion_	3
33	FishyBoy3811	3
33	Sky_light_KING	3
33	sufjanlover	3
33	Dreamdbr14	3
33	realSkullFace	3
33	oxfordschool	3
50	SyK7	2
50	Merv__	2
50	Mocha_Mug	2
50	CryoInferno_	2
50	hm947	2
50	eitanzaki	2
50	sejekasper1	2
50	PhantomBionic	2
50	Stright_	2
50	Blackberry1310	2
50	Robby_Cream	2
50	SellyZ	2
50	Crasswolf	2
50	Snowflowe	2
50	msJabberwock	2
50	ApophisNova	2
50	Akoot_	2
50	_Bguette_	2
50	DarlaMeow	2
50	NameGenerat0r	2
50	_Sir_Leon_	2
50	Frozil12	2
50	Blaiku	2
50	lolpoottoot	2
50	SkateboardR6	2
50	ItsJWolff	2
50	bothan13	2
50	Naturalrogue	2
50	Bawbman	2
50	__tomato	2
50	Soplight	2
50	Moetis	2
50	MyNamaSheff	2
50	EcksDofficial	2
50	Smoke____	2
50	00000000-0000-0000-0009-01f898304150	2
86	Gary_	1
86	MunkaKris	1
86	Whalezz	1
86	RosaDoesMC	1
86	JaytheGeek	1
86	Lepthymo	1
86	Jovaphobic	1
86	doopiyo	1
86	Thaumatarge	1
86	_Virify_	1
86	HazyDrummer	1
86	peachfuzz1267	1
86	Claw262	1
86	jirayatoad12	1
86	Ganongeek	1
86	PhantomsGhost_	1
86	Ninzyyy	1
86	MayorEden	1
86	zqw10k	1
86	Ghosthy_	1
86	adarkwindblows	1
86	NibPicker	1
86	Foof13	1
86	DepressedCubic	1
86	Tommhh	1
86	6king6colt6	1
86	Houstonion	1
86	Kegradigm	1
86	error10101	1
86	Yeltzin	1
86	Lisppp	1
86	BlancoFlaco	1
86	SaucyDark	1
86	Firecracker320	1
86	carsonpuff	1
86	TeamBreezy	1
86	1dss	1
86	Incinere	1
86	wickedword	1
86	RebelAndroid	1
86	imNP	1
86	imthatpikachu	1
86	Sna_Ke	1
86	Batman922	1
86	Sadeena	1
86	Seyaboy	1
86	TAKrules	1
86	ivorico	1
86	Simon_Lowell	1
86	AceOfCaydes	1
86	Z22n	1
86	Myrlewen	1
86	Felaxo12	1
86	0_B_C_T	1
86	Azassu	1
86	Butternutsquatch	1
86	mennorovers	1
86	VolcanS	1
86	IWorkAtIkea	1
86	MrDinosaur666	1
86	PBandChocolate	1
86	ChampPog_	1
86	Polahbear	1
86	heckface	1
86	Mimiir345	1
86	Sparky_KT	1
86	Khelvoryk	1
86	Devintronix	1
86	xPixelRainx	1
86	sick_nubs	1
86	Otto_chan	1
86	Cryptacity	1
86	Bellamin	1
86	firesgal3116	1
86	MoistEggo	1
86	m_be9	1
86	Nicky_H225	1
86	AngelIron	1
86	StanceTB	1
86	kekhon	1
86	MattieHD	1
86	virtual_acid	1
86	ToxicHauntling	1
86	Cortexia	1
86	rpmm	1
86	_Dean_123	1
86	G1ldor	1
86	Scattman_	1
86	Nab3rius	1
86	Master_Kol	1
86	Nisanth	1
86	Cambo5000	1
86	StormAries__	1
86	egglapras	1
86	VirusUploaded	1
86	_Magdo_	1
86	himak1	1
86	Irko	1
86	Dirt158357	1
86	complex1tive	1
86	Mewar	1
86	__TheNorseMan__	1
86	Zenlou	1
86	2Stout	1
86	Cerbric	1
86	DSYisDizzy	1
86	Covalents	1
86	SpicyMeatballs	1
86	xBaltaci	1
86	Phantom7569	1
86	ABitOddish	1
86	Matek_	1
86	brrh	1
86	benediktine1	1
86	UncleDanDan	1
86	DermeinUser	1
86	type11	1
86	NotoriousNina	1
86	RandimSqid	1
86	FennYuzuna	1
86	Kakolbus	1
86	Exarah	1
86	NLKBuilder	1
86	Peeing	1
86	thebluehippo	1
86	BlueZabu	1
86	outofricekrispy	1
86	ImDisconnected_	1
86	Winklepicker279	1
86	swag_bro2004	1
86	mariominejedi	1
86	Avermu	1
86	valiSW	1
86	DukeBoy1646	1
86	Ahketen	1
86	Jackattack53	1
86	Lil_Breadboy	1
86	vampgey	1
86	AJplaysMC_	1
