rank	username	minecraft:crafted/minecraft:golden_pickaxe
1	TheSecondLord	43
2	ConnorDanky_	17
3	Erased_Identity	10
4	Lez_	8
5	Chuglyfe	7
6	Darkgon	5
7	RoskobiOne	4
7	sea_otter_h	4
9	mwrty	3
9	Kubelz	3
9	Waffleman258	3
12	xxPipperDipperxx	2
12	SuperPooch06	2
12	Chuvacevedo	2
12	cedric72	2
12	PartyPhoenix	2
12	markaus77	2
18	0basura0	1
18	PhantomsGhost_	1
18	gren_ben	1
18	lotarp	1
18	firesgal3116	1
18	TheRealGameBoy24	1
18	GingerNeutron	1
18	Tmb1	1
18	Awyrlas	1
18	VanJosh	1
18	Karetoko	1
18	Aneurysmas	1
18	yaboo88	1
18	JitteryJared2	1
18	oscminus	1
18	F_Uhre	1
18	MonitorLizards	1
18	Cattoh	1
18	YahooScreen9000	1
18	claivin	1
18	freya__b	1
18	PixelatedBoss	1
18	Kowcio_	1
18	Celeste_121	1
18	Soffbord	1
18	KingMatthew506	1
18	JasmineGK	1
18	AdmiralSmoke	1
