rank	username	minecraft:crafted/minecraft:lime_glazed_terracotta
1	ImpavidArcher	186
2	QuiCreans	144
3	Inbefour	88
4	TheShyPig	64
4	Blaiku	64
6	Lez_	36
7	lordpipe	32
8	joethahobo	24
8	gcaisawesome	24
8	Werbe	24
11	SaucyDark	16
11	Mahoose	16
11	SuperPooch06	16
14	_Virify_	12
14	eitanzaki	12
14	luseis	12
14	mihimihimihi	12
14	Steelynan	12
19	PhantomsGhost_	9
20	Bumpy419	8
20	ooga47	8
20	DemTechAlpha	8
20	StinkyDiplomat	8
24	Comma__	6
25	noam464	4
25	CarltheCuck	4
25	YungMaki	4
28	Smoke____	3
29	EngagedGrub41	2
30	Bandito_Roamer	1
30	ItsDeltaMC	1
