rank	username	minecraft:crafted/minecraft:silence_armor_trim_smithing_template
1	Mattesco	402
2	beeperbeeper5	118
3	MattieHD	91
4	Hyp3rion_	48
5	_Mythic____	38
6	skitzxo	36
7	Kowcio_	28
8	U_Mos_	26
9	Enderxz3	24
10	DairyNickel756	22
11	Lazy_geniusig	20
12	emreknugrlu	16
13	powercas_gamer	14
13	Lez_	14
15	PazinGaming	12
16	Apollo_993	10
16	myaccountwasgone	10
16	gren_ben	10
16	Alteriity	10
16	ScootOfBoot	10
16	Buuck_	10
16	FiguraDei	10
23	Crizma_	8
23	Fullut	8
23	Smashic	8
23	oscminus	8
23	StarCookiees_	8
23	Jimb0nat0r	8
29	CLG_Kata	6
29	lorywithay	6
29	corvidpartyfor6	6
29	crashomon	6
29	Soplight	6
29	robonya_	6
35	hm947	4
35	Huwulling	4
35	royal_2	4
35	Secret_Canary	4
35	shadowthemonkey	4
35	fragrantmonke444	4
35	luseis	4
35	TheKingK_	4
43	rarrq	2
43	Sleepy_Evelyn	2
43	TheSecondLord	2
43	Nach0Bear	2
43	noam464	2
43	hanaryheatwave	2
43	Manaateee	2
43	ConnorDanky_	2
43	Yamdalorian	2
