rank	username	minecraft:crafted/minecraft:brown_stained_glass
1	Hyp3rion_	17280
2	lordpipe	3264
3	hanaryheatwave	1728
4	diamondgolem35	576
5	MakeHistory157	512
6	Onennon	488
7	miramyu	216
8	m_be9	168
9	pintsizedrogue	144
10	Jackattack53	128
10	Rumpletaezer	128
10	Snowflowe	128
13	Lez_	120
14	bloodbiter	104
15	Manaateee	88
16	Kowcio_	80
17	_Virify_	72
17	Mattesco	72
17	Blaiku	72
20	xxPipperDipperxx	64
20	Marbz_	64
20	Zythose	64
23	Elastiq	56
23	jnp_gaming	56
25	joethahobo	40
25	beeperbeeper5	40
27	Niklas20114552	32
27	bl1ss0	32
27	KingMatthew506	32
27	Jimb0nat0r	32
31	Alteriity	24
31	Mahoose	24
33	12Magner05	16
33	kekhon	16
33	Groundler	16
33	pixelviolin	16
33	Ezekson	16
38	HellsSponge	12
39	CLG_Kata	8
39	AuroraValkyrie	8
39	royal_2	8
39	Euclidoris	8
39	Blackberry1310	8
39	Saucepeh	8
39	TheSecondLord	8
39	MattieHD	8
39	500am	8
39	mwrty	8
39	ROY4LE	8
39	Werbe	8
39	Akoot_	8
39	Jiminbub	8
39	luseis	8
39	El_Jalapeno	8
39	_flud	8
39	Spacewardharpy7	8
39	Druid95	8
39	Quotary	8
39	Sral7	8
