rank	username	minecraft:crafted/minecraft:polished_blackstone_bricks
1	12Magner05	28884
2	Mattesco	26709
3	noam464	19604
4	PigDab	17984
5	beeperbeeper5	13884
6	Zythose	12296
7	Winklepicker279	11504
8	Hyp3rion_	8452
9	luseis	6588
10	Fullut	6391
11	Spacewardharpy7	6044
12	mwrty	5560
13	Di_infiri	4476
14	burbankbuilder28	4416
15	TheSecondLord	3048
16	ZoomieZoomie	2916
17	Huwulling	2792
18	Jackattack53	2680
19	chipklip	2088
20	Shogunite	1988
21	Smoke____	1956
22	Billious	1836
23	ApophisNova	1824
23	MyNamaSheff	1824
25	Awyrlas	1768
26	KeruNatsema	1712
27	Werbe	1664
28	rarrq	1636
29	SkateboardR6	1610
30	MAns_44	1588
31	lorpus	1556
32	00000000-0000-0000-0009-01ff0c3e5e4f	1500
33	iSammael	1280
34	Alteriity	1216
35	ITDV	1144
36	Snowflowe	1116
37	FishyBoy3811	1108
38	set67	1016
39	Dusk_95	1014
40	_Boipl_	1000
41	EcksD	816
42	pintsizedrogue	754
43	drunkeeez	704
44	CliffEmAll	696
45	King_Pancake1	664
46	Eraxa	620
47	eitanzaki	608
47	jessewegottacook	608
49	PlasticOtari	573
50	gustarlep	572
51	fw3xywashere	560
52	gusstationwerker	512
53	zToasty69z	448
54	Kowcio_	416
55	PortlyPete69	396
56	Lord_Jord	375
57	ZA07	360
58	xxPipperDipperxx	351
59	CattSoup	336
60	lizardfightclub	320
61	Kubeusz2010	284
62	YungMaki	280
63	6king6colt6	276
64	thewindmillman	269
65	little_dUki	264
66	Solar_Power	260
67	Klerick	256
68	IvarEXE	232
69	BobDeBouwer1337	208
70	Yatitay	192
70	ROY4LE	192
72	sp00ky_ghost977	184
73	Crowman1	179
74	Soplight	170
75	Cowison	144
75	Cellcorgi649	144
77	Rebytre	138
78	FazeObama69	132
79	PazinGaming	128
79	Elastiq	128
79	07shiny	128
82	HAIRYCLOUD626	124
83	teslawolf38	112
84	gcaisawesome	108
85	Myszoaz	100
86	FreakGenius	87
87	Kokeech	84
87	djancak	84
89	Smashic	76
90	joethahobo	68
90	mimbo1211	68
92	Blackberry1310	66
93	Fuad_R	64
93	NameGenerat0r	64
95	ImpavidArcher	52
96	TheTommyGun63	48
96	xolstoi	48
98	Eon_57	45
99	m_be9	40
100	LeEricc	28
100	Steelynan	28
102	JitteryJared2	25
103	Mahoose	24
104	RebelAndroid	22
105	Lez_	20
105	breadbowlgamer	20
107	Merv__	16
107	Optiprimus	16
109	kekhon	8
110	AuroraValkyrie	4
110	Hpdinosaur	4
110	r123moore	4
110	The_Fulgurator	4
110	Razzgriz	4
110	mobunni	4
110	Legendosh	4
117	Paint	3
118	himak1	1
118	ItsDeltaMC	1
118	brofrickcheaters	1
118	CalebDHawk	1
118	MissCeleste7	1
118	ConnorDanky_	1
