rank	username	minecraft:crafted/minecraft:chainmail_chestplate
1	TheShyPig	33
1	luseis	33
3	beeperbeeper5	24
3	bloodbiter	24
5	SmashingPump	22
6	diamondgolem35	19
7	Skylord_Luke	18
8	joethahobo	16
9	RebelAndroid	11
9	Hyp3rion_	11
11	pixelviolin	10
12	pintsizedrogue	7
13	CoffeeNoir	6
13	Fast_Turtle	6
13	PlasticOtari	6
16	stavgod	5
17	nonarso	4
17	ConnorDanky_	4
19	Merv__	3
19	Esme_1	3
19	censorsheep	3
19	Luigipunch989	3
23	Blackberry1310	2
23	noam464	2
23	FreakGenius	2
23	Enderxz3	2
27	Gundam_Steven	1
27	Jahara	1
27	T045RTY	1
27	ThiccExotic	1
27	Mahoose	1
27	Historical_Sand	1
27	TheMaster972	1
27	Crowman1	1
27	TheSecondLord	1
27	BobDeBouwer1337	1
27	himak1	1
27	ROY4LE	1
27	John6970	1
27	Gryglu583	1
27	Smoke____	1
