rank	username	minecraft:crafted/minecraft:acacia_sign
1	ApophisNova	636
1	MyNamaSheff	636
3	beeperbeeper5	496
4	Blaiku	381
5	Smoke____	304
6	Mahoose	231
7	r123moore	135
8	Werbe	132
9	PigDab	128
10	Jackattack53	111
11	Groovy_MoonBird	75
11	PhantomsGhost_	75
11	Blu3beast	75
14	Hoid_the_Roamer	66
15	MyNameIsJobo	57
15	Powowowow	57
17	Franco093	42
17	dopplexd	42
19	500am	39
20	KarlKaek	36
20	ProfessorBee	36
20	mariominejedi	36
20	Meatlaugh	36
24	Merv__	30
24	Kakolbus	30
24	Karetoko	30
24	stahouo	30
24	Njensen7	30
29	JEWISHBadenBeele	27
29	noam464	27
29	Kynigito	27
29	cedric72	27
33	Di_infiri	24
34	eviltunix	18
34	ROY4LE	18
34	Soul_Atreus	18
37	HellsSponge	17
38	KingFaenor	15
38	Smashic	15
38	thescout7	15
38	SellyZ	15
38	eiC_	15
38	Jiminie	15
38	claivin	15
38	Spacewardharpy7	15
38	YungMaki	15
38	Soplight	15
38	oxfordschool	15
49	Frozil20	12
49	ImpavidArcher	12
49	eitanzaki	12
49	youhjjhhhjj	12
49	awesomeoneme	12
49	Doom_melon	12
49	DarlaMeow	12
49	Quaintster	12
49	KingMatthew506	12
49	Vellu21	12
49	tartanboy	12
49	EcksDofficial	12
61	Batman922	9
61	Zedducius	9
61	kekhon	9
61	2Stout	9
61	Zaridey	9
61	audiocracked	9
61	lordpipe	9
61	starbits140	9
69	pintsizedrogue	6
69	SaucyDark	6
69	baxteerr	6
69	ShedJr_	6
69	thgrocks	6
69	yulgur1	6
69	Deodorante	6
69	KlausVonStiglitz	6
69	JESS_THE_RERE	6
69	560cool	6
69	Groundler	6
69	Toriankel	6
69	geekbird	6
69	IAmTheWalrus910	6
69	WyngGoy	6
69	underscore_2	6
69	Lowjinx	6
69	MeetTheWollo	6
69	h2p_emrld	6
88	jewbacaman	5
89	Alexanderjac	3
89	dann_n	3
89	Mr_Byzantine	3
89	Mocha_Mug	3
89	xXTheWolfmanXx	3
89	T045RTY	3
89	Huwulling	3
89	Rox_The_Box	3
89	planc_	3
89	peach0s	3
89	Vizzoid	3
89	Euclidoris	3
89	Ozixar	3
89	PlasticPrinter	3
89	TheSecondLord	3
89	jushykins	3
89	jiggywraps	3
89	bloodbiter	3
89	Rich_Kat	3
89	m_be9	3
89	ThePoliteG	3
89	12Magner05	3
89	SteveCraftBlocks	3
89	set67	3
89	bustinmyeyes	3
89	Flapjacker687	3
89	Scathra	3
89	Awyrlas	3
89	Inchef	3
89	SLASHZEERA	3
89	gcaisawesome	3
89	DirtyBoar	3
89	Arceus1975	3
89	Snowflowe	3
89	AnnieBathory	3
89	Bumpy419	3
89	ItsAki_	3
89	Chuvacevedo	3
89	ooga47	3
89	fred870d	3
89	TheShyPig	3
89	_naturell	3
89	binman420	3
89	gustarbite	3
89	valkam13	3
89	duqboy	3
89	_Bguette_	3
89	chipklip	3
89	NameGenerat0r	3
89	Freak_Genius	3
89	Racengan	3
89	ProfessorDiaper	3
89	SkateboardR6	3
89	csendeslol	3
89	_beep_boop	3
89	Ze_BaronKrigler	3
89	ElectricDragon81	3
89	rejenita	3
89	CACTUSLAD	3
89	Kyrum2169	3
89	PortlyPete69	3
89	xX_Stalin69_Xx	3
89	Dreamdbr14	3
89	TheALV	3
89	bitsplease	3
89	Kubeusz2010	3
89	Dr0xzy	3
89	EcksD	3
89	cichy096	3
89	smogfrog	3
89	FelixPSY375	3
89	mountaingirl311	3
89	561cool	3
