rank	username	minecraft:crafted/minecraft:cherry_slab
1	Kowcio_	9218
2	Lez_	1038
3	StarCookiees_	842
4	Mr_Byzantine	606
5	skitzxo	282
6	Mattesco	216
7	U_Mos_	204
8	Moofyman	186
9	OreTheBear	150
10	Reneedium	114
11	pintsizedrogue	108
12	Napoleonpancake	78
13	fragrantmonke444	72
14	_Huge_Male_	66
14	Apollo_993	66
14	Archsam	66
14	AstreaTSS	66
18	beeperbeeper5	60
19	Mr_Sun15	42
20	Huwulling	24
20	TheSecondLord	24
20	Fullut	24
20	Gus2005	24
24	Merv__	18
24	oscminus	18
26	PazinGaming	12
26	luseis	12
26	pretty_pink_reno	12
29	Krowuss	6
29	Werbe	6
29	Manaateee	6
29	pixelviolin	6
29	Jimb0nat0r	6
34	k_ce	3
