rank	username	minecraft:crafted/minecraft:rose_red
1	sufjanlover	110
2	LilLizardWizard	36
3	SlowMoNinja1994	18
4	ashetrays	17
4	OnlyOfficial	17
6	NormanFetus	7
6	Russiancat1	7
8	jjettii	5
9	mehen_hokker	4
9	OfficerAnvil	4
11	Argraol	3
12	GingerNeutron	2
12	Cidah	2
12	MrButterscotch	2
