rank	username	minecraft:crafted/minecraft:iron_ingot
1	Hyp3rion_	579976
2	noam464	360591
3	Jackattack53	189798
4	thewindmillman	152727
5	HellsSponge	131921
6	Spacewardharpy7	129456
7	joethahobo	104760
8	Di_infiri	98072
9	Blaiku	84433
10	PigDab	72618
11	beeperbeeper5	65455
12	pintsizedrogue	65270
13	Lez_	63190
14	Yamdalorian	57012
15	thescout7	54072
16	Njensen7	53591
17	doublemaki	53223
18	Mahoose	51594
19	EcksD	51256
20	Werbe	51054
21	mihimihimihi	45107
22	m_be9	44634
23	EMC_	39183
24	PlasticOtari	37934
25	eitanzaki	32733
26	Enderxz3	31850
27	TheShyPig	30724
28	catandmoose	30661
29	12Magner05	30564
30	Mattesco	30371
31	Alteriity	29136
32	philandr	27096
33	Manaateee	26611
34	hanaryheatwave	26021
35	gcaisawesome	25832
36	McCakeAh	24325
37	luseis	20682
38	Historical_Sand	20201
39	Kowcio_	19148
40	lpinfinity	18609
41	Awyrlas	18372
42	Huwulling	17078
43	rarrq	17055
44	U_Mos_	16439
45	ayamefag	16116
46	TheSecondLord	14721
47	fffMike	13963
48	500am	13651
49	craaaash	13637
50	ConnorDanky_	13494
51	Skylord_Luke	13470
52	r123moore	13407
53	EveryonesUncle	13140
54	Elastiq	12992
55	Zythose	12924
56	T045RTY	12129
57	Inbefour	11835
58	lordpipe	11723
58	Spaghettatron	11723
60	_Nuf	11382
61	TheWickedBird	11217
62	Soplight	11209
63	Ezekson	11163
64	bl1ss0	10892
65	Frozil20	10733
66	Hisiste	10654
67	Fullut	10442
68	Kakolbus	10221
69	ActualPatbaf	10108
70	Snowflowe	9853
71	kekhon	9391
72	Shogunite	9319
73	Krowuss	9269
74	non089	9259
75	HelloIamSora	8955
76	Lord_Jord	8582
77	Bumpy419	8562
78	Blackberry1310	8560
79	Akoot_	8531
80	FreakGenius	8369
81	Jimb0nat0r	8147
82	Marbz_	8110
83	Jimi7hits	8076
84	TheBananaKat	8074
85	knarian	8039
86	Ryan_GEMS	8029
87	Steelynan	8014
88	Rumpletaezer	8005
89	sp00ky_ghost977	7850
90	ImpavidArcher	7849
91	Groundler	7631
92	MyNameIsJobo	7418
93	cutelilreno	7233
94	Nicserso	7202
95	MattieHD	7154
96	Merv__	6957
97	mwrty	6936
98	Caribouse	6823
99	oscminus	6815
100	royal_2	6541
101	EngagedGrub41	6488
102	MightyWertu	6472
103	obzii	6457
104	Quotary	6422
105	WyngGoy	6400
106	ROY4LE	6375
107	Mr_Byzantine	6254
108	SuperPooch06	6247
109	SpacesickPrism	6069
110	MilleGrug	6027
111	Sral7	5802
112	wezzzi	5539
113	ApophisNova	5432
113	MyNamaSheff	5432
115	MAns_44	5410
116	Onennon	5373
116	Pumpkin_P_Patch	5373
118	Mewar	5372
119	teslawolf38	5347
120	Legendosh	5338
121	Segotep999	5324
122	Z3braYTIL	5226
123	Buuck_	5184
124	fade_emerge78823	5067
125	_Dean_123	4886
126	Racengan	4867
127	SvenskaHugo	4827
128	AlexxO_o	4823
129	vandmanden	4780
130	Covalents	4636
131	yulgur1	4574
132	Eczbek	4561
133	Iamthejo	4538
134	livingdaydreams	4532
135	_flud	4526
136	jnp_gaming	4513
137	QuiCreans	4497
138	DisgruntledKoala	4460
139	Lutres_	4448
140	Niklas20114552	4420
141	PazinGaming	4241
142	robertsnose	4187
143	pixelviolin	4159
144	PhantomsGhost_	4118
145	Cocoamallows	4114
146	diamondgolem35	4070
147	Barlycorn	4049
148	ECstardust	4041
149	El_Jalapeno	4028
150	SkateboardR6	4007
151	Inchef	3961
152	Dogcorn69420	3911
153	milltesco	3886
154	Airem_Core	3883
155	Franco093	3881
156	corvidpartyfor6	3856
157	6king6colt6	3847
158	tuckerdoodle	3815
159	__tomato	3797
160	Kyrum2169	3783
161	BronkerBrum	3765
162	PeteO1995	3755
163	Skippeh	3751
164	SaucyDark	3749
165	Flores991	3670
166	TheDankPlatypus	3657
167	_TCARREIRA_	3649
168	mariominejedi	3621
169	_Virify_	3595
170	Gus2005	3592
171	TheThomas69	3582
172	GravitySaint	3575
173	xxPipperDipperxx	3522
174	k_ce	3486
175	Chromary	3437
176	blackeemperor	3426
177	SSytex_X	3420
178	ClemenPine	3383
179	hermmm_	3382
180	MakeHistory157	3284
181	PortlyPete69	3281
182	MinttyFressh	3274
183	StinkyDiplomat	3249
184	skroobiez	3244
185	Secret_Canary	3206
186	Arceus1975	3183
187	GoofyBread	3172
188	Malorn_Aetherius	3160
189	RoskobiOne	3159
190	Bandito_Roamer	3140
191	Warlord324	3102
192	SingedBread	3095
193	RadarHz	3057
194	MyMawgDonaldsGon	3018
195	SammiWolfGirl	3008
196	eviltunix	2990
197	Kubelz	2986
198	TooManyDuck	2970
199	amkold	2943
200	masskedman	2926
201	_witch_craft_	2916
202	Jekyll	2871
203	set67	2838
204	yheece	2822
205	cedric72	2805
206	_3Stump_	2803
207	Nicky19	2797
208	Tyrannosplart	2788
209	Toriankel	2741
210	M_Patata	2736
211	WarHammer3	2709
212	CattSoup	2698
213	FelixPSY375	2680
214	audiocracked	2678
215	bloodbiter	2672
216	Saucepeh	2616
217	11Brewer	2614
218	ScootOfBoot	2587
219	Ecplosive	2586
220	Zaridey	2585
221	theonlymagikarp	2551
222	wx4z	2534
223	BumbleBeever	2531
224	07shiny	2487
225	q_wq	2480
226	censorsheep	2475
227	RebelAndroid	2465
228	Maenara	2451
229	IAmTheWalrus910	2449
230	Literally_Rat	2448
231	MasterNueve	2441
232	Hoid_the_Roamer	2439
233	Corbsman	2426
234	claivin	2416
235	Truckoss	2382
236	Jovaphobic	2377
237	ooga47	2368
238	NotMyLucKMC	2351
239	Leyna3	2325
240	soundad	2310
241	Studio4x32	2292
242	Fuhrer_Teemo	2288
243	Groovy_MoonBird	2259
244	Myszoaz	2224
245	DanTheBuilderino	2221
246	bigstankyy	2216
247	Soap_Bender	2214
248	RedcatVII	2211
249	Deathkob	2206
250	jacxhadow	2199
251	prizm_	2189
252	PaperCanvas	2158
253	AlphaWolfPlaysMC	2156
253	_MeowMix	2156
255	miramyu	2123
256	AstreaTSS	2122
257	TechnoNinja64	2121
258	fw3xy	2115
259	emrekn	2097
260	F_Uhre	2092
260	HolyVenom	2092
262	xzvu	2088
263	CLG_Kata	2085
264	NatalieTW	2080
265	Kronos42	2073
266	groofles	2062
267	2Stout	2059
268	NameGenerat0r	2053
269	emreknugrlu	2043
270	DTwenty	2042
271	IlkeCookes_	2026
272	Vizzoid	2023
273	DJzombiehunter	2019
274	Spenduh	1972
275	UncreativeArtist	1969
276	PlzNoBM	1965
277	Avocadogerms	1960
278	BeardBois	1930
279	Wooptey	1920
280	Comma__	1905
281	Reamdin	1901
282	Hiryu27	1894
283	Crowman1	1892
283	TwinTowerV2	1892
285	Factoroni	1881
286	Windo_licker	1871
287	TheSeismicDuck	1863
288	EdGalbraith	1856
289	taengoos	1853
290	picardred	1844
291	BartekB19	1818
