rank	username	minecraft:crafted/minecraft:diamond_block
1	12Magner05	8032
2	Werbe	4964
3	joethahobo	3049
4	Hyp3rion_	2653
5	YungMaki	2169
6	Frozil12	1991
7	thewindmillman	1891
8	Spacewardharpy7	1884
9	HellsSponge	1740
10	Di_infiri	1731
11	500am	1659
12	EcksD	1573
13	Spenduh	1459
14	stahouo	1426
15	Fullut	1406
16	beeperbeeper5	1225
17	noam464	1194
18	TheSecondLord	1182
19	Historical_Sand	1162
20	Smoke____	1090
21	Enderslayerxz3	1077
22	TheShyPig	991
23	Skippeh	989
24	pintsizedrogue	956
25	lordpipe	952
26	eitanzaki	890
27	ROY4LE	877
28	PhantomsGhost_	795
29	fluddd	771
30	PigDab	752
31	Blaiku	734
32	vandmanden	724
33	kekhon	691
34	mwrty	617
35	MattieHD	614
36	Ezekson	530
37	Blackberry1310	517
38	MilleGrug	513
39	Dedalus36	508
40	NomadicRobin_	496
41	jnp_gaming	479
42	Maenara	457
43	Inchef	453
44	claivin	451
45	NameGenerat0r	445
46	masskedman	439
47	Inbefour	436
48	rarrq	425
49	set67	374
50	yulgur1	363
51	Freak_Genius	359
52	Sral7	356
53	EveryonesUncle	354
54	MightyWertu	351
55	6king6colt6	349
56	KG1999	343
57	Njensen7	340
58	Drlzyy	339
59	Mahoose	333
60	thescout7	321
61	Comma__	317
62	oxfordschool	301
63	EMC_	296
64	ZeroKraken	295
65	Racengan	287
66	Rasmanden	280
67	ayamefag	276
68	Awyrlas	270
69	Snowflowe	268
70	Strangemonkey71	264
71	livingdaydreams	263
72	Sabby65	259
73	fffMike	257
74	Dogcorn69420	256
75	m_be9	253
75	Nicserso	253
77	Eraxa	247
78	Akoot_	245
79	Skylord_Luke	244
80	XboxPanda	239
81	Groundler	232
82	SammiWolfGirl	231
83	Xalithia	225
84	Covalents	224
85	h2p_emrld	223
86	MakeHistory157	218
87	Quotary	215
88	Kyrum2169	209
89	SingedBread	206
90	_Dean_123	200
91	r123moore	198
92	Rumpletaezer	197
93	Airem_Core	187
94	PlasticOtari	181
95	FallenCorps	163
96	Merv__	162
96	WarHammer3	162
98	2Stout	161
99	Lord_Jord	160
99	sebastiensaborio	160
101	KSI	159
102	teslawolf38	158
103	alderban107	157
104	Sky_light_KING	154
105	PortlyPete69	149
106	ApophisNova	146
106	MyNamaSheff	146
108	RebelAndroid	145
109	Xclax101	144
109	sp00ky_ghost977	144
111	GlitchyPlate810	143
112	Kowcio_	137
113	Jackattack53	134
114	Blu3beast	133
