rank	username	minecraft:crafted/minecraft:snow
1	SingedBread	18119
2	m_be9	6364
3	SSytex_X	5964
4	beeperbeeper5	2604
5	mihimihimihi	2412
6	SuperPooch06	2016
7	Mattesco	1518
8	luseis	780
9	kekhon	696
10	Mahoose	636
11	SteveCraftBlocks	534
12	PhantomsGhost_	456
13	scarletwarrior1	330
14	00000000-0000-0000-0009-01ff0c3e5e4f	270
15	SvenskaHugo	252
15	Quotary	252
17	Spacewardharpy7	246
17	xolstoi	246
19	xxPipperDipperxx	168
19	Ezekson	168
21	Cocoamallows	144
21	EcksD	144
23	Deathkob	120
24	12Magner05	114
24	Vegvisir	114
26	500am	108
27	jimintyy	78
27	Lez_	78
29	_stets	72
30	_8man	60
30	Kubeusz2010	60
32	diamondgolem35	54
33	EMC_	48
34	Prismyst	42
34	ITDV	42
36	ImpavidArcher	36
36	ooga47	36
38	q_wq	30
38	fr0stss	30
40	thewindmillman	24
40	Akoot_	24
40	NameGenerat0r	24
43	lewieinnit	18
43	Enderxz3	18
45	H72l9w	12
45	LexMakesHistory	12
45	lcvezra	12
45	Sral7	12
49	Bobby808	6
49	orxngejuice	6
49	Arceus1975	6
49	ogoa	6
49	__tomato	6
49	PortlyPete69	6
49	Skippeh	6
49	PlasticOtari	6
