rank	username	minecraft:crafted/minecraft:dried_kelp_block
1	Fuhrer_Teemo	55938
2	Hyp3rion_	48229
3	BumbleBeever	31021
4	MightyWertu	17571
5	Snowflowe	17547
6	TechnoNinja64	16952
7	himak1	15059
8	SlayerCrypto	14595
9	calamariclam_I	14241
10	PhantomsGhost_	13169
11	thescout7	7916
12	EcksD	5815
13	Ezekson	5649
14	Spacewardharpy7	5602
15	Comma__	5142
16	Steelynan	4931
17	thewindmillman	4741
18	El_Jalapeno	4163
19	Zythose	4054
20	Skippeh	3926
21	TheShyPig	3279
22	joethahobo	2744
23	Lord_Jord	2524
24	07shiny	2199
25	AuroraValkyrie	1881
26	F_Uhre	1573
27	ImpavidArcher	1558
28	Fullut	1327
29	EveryonesUncle	1216
30	Blaiku	1016
31	Touched_Bread	915
32	MattieHD	832
33	Legendosh	711
34	DemTechAlpha	679
35	RadarHz	655
36	djancak	620
37	bigstankyy	591
38	EngagedGrub41	589
39	picardred	576
40	Smoke____	560
41	Jovaphobic	528
42	moertymoertan	526
43	Mewar	413
44	NoChumpChange	373
45	luseis	349
46	Powowowow	318
47	Werbe	290
48	LetsDoItLive	271
49	Jimi7hits	266
50	titanlax	255
51	Drawgirl	247
52	MonitorLizards	243
53	RoofTyler	240
54	spencersolberg	238
55	pintsizedrogue	234
56	Quincannon	226
57	ConnorDanky_	216
58	sandmire	191
59	IamCL4SSY	157
60	Ssor69	156
61	IdeallyGrey	153
62	eitanzaki	147
63	lordpipe	142
64	Dogcorn69420	141
65	heckface	136
66	PlasticOtari	135
67	sq0id	128
68	_TCARREIRA_	123
69	SpacesickPrism	120
70	UrbanPlanningEx	113
71	CoffeeNoir	111
72	claivin	108
73	Blu3beast	97
74	YungMaki	92
75	KomputerDude	91
75	FreakGenius	91
77	Soplight	83
78	DarlaMeow	82
79	Professor_x8	76
80	robotemo	72
81	stellarjay	70
81	Iamthejo	70
83	wezzzi	69
84	valiSW	68
85	seanitoo	65
86	epiksk8erduck	64
86	_Hayt	64
86	Lutres_Torane	64
89	popcanter	57
90	thgrocks	54
91	Optiprimus	51
92	Digcove	50
93	Darkgon	46
94	CalebDHawk	42
95	Mahoose	41
95	Blackberry1310	41
97	TheOnlyRake	36
98	Froste131	35
99	Groovy_MoonBird	34
99	IAmTheWalrus910	34
101	Chickenchaser2	29
102	Merv__	28
102	ooga47	28
102	Barlycorn	28
105	Moetis	24
106	500am	23
107	censorsheep	22
107	BurgerKnight	22
109	jacxhadow	16
109	xxPipperDipperxx	16
109	Kubeusz2010	16
112	Tjhodskins19	14
112	Jamstroxian	14
112	monky_irl	14
112	bladeefan2009	14
116	Dusk_95	12
117	brofrickcheaters	11
118	Nicserso	9
119	TheSecondLord	8
120	2xil2	7
120	DSYisDizzy	7
120	iTurbo	7
120	Nicky19	7
120	LoFPS	7
125	Whiterooster001	6
125	fkGrim	6
127	Incinere	5
127	SidorAlex	5
127	Tyrannosplart	5
127	Karbl	5
131	SuperPooch06	4
132	MadBroMad	3
133	6king6colt6	2
133	ExtraDumb	2
133	ROY4LE	2
136	SirUnderpants	1
136	ShedJr_	1
136	ProfessorBee	1
136	Kura2218	1
136	PabloGonza02	1
136	Western_1	1
