rank	username	minecraft:crafted/minecraft:suspicious_stew
1	Werbe	103
2	Soplight	80
3	TheShyPig	76
4	TechnoNinja64	70
5	noam464	62
6	Onennon	53
7	beeperbeeper5	52
8	Di_infiri	42
9	Racengan	36
10	Merv__	35
11	gcaisawesome	30
12	TheFlfthHorseman	28
12	Sral7	28
14	Awyrlas	27
14	pixelviolin	27
14	PlasticOtari	27
17	claivin	23
18	RebelAndroid	20
18	Eraxa	20
20	HellsSponge	19
21	Historical_Sand	18
21	500am	18
21	Smoke____	18
24	Hyp3rion_	17
24	Jiminie	17
24	wwwwinnebagoooo	17
27	EveryonesUncle	16
28	_Virify_	15
28	bloodbiter	15
30	CharlieButt	14
30	LetsDoItLive	14
32	EcksD	13
33	slkiey	12
33	PigDab	12
33	lcvezra	12
36	Scattman_	11
37	eitanzaki	10
37	Mahoose	10
37	Inbefour	10
37	Dreamdbr14	10
41	SlayerCrypto	9
41	thewindmillman	9
41	chipklip	9
44	Drlzyy	8
44	hm947	8
44	Lord_Jord	8
44	YungMaki	8
44	starbits140	8
49	Freak_Genius	7
49	FishisTTV	7
51	m_be9	6
51	xo_Marren_xo	6
51	IdeallyGrey	6
51	Kubeusz2010	6
51	Enderslayerxz3	6
51	Powowowow	6
57	Paint	5
57	joethahobo	5
57	Kamflame10	5
57	Arceus1975	5
57	Luigipunch989	5
57	Nicserso	5
57	jnp_gaming	5
64	gilesmcriles	4
64	Inchef	4
64	Sky_light_KING	4
64	Akoot_	4
64	NameGenerat0r	4
64	CrazyPotater	4
70	PhantomsGhost_	3
70	KomputerDude	3
70	TheSecondLord	3
70	loveseeker	3
70	ApophisNova	3
70	LordAurum	3
70	MyNamaSheff	3
70	JayToe	3
78	diamondgolem35	2
78	ExtraDumb	2
78	Hpdinosaur	2
78	_themselves	2
78	Comma__	2
78	ROY4LE	2
78	DTwenty	2
78	JESS_THE_RERE	2
78	The_slideV3	2
78	LeeMcGee30	2
78	Hermanni__	2
78	Skippeh	2
78	AltnumberF4	2
91	Tolhart	1
91	Ryker	1
91	CoffeeNoir	1
91	H72l9w	1
91	Ardennes	1
91	kekhon	1
91	Fullut	1
91	thescout7	1
91	theonlymagikarp	1
91	Kakolbus	1
91	_Boipl_	1
91	Dan_Scha	1
91	Quaintster	1
91	Blu3beast	1
91	Spacewardharpy7	1
91	stavgod	1
91	ediballbearings	1
91	Coolblubird	1
91	Dogcorn69420	1
91	oxfordschool	1
91	FelixPSY375	1
91	kinas45y5	1
91	WYFYoyo	1
91	h2p_emrld	1
