rank	username	minecraft:crafted/minecraft:pink_wool
1	thewindmillman	5182
2	Blackberry1310	1166
3	EveryonesUncle	710
4	PeteO1995	393
5	Kowcio_	384
6	Inbefour	320
7	Njensen7	256
8	BlancoFlaco	231
9	Huwulling	206
10	handsome_strong	152
11	Werbe	134
12	emreknugrlu	128
13	Wooptey	105
14	Ezekson	92
15	TheSecondLord	78
16	KeruNatsema	71
17	Yamdalorian	70
18	queenalina123	64
18	Racengan	64
18	TheEnderMan548	64
21	lordpipe	63
22	kekhon	62
22	Chromary	62
24	NameGenerat0r	61
25	pintsizedrogue	44
26	obzii	41
27	Crowman1	37
28	Merv__	35
29	500am	32
29	audiocracked	32
31	Avocadogerms	22
31	Quotary	22
33	AltnumberF4	21
34	Incinere	18
35	beeperbeeper5	16
35	MattieHD	16
35	Maenara	16
35	ConnorDanky_	16
39	CollinMH06	15
39	LordSpeed37	15
41	luseis	14
42	EMC_	12
42	wrinkledpiglet	12
42	LilLizardWizard	12
42	miramyu	12
46	Deguns123	10
47	pretty_pink_reno	9
48	Tobinator_007	8
48	TheFlfthHorseman	8
48	TheShyPig	8
51	Ravenbie	7
51	Snowflowe	7
51	_Tilariel_	7
54	Lez_	6
54	_Dean_123	6
54	Krowuss	6
54	Voxin2K	6
54	PaperCanvas	6
54	MakeHistory157	6
54	starbits140	6
54	LeeMcGee30	6
62	Xalithia	4
62	YungMaki	4
64	Jalvajar	3
64	SmashingPump	3
64	Alteriity	3
64	CrookedKaptain	3
64	Scathra	3
64	TakeThis2UrGrave	3
70	Mr_Byzantine	2
70	Sleek_Storm_721	2
70	roxycherry	2
70	excelsionprime	2
70	Rumpletaezer	2
70	oscminus	2
70	RobotMinion101	2
70	Tyrannosplart	2
70	pixelviolin	2
70	tompup	2
80	QuiCreans	1
80	imcombxt	1
80	Hyp3rion_	1
80	fluddd	1
80	monky_irl	1
80	Invintic	1
