rank	username	minecraft:crafted/minecraft:brown_wool
1	bigstankyy	966
2	thewindmillman	520
3	Rumpletaezer	366
4	lillips	288
5	TheShyPig	268
6	kekhon	224
7	Werbe	222
8	NomadicRobin_	195
9	Hermanni__	119
10	ApophisNova	104
10	MyNamaSheff	104
12	PlasticOtari	75
13	pintsizedrogue	70
14	EveryonesUncle	68
14	Kowcio_	68
16	Frozil20	64
16	Snowflowe	64
16	Dooinfe	64
16	Smoke____	64
20	500am	63
21	FreakGenius	62
22	Blackberry1310	54
23	Blaiku	48
24	Cocoamallows	44
25	Lord_Jord	43
26	Lez_	42
27	ROY4LE	41
28	jnp_gaming	37
29	beeperbeeper5	32
29	TheSecondLord	32
29	Wowful	32
32	Bumpy419	24
33	Quotary	22
34	PortlyPete69	18
35	Merv__	16
35	KeruNatsema	16
37	pixelviolin	13
38	Onennon	10
39	Deathkob	8
39	Legendosh	8
41	jessewegottacook	7
42	_Dean_123	6
42	Rebytre	6
42	Jiminbub	6
42	DarlaMeow	6
42	Kubeusz2010	6
42	JayToe	6
48	YungMaki	5
49	Scathra	4
50	Mahoose	3
50	noam464	3
50	Sheellky	3
50	RoofTyler	3
54	SmashingPump	2
54	stickymonkeyboy	2
54	Zaridey	2
54	Enderxz3	2
58	Hyp3rion_	1
58	lordpipe	1
