rank	username	minecraft:crafted/minecraft:lightning_rod
1	Mattesco	501
2	jessewegottacook	377
3	12Magner05	217
4	Jackattack53	196
5	Krowuss	184
6	TheSecondLord	157
7	PlasticOtari	146
8	Nicserso	139
9	joethahobo	126
10	Lez_	114
11	k_ce	104
12	pintsizedrogue	102
13	thewindmillman	99
14	beeperbeeper5	87
15	Manaateee	83
16	Steelynan	74
17	Mahoose	70
18	Hyp3rion_	54
19	Solar_Power	49
20	Kakolbus	48
21	Soplight	43
22	500am	35
23	Touched_Bread	33
24	luseis	32
25	mihimihimihi	31
26	AdmiralSmoke	25
27	Alteriity	22
28	MineMaster0012	17
28	EcksD	17
30	noam464	15
30	NameGenerat0r	15
32	Apollo_993	11
32	Kowcio_	11
34	CheifJumbo	10
35	CoffeeNoir	9
35	Megarboh	9
35	excelsionprime	9
38	CharlieButt	8
38	JETrotter	8
40	MAns_44	7
40	YungMaki	7
42	weabis	6
43	teslawolf38	5
43	Kubelz	5
43	LeonelSalamanca	5
43	Enderxz3	5
43	calamariclam_I	5
48	Enigma0251	4
49	ItsGrayWolf	3
49	Prismyst	3
49	shadowthemonkey	3
49	pixelviolin	3
49	SpacesickPrism	3
54	Mr_Byzantine	2
54	SuperPooch06	2
54	Jimb0nat0r	2
57	BPTY4618	1
57	Napoleonpancake	1
57	EMC_	1
57	Frozil20	1
57	nattybears	1
57	ITDV	1
57	Da_Boss_Rani	1
57	QuiCreans	1
57	CaracolCxnt	1
57	Smashic	1
57	Winklepicker279	1
57	Marbz_	1
57	fReE_bAtWiNg	1
57	_Boipl_	1
57	SvenskaSara	1
57	Lord_Jord	1
57	Toasty_Tom	1
57	Fuad_R	1
57	FreakGenius	1
57	Vegvisir	1
57	Spacewardharpy7	1
57	UCP_TheKingK	1
57	Segotep999	1
57	Skippeh	1
57	youarefrench_	1
57	Ezekson	1
57	2blox_	1
57	FishisTTV	1
