rank	username	minecraft:crafted/minecraft:lapis_lazuli
1	Frozil20	69280
2	Hyp3rion_	19743
3	pintsizedrogue	13397
4	joethahobo	11906
5	RebelAndroid	11198
6	ConnorDanky_	10429
7	Werbe	8745
8	luseis	7702
9	_Nuf	4814
10	hanaryheatwave	4516
11	beeperbeeper5	4157
12	Blaiku	4131
13	YungMaki	3900
14	Inbefour	3803
15	vandmanden	3742
16	Cocoamallows	3688
17	Spacewardharpy7	3687
18	Enderxz3	3557
19	Jackattack53	3457
20	TheBananaKat	3326
21	lordpipe	3246
22	Awyrlas	2876
23	noam464	2850
24	mwrty	2691
25	Z3braYTIL	2644
26	Nicserso	2568
27	EMC_	2367
28	AdmiralSmoke	2178
29	MattieHD	2134
30	TheSecondLord	2010
31	12Magner05	1854
32	Fullut	1849
33	ApophisNova	1755
33	MyNamaSheff	1755
35	Blu3beast	1716
36	Vizzoid	1708
37	SmashingPump	1671
38	Flores991	1629
39	MrKrabOnCoke	1602
40	Smashic	1573
41	Snowflowe	1559
42	Hiryu27	1557
43	ssleepless	1534
44	ProfessorBee	1530
45	Huwulling	1521
46	Zythose	1431
47	Mewar	1422
48	kekhon	1408
49	fluddd	1377
50	Merv__	1287
51	Rumpletaezer	1257
52	Njensen7	1256
53	Akoot_	1233
54	geekbird	1207
55	groofles	1170
56	NomadicRobin_	1154
57	j5ylim	1146
58	rarrq	1143
59	Skippeh	1092
60	EngagedGrub41	1083
61	Mahoose	1038
62	Di_infiri	1027
63	bloodbiter	1026
64	thewindmillman	987
65	Ryan_GEMS	915
66	m_be9	903
67	Sleepy_Time_	891
67	ROY4LE	891
69	Manaateee	885
70	sp00ky_ghost977	864
71	Krowuss	828
71	Lord_Jord	828
73	MightyWertu	792
73	Hisiste	792
75	NoHaHeHa	767
76	DemTechAlpha	758
77	_Dean_123	738
77	MakeHistory157	738
79	TheShyPig	720
79	Kyrum2169	720
81	Iamthejo	714
82	Lez_	711
83	Ezekson	702
84	TechnoNinja64	687
85	Corbsman	684
86	Euclidoris	675
87	Blackberry1310	648
87	SexcMf	648
89	pixelviolin	642
90	1442	639
91	ClemenPine	630
92	starbits140	623
93	H72l9w	612
93	Sral7	612
95	SaucyDark	603
96	500am	594
97	Windo_licker	590
98	legal_tax_evader	585
98	lillips	585
100	yheece	576
100	EveryonesUncle	576
100	Lutres_	576
100	cog	576
100	_TCARREIRA_	576
105	ShedJr_	575
106	Bandito_Roamer	567
106	WyngGoy	567
108	Apollo_993	561
109	Soap_Bender	549
110	diamondgolem35	546
111	Myszoaz	540
111	BronkerBrum	540
111	sxc_	540
114	Crowman1	531
115	PhantomsGhost_	524
116	audiocracked	522
116	MustaLoordi	522
116	Kubeusz2010	522
119	oscminus	518
119	claivin	518
121	platinumzero	495
121	SeverianOfUrth	495
123	PlasticOtari	490
124	set67	486
124	OG_Songsee	486
124	UrbanPlanningEx	486
127	Fizznut909	477
128	Bumpy419	469
129	Kakolbus	450
129	FadedSpade82	450
129	00000000-0000-0000-0009-01faf4342590	450
132	little_dUki	436
133	FreddyFart	432
133	_k2x	432
135	xolstoi	426
136	TheTrueClipse	423
137	Rasmanden	414
138	teslawolf38	405
138	livingdaydreams	405
138	PeteO1995	405
141	TheEnderMan548	398
142	Mercadies	396
142	SingedBread	396
144	CliffEmAll	387
144	__tomato	387
146	underscore_2	383
147	Houstonion	378
147	FreakGenius	378
149	layabout100	360
150	PuFY	351
150	fw3xy74	351
152	soundad	342
152	Noah_Bez	342
152	EcksD	342
155	Luigipunch989	337
156	Hpdinosaur	336
157	H0UNDFRMH3LL	333
157	Chromary	333
159	Lepthymo	324
159	impossibleteapot	324
159	wezzzi	324
159	Biites	324
159	WYFYoyo	324
164	mariominejedi	315
164	djancak	315
166	AlphaWolfPlaysMC	311
167	obzii	306
168	FirsTimeGamingTV	297
168	Earlesstrain4	297
170	tartanboy	293
171	KingFaenor	288
171	Wooptey	288
171	pappaberg	288
171	Arlosaurus	288
175	ZaneABrain	282
176	AuroraValkyrie	279
177	_8man	270
177	Skylord_Luke	270
177	Xclax101	270
177	IdeallyGrey	270
181	Karetoko	265
182	Mr_Byzantine	264
183	Samificator	261
183	ori0le	261
183	Kura2218	261
183	ReyTheLegend	261
183	diggydog67	261
188	Harotio	252
188	Eraza	252
188	LeonelSalamanca	252
191	Lekol	243
191	LeEricc	243
193	TAKrules	234
193	PhantomBionic	234
193	MS_Pryxx	234
193	RadarHz	234
193	Wolverine4302	234
198	BlancoFlaco	226
199	slkiey	225
199	SuperPooch06	225
199	Deathkob	225
199	cichy096	225
203	El_Jalapeno	222
204	ediballbearings	209
205	Iagoku	207
205	Mariopreeet	207
205	Arceus1975	207
205	Elastiq	207
205	DarlaMeow	207
205	SSytex_X	207
211	monky_irl	203
212	buss081	198
212	FishyBoy3811	198
212	fkGrim	198
212	Fuhrer_Teemo	198
216	Tyrannosplart	195
217	Marbz_	190
218	QuiCreans	189
219	Dogcorn69420	183
220	Froste131	180
220	jessewegottacook	180
220	Winklepicker279	180
223	Mattesco	172
224	TooManyDuck	171
224	T045RTY	171
224	Comma__	171
224	Racengan	171
224	ItsDeltaMC	171
224	stellarjay	171
224	TheOnlyRake	171
224	OfficerAnvil	171
232	Donutt	163
233	jimintyy	162
233	Jackster03	162
233	xxPipperDipperxx	162
233	zToasty69z	162
233	Groundler	162
233	cytotoxaint	162
233	Chuglyfe	162
240	hcb238	153
240	HyperCave	153
240	Hermanni__	153
240	mobunni	153
244	M_Patata	146
244	MasterNueve	146
246	Nicky_H225	144
246	Eczbox	144
246	masskedman	144
246	Barlycorn	144
