rank	username	minecraft:crafted/minecraft:netherite_shovel
1	Ryan_GEMS	6
2	PigDab	5
3	thewindmillman	4
3	obzii	4
5	Marbz_	3
5	Skylord_Luke	3
7	pintsizedrogue	2
7	500am	2
7	Touched_Bread	2
7	Chromary	2
7	Rebytre	2
7	SingedBread	2
7	Yahir091	2
7	Kowcio_	2
7	SpacesickPrism	2
7	TheOuterCore	2
7	Jimb0nat0r	2
18	MuffinManzz	1
18	JohnnyFyes	1
18	CLG_Kata	1
18	Apollo_993	1
18	ganyuganyu	1
18	RoskobiOne	1
18	Cowison	1
18	SmashingPump	1
18	Merv__	1
18	AuroraValkyrie	1
18	teslawolf38	1
18	EMC_	1
18	bigstankyy	1
18	ImpavidArcher	1
18	tuckerdoodle	1
18	Wooptey	1
18	RebelAndroid	1
18	Alteriity	1
18	NinjaKnifeKill	1
18	Myszoaz	1
18	ITDV	1
18	Historical_Sand	1
18	NieToksikpl	1
18	Crowman1	1
18	TheSecondLord	1
18	mattybeewrapss	1
18	MinttyFressh	1
18	Megarboh	1
18	Secret_Canary	1
18	excelsionprime	1
18	Kkanot	1
18	4774	1
18	lorpus	1
18	Awyrlas	1
18	Inchef	1
18	Xalithia	1
18	ROY4LE	1
18	CharlieButt	1
18	TheDankPlatypus	1
18	Kakolbus	1
18	shadowthemonkey	1
18	Winklepicker279	1
18	CollinMH06	1
18	Di_infiri	1
18	Jackattack53	1
18	King_Pancake1	1
18	Eczbox	1
18	pappaberg	1
18	Rocco_Lane	1
18	BronkerBrum	1
18	Hiryu27	1
18	ApophisNova	1
18	AlexxO_o	1
18	SvenskaAlvar	1
18	PuFY	1
18	Akoot_	1
18	fw3xy74	1
18	LeonelSalamanca	1
18	EveryonesUncle	1
18	luseis	1
18	Deodorante	1
18	Lutres_	1
18	DarkS0L	1
18	Manaateee	1
18	Fuad_R	1
18	HellsSponge	1
18	_Karmaa	1
18	RoBe__	1
18	NameGenerat0r	1
18	Quaintster	1
18	MAns_44	1
18	Nycteus_	1
18	censorsheep	1
18	Steve897	1
18	MightyWertu	1
18	THEKINGLyric10	1
18	Arlosaurus	1
18	Spacewardharpy7	1
18	mihimihimihi	1
18	lordpipe	1
18	Druid95	1
18	iSammael	1
18	sp00ky_ghost977	1
18	Ze_BaronKrigler	1
18	Eraxa	1
18	_Mythic____	1
18	Segotep999	1
18	djancak	1
18	Spenduh	1
18	LeEricc	1
18	non089	1
18	SkinnyBois	1
18	_Yonk_	1
18	_i_ERROR_i_	1
18	MilleGrug	1
18	Njensen7	1
18	Eczbek	1
18	MissCeleste7	1
18	Quotary	1
18	MyNamaSheff	1
18	FelixPSY375	1
18	MirielThePastor	1
18	AdmiralSmoke	1
