rank	username	minecraft:crafted/minecraft:iron_shovel
1	PigDab	455
2	Smoke____	132
3	pintsizedrogue	107
4	Ezekson	105
5	Arceus1975	92
6	cedric72	87
7	Di_infiri	73
7	Lord_Jord	73
9	xolstoi	71
10	luseis	68
11	FreakGenius	63
12	Spacewardharpy7	57
13	thebaddruid	55
14	_Dean_123	52
15	ZeroAbyssTTV	51
16	picardred	50
17	Bandito_Roamer	49
18	DanTheBuilderino	48
19	Ajax6	46
20	bloodbiter	45
21	ImpavidArcher	42
22	Paintz	41
23	beeperbeeper5	40
23	rarrq	40
25	2Stout	38
26	gcaisawesome	37
26	TheShyPig	37
26	El_Jalapeno	37
29	Froste131	34
29	eitanzaki	34
29	NebulousBadger	34
29	Njensen7	34
33	_Cloverbelle_	33
33	djancak	33
33	PlasticOtari	33
36	Razzgriz	31
37	squillz105	30
38	Yirtle	29
38	SkateboardR6	29
40	BlancoFlaco	28
40	joethahobo	28
40	Warlord324	28
40	lordpipe	28
44	Kateesaur	27
45	CoffeeNoir	25
45	Xalithia	25
45	purpolepickle	25
45	CornOnTheCobalt	25
49	AuroraValkyrie	24
49	Zythose	24
49	wezzzi	24
52	Tommhh	23
52	RatatJuice	23
54	KarlKaek	22
54	ThiccExotic	22
54	ProfessorBee	22
54	GLLogan2	22
54	Kowcio_	22
54	xzvu	22
54	_TCARREIRA_	22
61	QuakerOatsGod	21
62	kekhon	20
63	H0UNDFRMH3LL	19
63	seanitoo	19
63	Base_Tempest	19
63	Ecplosive	19
63	Ristebraaten	19
63	iElijah	19
63	MightyWertu	19
70	cheerytomato	18
70	excelsionprime	18
70	Kamflame10	18
70	RustyKedel	18
70	Kim_Jong_eel	18
70	Methalox1	18
76	_Boipl_	17
76	Sh4bby	17
76	Xclax101	17
76	RedcatVII	17
76	WyngGoy	17
76	Optiprimus	17
82	firesgal3116	16
82	CrookedKaptain	16
82	DrGrant	16
82	tonyth3tiger	16
86	Nicky_H225	15
86	eviltunix	15
86	Studyhallsaver	15
86	Bumpy419	15
86	lOlmantschi	15
86	epiksk8erduck	15
86	Fildyr	15
86	Toriankel	15
86	IdeallyGrey	15
86	robotemo	15
86	Kferno	15
86	FallenCorps	15
86	jnp_gaming	15
99	Wooptey	14
99	Natty	14
99	CliffEmAll	14
99	ROY4LE	14
99	KeruNatsema	14
99	Katsuragi0243218	14
99	aldplaysmc	14
99	claivin	14
99	LordSpeed37	14
99	Zoeyfortnite	14
109	Ssor69	13
109	BilboBaggins23	13
109	Smashic	13
109	whoaluv	13
109	DaKaveMan	13
109	ElderRifken	13
109	DarkS0L	13
109	Typadopoulos	13
109	PortlyPete69	13
109	TheOnlyRake	13
109	Iamthejo	13
120	123louis456	12
120	youhjjhhhjj	12
120	FirsTimeGamingTV	12
120	shdesolt	12
120	m_be9	12
120	Pelbo	12
120	MyNameIsJobo	12
120	SuperPooch06	12
120	_8man	12
120	SpaggeDR	12
120	Lord_Zacler	12
120	MinuteMira	12
120	Toiton	12
120	MyNameIsDakar	12
134	Tobinator_007	11
134	wiqor	11
134	CharlieButt	11
134	Rumpletaezer	11
134	seramalen	11
134	LilLizardWizard	11
134	NormanFetus	11
134	CalebDHawk	11
142	Harotio	10
142	Cowison	10
142	BigBootyHudge	10
142	Frozil20	10
142	Mahoose	10
142	Historical_Sand	10
142	TheSecondLord	10
142	GingerNeutron	10
142	Enigma0251	10
142	set67	10
142	himak1	10
142	PegLegPete93	10
142	noam464	10
142	Hyp3rion_	10
142	Onennon	10
142	thgrocks	10
142	Drewen24	10
142	Fakiuss	10
142	Meatlaugh	10
142	Darkgon	10
142	censorsheep	10
142	Ze_BaronKrigler	10
142	jaimshae	10
142	Steelynan	10
142	Vellu21	10
142	anbbang	10
142	bladeefan2009	10
169	Mr_Byzantine	9
169	Merv__	9
169	q_wq	9
169	Esme_1	9
169	Tolhart	9
169	SyntheticSurgeon	9
169	Euclidoris	9
169	dopplexd	9
169	Ardennes	9
169	r123moore	9
169	drunkeeez	9
169	breadbowlgamer	9
169	Bazongoman	9
169	Windo_licker	9
169	Snowflowe	9
169	Leyna3	9
169	CheifJumbo	9
169	Soul_Atreus	9
169	bloomkieren	9
169	SammiWolfGirl	9
169	RadarHz	9
169	tompup	9
169	coobert42	9
192	Mowelan	8
192	fanofbands101	8
192	6king6colt6	8
192	lotarp	8
192	Reamdin	8
192	ShedJr_	8
192	TheFlfthHorseman	8
192	4383	8
192	Dnulgreb	8
192	corvidpartyfor6	8
192	NotoriousNina	8
192	PeteO1995	8
192	legal_tax_evader	8
192	burbankbuilder28	8
192	J4ko8_	8
192	Huic_ostiarius	8
192	Akoot_	8
192	420BreadLizard	8
192	Jiminbub	8
192	Deodorante	8
192	wobn	8
192	Nekomin0	8
192	ConnorDanky_	8
192	cichy096	8
