rank	username	minecraft:crafted/minecraft:bamboo_planks
1	lpinfinity	135402
2	McCakeAh	34894
3	_witch_craft_	19690
4	Hoid_the_Roamer	10932
5	_Duckery	8273
6	EveryonesUncle	6320
7	Buuck_	6075
8	Mr_Byzantine	3566
9	k_ce	3138
10	Werbe	2836
11	U_Mos_	2508
12	Spaghettatron	2438
13	robonya_	2395
14	Synthoum	2164
15	Mattesco	1864
16	Samificator	1466
17	Fullbit_	1374
18	pintsizedrogue	1312
19	kalzor	1294
20	Yamdalorian	1022
21	Merv__	888
22	ee_echo_oo	826
23	TheSecondLord	734
24	FiguraDei	642
25	Mr_Sun15	580
26	CacheOut	578
27	akap47	574
27	Bambuino	574
29	Napoleonpancake	492
30	Mr_Froxy	432
31	Niklas20114552	426
32	Soplight	396
33	AstreaTSS	384
33	BTL_craft	384
35	Apollo_993	368
36	Hyp3rion_	340
37	bl1ss0	322
38	SpacesickPrism	320
39	TheKingK_	300
40	milltesco	272
41	MAns_44	262
41	lordpipe	262
43	Enderxz3	214
44	Steelynan	166
45	beeperbeeper5	164
46	craaaash	158
47	cutelilreno	148
48	SteadyFeather77	128
48	Caribouse	128
48	Ninjamaster4427	128
51	cyuar	114
52	Jimb0nat0r	112
53	thewindmillman	106
54	lorywithay	80
54	TheWickedBird	80
56	PazinGaming	78
57	luseis	74
58	Dark_Crusader21	68
59	pixelviolin	64
60	MattieHD	62
61	gamerlord1324	56
62	Pandarus_	52
63	MyMawgDonaldsGon	36
64	Thunder_bird4337	32
65	Reneedium	28
66	CLG_Kata	26
67	j5ylim	16
68	noam464	14
68	Legendosh	14
70	Zehrforce1	12
70	Kowcio_	12
72	IlkeCookes_	10
73	Hahaa_0	8
74	Penguinllama517	6
75	Ezekson	4
