rank	username	minecraft:crafted/minecraft:dark_prismarine_stairs
1	EcksDofficial	1032
2	Enderslayerxz3	877
3	YoshikageBites	612
4	EcksD	588
5	Winklepicker279	436
6	EveryonesUncle	432
7	Spacewardharpy7	428
8	Frozil12	372
9	Barlycorn	352
10	thewindmillman	300
10	Werbe	300
12	CliffEmAll	228
13	MakeHistory157	148
14	sebastiensaborio	100
15	lizardfightclub	96
16	Ezekson	91
17	Smoke____	76
18	12Magner05	60
19	PlasticOtari	58
20	Racengan	56
21	Fullut	52
22	SokaOtaku	44
23	PigDab	40
24	KarlKaek	32
25	LittleBug562	28
26	eitanzaki	16
26	beeperbeeper5	16
26	Skippeh	16
29	noam464	12
30	Arceus1975	10
31	Mr_Byzantine	4
31	m_be9	4
31	Zythose	4
31	Groundler	4
31	lordpipe	4
36	RebelAndroid	3
37	Merv__	1
37	Mahoose	1
