rank	username	minecraft:crafted/minecraft:cobblestone_wall
1	Frozil12	18472
2	Spacewardharpy7	10000
3	Kakolbus	3994
4	joethahobo	3356
5	EMC_	2898
6	fred870d	2680
7	TheShyPig	2634
8	burbankbuilder28	2598
9	Mr_Byzantine	1818
10	HellsSponge	1638
11	RebelAndroid	1464
12	Hyp3rion_	1292
13	markaus77	1200
14	VentiHilton	1188
15	ApophisNova	1164
15	MyNamaSheff	1164
17	Di_infiri	1092
18	Racengan	1080
19	Blackberry1310	1044
20	Eraxa	1032
21	El_Jalapeno	972
22	Inchef	942
23	EveryonesUncle	876
24	slkiey	858
25	noam464	853
26	HesDemonPants	841
27	Jovaphobic	774
27	Bandito_Roamer	774
29	sxc_	770
30	CharlieButt	768
31	Njensen7	738
32	QueenOfDirt	709
33	Tommhh	706
34	eitanzaki	666
35	ROY4LE	630
36	Mookle96	600
37	CaptainAvenger7	576
37	Shogunite	576
39	Werbe	564
40	UncreativeArtist	522
41	Enderslayerxz3	486
42	Vizzoid	484
43	Donutt	480
44	__tomato	462
45	T045RTY	450
45	MinttyFressh	450
45	DarkS0L	450
48	set67	444
49	6king6colt6	426
49	Katsuragi0243218	426
51	HollieDaNugget	414
52	500am	390
52	RyuNeko932000	390
52	EcksD	390
55	PlasticOtari	381
56	lcvezra	360
56	The_SlideV5	360
58	GlitchyPlate810	342
58	LeeMcGee30	342
60	SkateboardR6	321
61	Legendosh	301
62	teslawolf38	300
62	KGTV	300
62	censorsheep	300
65	Orcus113	276
66	gilesmcriles	270
66	kekhon	270
66	PigDab	270
69	Mahoose	265
70	CheifJumbo	258
71	MightyWertu	256
72	pintsizedrogue	255
73	oxfordschool	252
74	dimondking777	246
74	Windo_licker	246
74	Xclax101	246
77	FishyBoy3811	244
78	The_slideV3	240
79	youhjjhhhjj	216
79	Smiguli_	216
81	rarrq	210
81	ToastedGamingYT	210
81	Joestra	210
81	XxCookiequeenxX	210
81	PortlyPete69	210
86	Soplight	206
87	thescout7	204
88	Groovy_MoonBird	192
88	Negriuke	192
88	wezzzi	192
88	silverpopcorn	192
88	yatsuta	192
88	stahouo	192
94	djancak	186
95	Ezekson	181
96	o0z	180
96	Factoroni	180
98	Maenara	174
98	ewpunk	174
100	lizardfightclub	168
101	AuroraSkies	156
101	StinkyDiplomat	156
103	Winklepicker279	150
104	fr0stss	144
104	titanlax	144
104	4774	144
104	ItsAki_	144
104	CarryLine	144
104	EcksDofficial	144
110	Natty	138
110	starbits140	138
112	jacxhadow	132
112	hcb238	132
112	GoofyBread	132
112	carpet4_69	132
112	SammiWolfGirl	132
112	JohnPrice	132
118	Fuhrer_Teemo	130
119	MC_Gamer_Geek	126
119	_8man	126
119	Jonte0599	126
119	_TCARREIRA_	126
123	Thaumatarge	120
123	Mowelan	120
123	Healthing	120
123	ImpavidArcher	120
123	_Tilariel_	120
128	Dedalus36	114
128	LeauVox4921	114
128	willowcherrytree	114
128	KevinLikesPie	114
128	Moetis	114
133	Merv__	108
133	jpoxman	108
133	Notta	108
133	m_be9	108
133	avalan64	108
133	Sral7	108
139	Paleshield	102
139	picardred	102
139	E775	102
142	PegLegPete93	96
142	Forcolp	96
142	privatemeekly	96
142	madderfall	96
146	Typadopoulos	90
146	Ripzch	90
148	killmeiamtraitor	84
148	SvenskaHugo	84
148	cichy096	84
151	ewsophie	78
151	Cortexia	78
151	Smashic	78
151	r123moore	78
151	gabriels543	78
151	FlashMigma	78
151	LordSpeed37	78
151	Soul_Atreus	78
151	07shiny	78
151	Rainaldus	78
151	momis24	78
162	MineMaster0012	74
163	Myszoaz	72
163	noodlepack	72
163	BreadBacon	72
163	Nicserso	72
163	Kateesaur	72
168	Flores991	66
168	Malorn_Aetherius	66
168	zMarciano	66
168	SHAOBADMAN	66
168	dendydoom	66
168	SpouHn	66
168	_Karmaa	66
168	Juk3b0x	66
168	Barlycorn	66
168	MovingFish7	66
168	OnlyOfficial	66
168	fastPREDATOR	66
180	Tobinator_007	60
180	PhantomsGhost_	60
180	dabloons	60
180	ergoalias	60
180	maliraspberry	60
180	Alteriity	60
180	Alphanzt99	60
180	_Dean_123	60
180	Motsaro	60
180	SLASHZEERA	60
180	eiC_	60
180	benediktine1	60
180	BronkerBrum	60
180	Rebytre	60
180	Muffindrake	60
180	DeeDeeThonk	60
180	DemTechAlpha	60
180	DanTheBuilderino	60
180	Fildyr	60
180	lilguppy	60
180	sleepdrifter_	60
180	Kijiki	60
180	bitsplease	60
180	zmpeg	60
204	CoffeeNoir	54
204	H72l9w	54
204	Giannism	54
204	Arceus1975	54
204	thgrocks	54
204	Lord_Zacler	54
204	Deathkob	54
211	jaimshae	53
212	rachcl	48
212	Sloths_Ender	48
212	CrookedKaptain	48
212	Jackattack53	48
212	MangoTheFish	48
212	Skylord_Luke	48
212	Onennon	48
212	cedric72	48
212	Drewen24	48
212	Skyle169	48
212	Dooinfe	48
212	iGotUrHost	48
212	NotMeowMix	48
212	Ze_BaronKrigler	48
212	Eczbek	48
212	Haadrada	48
228	hollowww	42
228	Jackster03	42
228	Swexti	42
228	MyNameIsDakar	42
228	RoboTramp7865	42
233	RosaDoesMC	36
233	Stynxy	36
233	SellyZ	36
233	whoaluv	36
233	Rumpletaezer	36
233	Jeteight	36
233	Waffleman258	36
233	fkGrim	36
233	Meatlaugh	36
233	Quaintster	36
233	Blu3beast	36
233	Drawgirll	36
233	Smoke____	36
246	thewindmillman	32
247	Ssor69	30
247	_Nuf	30
247	NotMeanttoChange	30
247	DaviusMaximoose	30
247	andy_rex	30
247	CaptainDeadBread	30
247	wrinkledpiglet	30
247	LilLizardWizard	30
247	ogoa	30
247	Optiprimus	30
247	Kowcio_	30
247	obzii	30
247	Vellu21	30
260	Nycteus_	28
261	Menthas	24
261	jspwn	24
261	Gooberkid223	24
261	Cryptacity	24
261	TheSecondLord	24
261	Adlair	24
261	ThePoliteG	24
261	ProfessorBee	24
261	boog4loo	24
261	ConcretePirate	24
261	MindyDooWho	24
261	SuperPooch06	24
261	Chromary	24
261	impossibleteapot	24
261	Bumpy419	24
261	curterr	24
261	fxiryglitch	24
261	Russiancat1	24
261	Fuad_R	24
261	Chayula	24
261	UCP_TheKingK	24
261	krutas2000	24
261	MilleGrug	24
261	Hermanni__	24
261	OfficerAnvil	24
261	WYFYoyo	24
261	00000000-0000-0000-0009-01f898304150	24
288	_stets	18
288	Ilinca_Io	18
288	ssleepless	18
288	Sebaschan__	18
288	Prismyst	18
288	IWorkAtIkea	18
288	TinMaster	18
288	Rich_Kat	18
288	BreadFruggis	18
288	IforgotCS_Source	18
288	xxPipperDipperxx	18
288	Nyxiom_	18
288	domagawha	18
